------------------------------------------------
Job ID: 38519289
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 1 23:18:42 GMT 2021
------------------------------------------------
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  0.5

Final layer of model is being trained.
Start:  2021-03-01 23:18:47.603419
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 1.71387 |train kld ravg: 1.71387 |train mae:  5.56230 |train mae ravg:  5.56230 |val kld: 1.55870 |val kldravg: 1.55870 |val mae:  4.83192 |val mae ravg:  4.83192 |
|epoch:   1 | lr: 0.100 |train kld: 1.71713 |train kld ravg: 1.71550 |train mae:  4.95808 |train mae ravg:  5.26019 |val kld: 1.53114 |val kldravg: 1.54492 |val mae:  4.58338 |val mae ravg:  4.70765 |
|epoch:   2 | lr: 0.100 |train kld: 1.75145 |train kld ravg: 1.72748 |train mae:  4.88930 |train mae ravg:  5.13656 |val kld: 1.66007 |val kldravg: 1.58330 |val mae:  4.17774 |val mae ravg:  4.53101 |
|epoch:   3 | lr: 0.100 |train kld: 1.71466 |train kld ravg: 1.72428 |train mae:  4.66036 |train mae ravg:  5.01751 |val kld: 1.54567 |val kldravg: 1.57389 |val mae:  4.73756 |val mae ravg:  4.58265 |
|epoch:   4 | lr: 0.100 |train kld: 1.71329 |train kld ravg: 1.72208 |train mae:  4.75163 |train mae ravg:  4.96433 |val kld: 1.64454 |val kldravg: 1.58802 |val mae:  5.44239 |val mae ravg:  4.75460 |
|epoch:   5 | lr: 0.100 |train kld: 1.68623 |train kld ravg: 1.71655 |train mae:  4.83919 |train mae ravg:  4.81971 |val kld: 1.51641 |val kldravg: 1.57957 |val mae:  5.11076 |val mae ravg:  4.81037 |
|epoch:   6 | lr: 0.100 |train kld: 1.66359 |train kld ravg: 1.70584 |train mae:  4.61069 |train mae ravg:  4.75023 |val kld: 1.59391 |val kldravg: 1.59212 |val mae:  6.11100 |val mae ravg:  5.11589 |
|epoch:   7 | lr: 0.100 |train kld: 1.71020 |train kld ravg: 1.69759 |train mae:  4.66177 |train mae ravg:  4.70473 |val kld: 1.61424 |val kldravg: 1.58296 |val mae:  4.50374 |val mae ravg:  5.18109 |
|epoch:   8 | lr: 0.050 |train kld: 1.66084 |train kld ravg: 1.68683 |train mae:  4.72568 |train mae ravg:  4.71779 |val kld: 1.51612 |val kldravg: 1.57705 |val mae:  4.09224 |val mae ravg:  5.05203 |
|epoch:   9 | lr: 0.050 |train kld: 1.55939 |train kld ravg: 1.65605 |train mae:  4.54352 |train mae ravg:  4.67617 |val kld: 1.54307 |val kldravg: 1.55675 |val mae:  4.22863 |val mae ravg:  4.80927 |
|epoch:  10 | lr: 0.050 |train kld: 1.56931 |train kld ravg: 1.63267 |train mae:  4.68716 |train mae ravg:  4.64576 |val kld: 1.49733 |val kldravg: 1.55293 |val mae:  4.62591 |val mae ravg:  4.71230 |
