------------------------------------------------
Job ID: 38519286
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 1 23:16:11 GMT 2021
------------------------------------------------
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  25
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-01 23:16:19.475976
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 1.77288 |train kld ravg: 1.77288 |train mae:  5.71810 |train mae ravg:  5.71810 |val kld: 1.57115 |val kldravg: 1.57115 |val mae:  4.95495 |val mae ravg:  4.95495 |
|epoch:   1 | lr: 0.100 |train kld: 1.70592 |train kld ravg: 1.73940 |train mae:  4.89187 |train mae ravg:  5.30499 |val kld: 1.60519 |val kldravg: 1.58817 |val mae:  4.63846 |val mae ravg:  4.79670 |
|epoch:   2 | lr: 0.100 |train kld: 1.72231 |train kld ravg: 1.73370 |train mae:  4.75602 |train mae ravg:  5.12200 |val kld: 1.61237 |val kldravg: 1.59624 |val mae:  4.44822 |val mae ravg:  4.68054 |
|epoch:   3 | lr: 0.100 |train kld: 1.70608 |train kld ravg: 1.72680 |train mae:  4.82674 |train mae ravg:  5.04818 |val kld: 1.56944 |val kldravg: 1.58954 |val mae:  4.63818 |val mae ravg:  4.66995 |
|epoch:   4 | lr: 0.100 |train kld: 1.68960 |train kld ravg: 1.71936 |train mae:  4.71958 |train mae ravg:  4.98246 |val kld: 1.59983 |val kldravg: 1.59160 |val mae:  4.50420 |val mae ravg:  4.63680 |
|epoch:   5 | lr: 0.100 |train kld: 1.73906 |train kld ravg: 1.71259 |train mae:  4.87649 |train mae ravg:  4.81414 |val kld: 1.52314 |val kldravg: 1.58199 |val mae:  4.44250 |val mae ravg:  4.53431 |
|epoch:   6 | lr: 0.100 |train kld: 1.72527 |train kld ravg: 1.71646 |train mae:  4.74384 |train mae ravg:  4.78453 |val kld: 1.55458 |val kldravg: 1.57187 |val mae:  4.01729 |val mae ravg:  4.41008 |
|epoch:   7 | lr: 0.100 |train kld: 1.72777 |train kld ravg: 1.71756 |train mae:  4.71910 |train mae ravg:  4.77715 |val kld: 1.56198 |val kldravg: 1.56179 |val mae:  4.30924 |val mae ravg:  4.38228 |
|epoch:   8 | lr: 0.100 |train kld: 1.71268 |train kld ravg: 1.71888 |train mae:  4.65344 |train mae ravg:  4.74249 |val kld: 1.47387 |val kldravg: 1.54268 |val mae:  4.39152 |val mae ravg:  4.33295 |
|epoch:   9 | lr: 0.100 |train kld: 1.68249 |train kld ravg: 1.71745 |train mae:  4.70472 |train mae ravg:  4.73952 |val kld: 1.60463 |val kldravg: 1.54364 |val mae:  5.08144 |val mae ravg:  4.44840 |
|epoch:  10 | lr: 0.100 |train kld: 1.73875 |train kld ravg: 1.71739 |train mae:  4.74975 |train mae ravg:  4.71417 |val kld: 1.56230 |val kldravg: 1.55147 |val mae:  4.15694 |val mae ravg:  4.39129 |
|epoch:  11 | lr: 0.100 |train kld: 1.74751 |train kld ravg: 1.72184 |train mae:  4.72444 |train mae ravg:  4.71029 |val kld: 1.53377 |val kldravg: 1.54731 |val mae:  4.56112 |val mae ravg:  4.50005 |
|epoch:  12 | lr: 0.100 |train kld: 1.70249 |train kld ravg: 1.71678 |train mae:  4.63107 |train mae ravg:  4.69268 |val kld: 1.54196 |val kldravg: 1.54331 |val mae:  4.32854 |val mae ravg:  4.50391 |
|epoch:  13 | lr: 0.100 |train kld: 1.70275 |train kld ravg: 1.71480 |train mae:  4.70029 |train mae ravg:  4.70205 |val kld: 1.64574 |val kldravg: 1.57768 |val mae:  6.82400 |val mae ravg:  4.99041 |
