------------------------------------------------
Job ID: 41311380
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Tue Mar 23 15:21:26 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  0.5

Final layer of model is being trained.
Start:  2021-03-23 15:21:33.645600
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 1.81617 |train kld ravg: 1.81617 |train mae:  5.76157 |train mae ravg:  5.76157 |val kld: 1.62206 |val kldravg: 1.62206 |val mae:  4.23218 |val mae ravg:  4.23218 |
|epoch:   1 | lr: 0.100 |train kld: 1.83145 |train kld ravg: 1.82381 |train mae:  4.85664 |train mae ravg:  5.30911 |val kld: 1.63353 |val kldravg: 1.62780 |val mae:  4.47793 |val mae ravg:  4.35505 |
|epoch:   2 | lr: 0.100 |train kld: 1.78352 |train kld ravg: 1.81038 |train mae:  4.85523 |train mae ravg:  5.15781 |val kld: 1.53886 |val kldravg: 1.59815 |val mae:  4.56305 |val mae ravg:  4.42439 |
|epoch:   3 | lr: 0.100 |train kld: 1.71091 |train kld ravg: 1.78551 |train mae:  4.76373 |train mae ravg:  5.05929 |val kld: 1.51254 |val kldravg: 1.57675 |val mae:  5.11236 |val mae ravg:  4.59638 |
|epoch:   4 | lr: 0.100 |train kld: 1.74468 |train kld ravg: 1.77734 |train mae:  4.81653 |train mae ravg:  5.01074 |val kld: 1.59480 |val kldravg: 1.58036 |val mae:  4.59851 |val mae ravg:  4.59681 |
|epoch:   5 | lr: 0.100 |train kld: 1.79789 |train kld ravg: 1.77369 |train mae:  4.74527 |train mae ravg:  4.80748 |val kld: 1.75331 |val kldravg: 1.60661 |val mae:  4.56406 |val mae ravg:  4.66318 |
|epoch:   6 | lr: 0.100 |train kld: 1.86266 |train kld ravg: 1.77993 |train mae:  4.75626 |train mae ravg:  4.78740 |val kld: 1.68975 |val kldravg: 1.61785 |val mae:  4.84863 |val mae ravg:  4.73732 |
|epoch:   7 | lr: 0.100 |train kld: 1.76292 |train kld ravg: 1.77581 |train mae:  4.71559 |train mae ravg:  4.75947 |val kld: 1.58445 |val kldravg: 1.62697 |val mae:  4.60059 |val mae ravg:  4.74483 |
|epoch:   8 | lr: 0.050 |train kld: 1.59187 |train kld ravg: 1.75200 |train mae:  4.62206 |train mae ravg:  4.73114 |val kld: 1.48497 |val kldravg: 1.62146 |val mae:  4.81967 |val mae ravg:  4.68629 |
|epoch:   9 | lr: 0.050 |train kld: 1.56851 |train kld ravg: 1.71677 |train mae:  4.73951 |train mae ravg:  4.71574 |val kld: 1.46284 |val kldravg: 1.59506 |val mae:  4.09804 |val mae ravg:  4.58620 |
|epoch:  10 | lr: 0.050 |train kld: 1.60443 |train kld ravg: 1.67808 |train mae:  4.75691 |train mae ravg:  4.71807 |val kld: 1.56131 |val kldravg: 1.55666 |val mae:  4.27609 |val mae ravg:  4.52860 |
|epoch:  11 | lr: 0.050 |train kld: 1.59913 |train kld ravg: 1.62537 |train mae:  4.64376 |train mae ravg:  4.69557 |val kld: 1.44084 |val kldravg: 1.50688 |val mae:  4.18632 |val mae ravg:  4.39614 |
|epoch:  12 | lr: 0.050 |train kld: 1.55780 |train kld ravg: 1.58435 |train mae:  4.50764 |train mae ravg:  4.65398 |val kld: 1.46222 |val kldravg: 1.48244 |val mae:  4.35655 |val mae ravg:  4.34733 |
|epoch:  13 | lr: 0.050 |train kld: 1.55988 |train kld ravg: 1.57795 |train mae:  4.66142 |train mae ravg:  4.66185 |val kld: 1.46137 |val kldravg: 1.47772 |val mae:  4.62678 |val mae ravg:  4.30876 |
|epoch:  14 | lr: 0.050 |train kld: 1.53436 |train kld ravg: 1.57112 |train mae:  4.55355 |train mae ravg:  4.62466 |val kld: 1.68548 |val kldravg: 1.52225 |val mae:  7.21761 |val mae ravg:  4.93267 |
|epoch:  15 | lr: 0.050 |train kld: 1.54373 |train kld ravg: 1.55898 |train mae:  4.60859 |train mae ravg:  4.59499 |val kld: 1.52593 |val kldravg: 1.51517 |val mae:  4.14142 |val mae ravg:  4.90574 |
|epoch:  16 | lr: 0.025 |train kld: 1.49416 |train kld ravg: 1.53799 |train mae:  4.60332 |train mae ravg:  4.58690 |val kld: 1.45821 |val kldravg: 1.51864 |val mae:  4.12416 |val mae ravg:  4.89331 |
|epoch:  17 | lr: 0.025 |train kld: 1.50257 |train kld ravg: 1.52694 |train mae:  4.64891 |train mae ravg:  4.61516 |val kld: 1.57861 |val kldravg: 1.54192 |val mae:  5.88841 |val mae ravg:  5.19968 |
|epoch:  18 | lr: 0.025 |train kld: 1.50183 |train kld ravg: 1.51533 |train mae:  4.66366 |train mae ravg:  4.61561 |val kld: 1.45533 |val kldravg: 1.54071 |val mae:  4.08964 |val mae ravg:  5.09225 |
|epoch:  19 | lr: 0.025 |train kld: 1.52987 |train kld ravg: 1.51443 |train mae:  4.60466 |train mae ravg:  4.62583 |val kld: 1.44173 |val kldravg: 1.49196 |val mae:  4.52273 |val mae ravg:  4.55328 |
|epoch:  20 | lr: 0.025 |train kld: 1.49043 |train kld ravg: 1.50377 |train mae:  4.64248 |train mae ravg:  4.63261 |val kld: 1.43552 |val kldravg: 1.47388 |val mae:  4.08441 |val mae ravg:  4.54187 |
|epoch:  21 | lr: 0.025 |train kld: 1.51363 |train kld ravg: 1.50767 |train mae:  4.58526 |train mae ravg:  4.62899 |val kld: 1.45582 |val kldravg: 1.47340 |val mae:  4.58292 |val mae ravg:  4.63362 |
|epoch:  22 | lr: 0.025 |train kld: 1.48559 |train kld ravg: 1.50427 |train mae:  4.70090 |train mae ravg:  4.63939 |val kld: 1.46350 |val kldravg: 1.45038 |val mae:  4.28716 |val mae ravg:  4.31337 |
|epoch:  23 | lr: 0.025 |train kld: 1.51205 |train kld ravg: 1.50632 |train mae:  4.66868 |train mae ravg:  4.64040 |val kld: 1.45057 |val kldravg: 1.44943 |val mae:  4.24093 |val mae ravg:  4.34363 |
|epoch:  24 | lr: 0.013 |train kld: 1.48842 |train kld ravg: 1.49803 |train mae:  4.68254 |train mae ravg:  4.65597 |val kld: 1.44990 |val kldravg: 1.45106 |val mae:  4.45141 |val mae ravg:  4.32936 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Finished:  2021-03-23 15:47:26.886522

Correlation between train loss and evaluation: 0.563

----------------------------------------------------------------------------------------------------------------------------------------------------------------
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained.
Start:  2021-03-23 15:47:26.890002
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 1.39118 |train kld ravg: 1.39118 |train mae:  4.05566 |train mae ravg:  4.05566 |val kld: 1.44951 |val kldravg: 1.44951 |val mae:  4.70840 |val mae ravg:  4.70840 |
|epoch:   1 | lr: 0.010 |train kld: 1.33295 |train kld ravg: 1.36207 |train mae:  3.54771 |train mae ravg:  3.80169 |val kld: 1.14323 |val kldravg: 1.29637 |val mae:  2.34250 |val mae ravg:  3.52545 |
|epoch:   2 | lr: 0.010 |train kld: 1.28872 |train kld ravg: 1.33762 |train mae:  3.45274 |train mae ravg:  3.68537 |val kld: 1.21091 |val kldravg: 1.26788 |val mae:  2.58991 |val mae ravg:  3.21361 |
