------------------------------------------------
Job ID: 42126548
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 27 22:58:20 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  0.5

Final layer of model is being trained.
Start:  2021-03-27 22:58:27.103342
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 1.86768 |train kld ravg: 1.86768 |train mae:  5.71708 |train mae ravg:  5.71708 |val kld: 1.66700 |val kldravg: 1.66700 |val mae:  4.99026 |val mae ravg:  4.99026 |
|epoch:   1 | lr: 0.100 |train kld: 1.79254 |train kld ravg: 1.83011 |train mae:  4.94900 |train mae ravg:  5.33304 |val kld: 1.66029 |val kldravg: 1.66364 |val mae:  4.29071 |val mae ravg:  4.64049 |
|epoch:   2 | lr: 0.100 |train kld: 1.81248 |train kld ravg: 1.82424 |train mae:  4.79799 |train mae ravg:  5.15469 |val kld: 1.78747 |val kldravg: 1.70492 |val mae:  4.08257 |val mae ravg:  4.45451 |
|epoch:   3 | lr: 0.100 |train kld: 1.79338 |train kld ravg: 1.81652 |train mae:  4.75919 |train mae ravg:  5.05581 |val kld: 1.56246 |val kldravg: 1.66930 |val mae:  5.10670 |val mae ravg:  4.61756 |
|epoch:   4 | lr: 0.100 |train kld: 1.81734 |train kld ravg: 1.81669 |train mae:  4.77894 |train mae ravg:  5.00044 |val kld: 1.55240 |val kldravg: 1.64592 |val mae:  4.91530 |val mae ravg:  4.67711 |
|epoch:   5 | lr: 0.100 |train kld: 1.73573 |train kld ravg: 1.79030 |train mae:  4.73944 |train mae ravg:  4.80491 |val kld: 1.63063 |val kldravg: 1.63865 |val mae:  4.04735 |val mae ravg:  4.48853 |
|epoch:   6 | lr: 0.100 |train kld: 1.74673 |train kld ravg: 1.78113 |train mae:  4.71226 |train mae ravg:  4.75756 |val kld: 1.52919 |val kldravg: 1.61243 |val mae:  4.68355 |val mae ravg:  4.56709 |
|epoch:   7 | lr: 0.100 |train kld: 1.80226 |train kld ravg: 1.77909 |train mae:  4.89077 |train mae ravg:  4.77612 |val kld: 1.55295 |val kldravg: 1.56553 |val mae:  4.63747 |val mae ravg:  4.67807 |
|epoch:   8 | lr: 0.050 |train kld: 1.58612 |train kld ravg: 1.73764 |train mae:  4.71623 |train mae ravg:  4.76753 |val kld: 1.45797 |val kldravg: 1.54463 |val mae:  4.35494 |val mae ravg:  4.52772 |
|epoch:   9 | lr: 0.050 |train kld: 1.56765 |train kld ravg: 1.68770 |train mae:  4.68930 |train mae ravg:  4.74960 |val kld: 1.47388 |val kldravg: 1.52892 |val mae:  4.37312 |val mae ravg:  4.41929 |
|epoch:  10 | lr: 0.050 |train kld: 1.57068 |train kld ravg: 1.65469 |train mae:  4.63101 |train mae ravg:  4.72791 |val kld: 1.52753 |val kldravg: 1.50830 |val mae:  4.93374 |val mae ravg:  4.59656 |
|epoch:  11 | lr: 0.050 |train kld: 1.57543 |train kld ravg: 1.62043 |train mae:  4.56371 |train mae ravg:  4.69820 |val kld: 1.47629 |val kldravg: 1.49772 |val mae:  4.35819 |val mae ravg:  4.53149 |
|epoch:  12 | lr: 0.050 |train kld: 1.56211 |train kld ravg: 1.57240 |train mae:  4.64085 |train mae ravg:  4.64822 |val kld: 1.47000 |val kldravg: 1.48113 |val mae:  4.18270 |val mae ravg:  4.44054 |
|epoch:  13 | lr: 0.050 |train kld: 1.57453 |train kld ravg: 1.57008 |train mae:  4.60792 |train mae ravg:  4.62656 |val kld: 1.53702 |val kldravg: 1.49694 |val mae:  4.08931 |val mae ravg:  4.38741 |
|epoch:  14 | lr: 0.050 |train kld: 1.58916 |train kld ravg: 1.57438 |train mae:  4.53416 |train mae ravg:  4.59553 |val kld: 1.56145 |val kldravg: 1.51446 |val mae:  4.48303 |val mae ravg:  4.40939 |
|epoch:  15 | lr: 0.050 |train kld: 1.59066 |train kld ravg: 1.57838 |train mae:  4.71784 |train mae ravg:  4.61290 |val kld: 1.46359 |val kldravg: 1.50167 |val mae:  4.27040 |val mae ravg:  4.27672 |
|epoch:  16 | lr: 0.025 |train kld: 1.51069 |train kld ravg: 1.56543 |train mae:  4.67208 |train mae ravg:  4.63457 |val kld: 1.45729 |val kldravg: 1.49787 |val mae:  4.62886 |val mae ravg:  4.33086 |
|epoch:  17 | lr: 0.025 |train kld: 1.47693 |train kld ravg: 1.54840 |train mae:  4.61270 |train mae ravg:  4.62894 |val kld: 1.46921 |val kldravg: 1.49771 |val mae:  4.53443 |val mae ravg:  4.40121 |
|epoch:  18 | lr: 0.025 |train kld: 1.48262 |train kld ravg: 1.53001 |train mae:  4.66167 |train mae ravg:  4.63969 |val kld: 1.54650 |val kldravg: 1.49961 |val mae:  5.13878 |val mae ravg:  4.61110 |
|epoch:  19 | lr: 0.025 |train kld: 1.49410 |train kld ravg: 1.51100 |train mae:  4.70286 |train mae ravg:  4.67343 |val kld: 1.49241 |val kldravg: 1.48580 |val mae:  4.10537 |val mae ravg:  4.53557 |
|epoch:  20 | lr: 0.025 |train kld: 1.48560 |train kld ravg: 1.48999 |train mae:  4.57009 |train mae ravg:  4.64388 |val kld: 1.44704 |val kldravg: 1.48249 |val mae:  4.29084 |val mae ravg:  4.53966 |
|epoch:  21 | lr: 0.025 |train kld: 1.46459 |train kld ravg: 1.48077 |train mae:  4.49387 |train mae ravg:  4.60824 |val kld: 1.61150 |val kldravg: 1.51333 |val mae:  6.00983 |val mae ravg:  4.81585 |
|epoch:  22 | lr: 0.025 |train kld: 1.49041 |train kld ravg: 1.48347 |train mae:  4.47016 |train mae ravg:  4.57973 |val kld: 1.45821 |val kldravg: 1.51113 |val mae:  4.11107 |val mae ravg:  4.73118 |
|epoch:  23 | lr: 0.025 |train kld: 1.49546 |train kld ravg: 1.48603 |train mae:  4.62231 |train mae ravg:  4.57186 |val kld: 1.49273 |val kldravg: 1.50038 |val mae:  4.06133 |val mae ravg:  4.51569 |
|epoch:  24 | lr: 0.013 |train kld: 1.47501 |train kld ravg: 1.48221 |train mae:  4.55364 |train mae ravg:  4.54201 |val kld: 1.47371 |val kldravg: 1.49664 |val mae:  4.82128 |val mae ravg:  4.65887 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Finished:  2021-03-27 23:22:39.698239

Correlation between train loss and evaluation: 0.692

----------------------------------------------------------------------------------------------------------------------------------------------------------------
Number of GPUs:  2
Epoch decay:  60
Gamma decay:  0.5

Full model is being trained.
Start:  2021-03-27 23:22:39.702180
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 1.40886 |train kld ravg: 1.40886 |train mae:  4.12439 |train mae ravg:  4.12439 |val kld: 1.27703 |val kldravg: 1.27703 |val mae:  3.91897 |val mae ravg:  3.91897 |
|epoch:   1 | lr: 0.010 |train kld: 1.32069 |train kld ravg: 1.36478 |train mae:  3.61293 |train mae ravg:  3.86866 |val kld: 1.19294 |val kldravg: 1.23499 |val mae:  2.51051 |val mae ravg:  3.21474 |
|epoch:   2 | lr: 0.010 |train kld: 1.26281 |train kld ravg: 1.33079 |train mae:  3.43129 |train mae ravg:  3.72287 |val kld: 1.21669 |val kldravg: 1.22889 |val mae:  2.56597 |val mae ravg:  2.99848 |
