------------------------------------------------
Job ID: 41314556
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Tue Mar 23 19:21:29 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Initialize classifier layer.
Reinitialize feature layers:  [5, 4]
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  0.5

Final layer of model is being trained.
Start:  2021-03-23 19:21:36.463872
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 1.87040 |train kld ravg: 1.87040 |train mae:  9.63172 |train mae ravg:  9.63172 |val kld: 1.37339 |val kldravg: 1.37339 |val mae:  3.69129 |val mae ravg:  3.69129 |
|epoch:   1 | lr: 0.010 |train kld: 1.37864 |train kld ravg: 1.62452 |train mae:  4.00857 |train mae ravg:  6.82014 |val kld: 1.23076 |val kldravg: 1.30208 |val mae:  2.73840 |val mae ravg:  3.21485 |
|epoch:   2 | lr: 0.010 |train kld: 1.26999 |train kld ravg: 1.50634 |train mae:  3.35612 |train mae ravg:  5.66547 |val kld: 1.13113 |val kldravg: 1.24509 |val mae:  2.70640 |val mae ravg:  3.04536 |
|epoch:   3 | lr: 0.010 |train kld: 1.23822 |train kld ravg: 1.43931 |train mae:  3.30623 |train mae ravg:  5.07566 |val kld: 1.14292 |val kldravg: 1.21955 |val mae:  3.32578 |val mae ravg:  3.11547 |
|epoch:   4 | lr: 0.010 |train kld: 1.19780 |train kld ravg: 1.39101 |train mae:  3.09078 |train mae ravg:  4.67868 |val kld: 1.11549 |val kldravg: 1.19874 |val mae:  2.77512 |val mae ravg:  3.04740 |
|epoch:   5 | lr: 0.010 |train kld: 1.17976 |train kld ravg: 1.25288 |train mae:  3.01084 |train mae ravg:  3.35451 |val kld: 1.03799 |val kldravg: 1.13166 |val mae:  2.16292 |val mae ravg:  2.74172 |
|epoch:   6 | lr: 0.010 |train kld: 1.15666 |train kld ravg: 1.20849 |train mae:  2.89479 |train mae ravg:  3.13175 |val kld: 1.09525 |val kldravg: 1.10456 |val mae:  2.96447 |val mae ravg:  2.78694 |
|epoch:   7 | lr: 0.010 |train kld: 1.13373 |train kld ravg: 1.18123 |train mae:  2.98993 |train mae ravg:  3.05851 |val kld: 1.01128 |val kldravg: 1.08059 |val mae:  2.07936 |val mae ravg:  2.66153 |
|epoch:   8 | lr: 0.005 |train kld: 1.08703 |train kld ravg: 1.15100 |train mae:  2.78129 |train mae ravg:  2.95353 |val kld: 1.09756 |val kldravg: 1.07151 |val mae:  2.81856 |val mae ravg:  2.56009 |
|epoch:   9 | lr: 0.005 |train kld: 1.08733 |train kld ravg: 1.12890 |train mae:  2.77402 |train mae ravg:  2.89017 |val kld: 1.24998 |val kldravg: 1.09841 |val mae:  5.16321 |val mae ravg:  3.03770 |
|epoch:  10 | lr: 0.005 |train kld: 1.05267 |train kld ravg: 1.10348 |train mae:  2.67486 |train mae ravg:  2.82298 |val kld: 0.98988 |val kldravg: 1.08879 |val mae:  2.22000 |val mae ravg:  3.04912 |
