------------------------------------------------
Job ID: 41317404
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Mar 24 00:37:50 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for age - run: 0
Initialize classifier layer.
Reinitialize feature layers:  [5, 4]
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Final layer of model is being trained.
Start:  2021-03-24 00:37:56.731550
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 1.66286 |train kld ravg: 1.66286 |train mae:  6.93679 |train mae ravg:  6.93679 |val kld: 1.35774 |val kldravg: 1.35774 |val mae:  4.75110 |val mae ravg:  4.75110 |
|epoch:   1 | lr: 0.010 |train kld: 1.38093 |train kld ravg: 1.52189 |train mae:  3.74399 |train mae ravg:  5.34039 |val kld: 1.39312 |val kldravg: 1.37543 |val mae:  5.49206 |val mae ravg:  5.12158 |
|epoch:   2 | lr: 0.010 |train kld: 1.31885 |train kld ravg: 1.45421 |train mae:  3.43720 |train mae ravg:  4.70599 |val kld: 1.15404 |val kldravg: 1.30163 |val mae:  2.50117 |val mae ravg:  4.24811 |
|epoch:   3 | lr: 0.010 |train kld: 1.31942 |train kld ravg: 1.42051 |train mae:  3.44399 |train mae ravg:  4.39049 |val kld: 1.17621 |val kldravg: 1.27028 |val mae:  2.93890 |val mae ravg:  3.92081 |
|epoch:   4 | lr: 0.010 |train kld: 1.29287 |train kld ravg: 1.39498 |train mae:  3.38680 |train mae ravg:  4.18975 |val kld: 1.14028 |val kldravg: 1.24428 |val mae:  3.01196 |val mae ravg:  3.73904 |
|epoch:   5 | lr: 0.010 |train kld: 1.24044 |train kld ravg: 1.31050 |train mae:  3.20105 |train mae ravg:  3.44261 |val kld: 1.02538 |val kldravg: 1.17781 |val mae:  2.16534 |val mae ravg:  3.22189 |
|epoch:   6 | lr: 0.010 |train kld: 1.23835 |train kld ravg: 1.28198 |train mae:  3.24611 |train mae ravg:  3.34303 |val kld: 1.11510 |val kldravg: 1.12220 |val mae:  2.34700 |val mae ravg:  2.59288 |
|epoch:   7 | lr: 0.010 |train kld: 1.19371 |train kld ravg: 1.25696 |train mae:  3.13761 |train mae ravg:  3.28311 |val kld: 1.07091 |val kldravg: 1.10558 |val mae:  2.40487 |val mae ravg:  2.57361 |
|epoch:   8 | lr: 0.010 |train kld: 1.15184 |train kld ravg: 1.22344 |train mae:  2.87372 |train mae ravg:  3.16906 |val kld: 1.12050 |val kldravg: 1.09443 |val mae:  2.53152 |val mae ravg:  2.49214 |
|epoch:   9 | lr: 0.010 |train kld: 1.17406 |train kld ravg: 1.19968 |train mae:  2.94198 |train mae ravg:  3.08009 |val kld: 1.20847 |val kldravg: 1.10807 |val mae:  2.44679 |val mae ravg:  2.37910 |
|epoch:  10 | lr: 0.010 |train kld: 1.09648 |train kld ravg: 1.17089 |train mae:  2.73206 |train mae ravg:  2.98630 |val kld: 1.07315 |val kldravg: 1.11763 |val mae:  2.17380 |val mae ravg:  2.38080 |
|epoch:  11 | lr: 0.010 |train kld: 1.13245 |train kld ravg: 1.14971 |train mae:  2.79421 |train mae ravg:  2.89592 |val kld: 0.99420 |val kldravg: 1.09345 |val mae:  2.39633 |val mae ravg:  2.39066 |
|epoch:  12 | lr: 0.010 |train kld: 1.09559 |train kld ravg: 1.13008 |train mae:  2.77578 |train mae ravg:  2.82355 |val kld: 1.08031 |val kldravg: 1.09533 |val mae:  2.67430 |val mae ravg:  2.44455 |
|epoch:  13 | lr: 0.010 |train kld: 1.09301 |train kld ravg: 1.11832 |train mae:  2.73260 |train mae ravg:  2.79533 |val kld: 1.08534 |val kldravg: 1.08830 |val mae:  2.54161 |val mae ravg:  2.44657 |
|epoch:  14 | lr: 0.010 |train kld: 1.07045 |train kld ravg: 1.09760 |train mae:  2.62946 |train mae ravg:  2.73282 |val kld: 1.12139 |val kldravg: 1.07088 |val mae:  3.48016 |val mae ravg:  2.65324 |
|epoch:  15 | lr: 0.010 |train kld: 1.04035 |train kld ravg: 1.08637 |train mae:  2.52439 |train mae ravg:  2.69129 |val kld: 0.99465 |val kldravg: 1.05518 |val mae:  2.29171 |val mae ravg:  2.67682 |
|epoch:  16 | lr: 0.010 |train kld: 1.09611 |train kld ravg: 1.07910 |train mae:  2.71375 |train mae ravg:  2.67520 |val kld: 1.07800 |val kldravg: 1.07194 |val mae:  2.62015 |val mae ravg:  2.72159 |
|epoch:  17 | lr: 0.010 |train kld: 1.08551 |train kld ravg: 1.07709 |train mae:  2.66975 |train mae ravg:  2.65399 |val kld: 1.01589 |val kldravg: 1.05905 |val mae:  2.26521 |val mae ravg:  2.63977 |
|epoch:  18 | lr: 0.010 |train kld: 1.01734 |train kld ravg: 1.06195 |train mae:  2.53606 |train mae ravg:  2.61468 |val kld: 1.26087 |val kldravg: 1.09416 |val mae:  2.68087 |val mae ravg:  2.66762 |
|epoch:  19 | lr: 0.010 |train kld: 1.04776 |train kld ravg: 1.05741 |train mae:  2.50428 |train mae ravg:  2.58964 |val kld: 1.02687 |val kldravg: 1.07526 |val mae:  2.96675 |val mae ravg:  2.56494 |
|epoch:  20 | lr: 0.010 |train kld: 0.99246 |train kld ravg: 1.04784 |train mae:  2.43681 |train mae ravg:  2.57213 |val kld: 1.04392 |val kldravg: 1.08511 |val mae:  2.50640 |val mae ravg:  2.60787 |
|epoch:  21 | lr: 0.010 |train kld: 1.01912 |train kld ravg: 1.03244 |train mae:  2.55385 |train mae ravg:  2.54015 |val kld: 1.16266 |val kldravg: 1.10204 |val mae:  2.51993 |val mae ravg:  2.58783 |
|epoch:  22 | lr: 0.010 |train kld: 1.02560 |train kld ravg: 1.02046 |train mae:  2.54738 |train mae ravg:  2.51567 |val kld: 1.05709 |val kldravg: 1.11028 |val mae:  2.27614 |val mae ravg:  2.59002 |
|epoch:  23 | lr: 0.010 |train kld: 1.02959 |train kld ravg: 1.02291 |train mae:  2.54238 |train mae ravg:  2.51694 |val kld: 0.99006 |val kldravg: 1.05612 |val mae:  2.03344 |val mae ravg:  2.46053 |
|epoch:  24 | lr: 0.010 |train kld: 1.01602 |train kld ravg: 1.01656 |train mae:  2.50229 |train mae ravg:  2.51654 |val kld: 0.97725 |val kldravg: 1.04619 |val mae:  2.13949 |val mae ravg:  2.29508 |
|epoch:  25 | lr: 0.010 |train kld: 1.00477 |train kld ravg: 1.01902 |train mae:  2.44633 |train mae ravg:  2.51844 |val kld: 0.95641 |val kldravg: 1.02869 |val mae:  2.40918 |val mae ravg:  2.27564 |
|epoch:  26 | lr: 0.010 |train kld: 0.97843 |train kld ravg: 1.01088 |train mae:  2.38760 |train mae ravg:  2.48519 |val kld: 0.93084 |val kldravg: 0.98233 |val mae:  2.04071 |val mae ravg:  2.17979 |
