------------------------------------------------
Job ID: 39044655
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Mar 10 10:21:17 GMT 2021
------------------------------------------------
Loading ABIDE train data.
Loading ABIDE   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-10 10:21:23.902181
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 1.90471 |train kld ravg: 1.90471 |train mae:  10.27492 |train mae ravg:  10.27492 |val kld: 1.64650 |val kldravg: 1.64650 |val mae:  7.61079 |val mae ravg:  7.61079 |
|epoch:   1 | lr: 0.010 |train kld: 1.44757 |train kld ravg: 1.67614 |train mae:  4.96189 |train mae ravg:  7.61841 |val kld: 1.34579 |val kldravg: 1.49615 |val mae:  2.96017 |val mae ravg:  5.28548 |
|epoch:   2 | lr: 0.010 |train kld: 1.38653 |train kld ravg: 1.57960 |train mae:  4.43256 |train mae ravg:  6.55646 |val kld: 1.49703 |val kldravg: 1.49644 |val mae:  3.08491 |val mae ravg:  4.55196 |
|epoch:   3 | lr: 0.010 |train kld: 1.36569 |train kld ravg: 1.52613 |train mae:  4.28219 |train mae ravg:  5.98789 |val kld: 1.40027 |val kldravg: 1.47240 |val mae:  2.69196 |val mae ravg:  4.08696 |
|epoch:   4 | lr: 0.010 |train kld: 1.31601 |train kld ravg: 1.48410 |train mae:  4.15568 |train mae ravg:  5.62145 |val kld: 1.87683 |val kldravg: 1.55328 |val mae:  3.97840 |val mae ravg:  4.06524 |
|epoch:   5 | lr: 0.010 |train kld: 1.34079 |train kld ravg: 1.37132 |train mae:  4.17810 |train mae ravg:  4.40208 |val kld: 1.62040 |val kldravg: 1.54806 |val mae:  3.45923 |val mae ravg:  3.23493 |
|epoch:   6 | lr: 0.010 |train kld: 1.26862 |train kld ravg: 1.33553 |train mae:  3.88662 |train mae ravg:  4.18703 |val kld: 1.67282 |val kldravg: 1.61347 |val mae:  8.41134 |val mae ravg:  4.32517 |
|epoch:   7 | lr: 0.010 |train kld: 1.34317 |train kld ravg: 1.32686 |train mae:  4.15427 |train mae ravg:  4.13137 |val kld: 1.32441 |val kldravg: 1.57895 |val mae:  4.82651 |val mae ravg:  4.67349 |
|epoch:   8 | lr: 0.010 |train kld: 1.32612 |train kld ravg: 1.31894 |train mae:  4.07706 |train mae ravg:  4.09035 |val kld: 1.76290 |val kldravg: 1.65147 |val mae:  3.81931 |val mae ravg:  4.89896 |
|epoch:   9 | lr: 0.010 |train kld: 1.31223 |train kld ravg: 1.31818 |train mae:  4.13280 |train mae ravg:  4.08577 |val kld: 1.37178 |val kldravg: 1.55046 |val mae:  5.61545 |val mae ravg:  5.22637 |
|epoch:  10 | lr: 0.010 |train kld: 1.30564 |train kld ravg: 1.31115 |train mae:  4.08936 |train mae ravg:  4.06802 |val kld: 1.72653 |val kldravg: 1.57169 |val mae:  8.93974 |val mae ravg:  6.32247 |
|epoch:  11 | lr: 0.010 |train kld: 1.27656 |train kld ravg: 1.31274 |train mae:  3.97067 |train mae ravg:  4.08483 |val kld: 1.93058 |val kldravg: 1.62324 |val mae:  9.34287 |val mae ravg:  6.50878 |
|epoch:  12 | lr: 0.010 |train kld: 1.26940 |train kld ravg: 1.29799 |train mae:  3.99923 |train mae ravg:  4.05383 |val kld: 2.05346 |val kldravg: 1.76905 |val mae:  8.43723 |val mae ravg:  7.23092 |
|epoch:  13 | lr: 0.010 |train kld: 1.30318 |train kld ravg: 1.29340 |train mae:  3.92064 |train mae ravg:  4.02254 |val kld: 2.34692 |val kldravg: 1.88585 |val mae:  4.36082 |val mae ravg:  7.33922 |
|epoch:  14 | lr: 0.010 |train kld: 1.24976 |train kld ravg: 1.28091 |train mae:  3.82681 |train mae ravg:  3.96134 |val kld: 2.04871 |val kldravg: 2.02124 |val mae:  11.07031 |val mae ravg:  8.43020 |
|epoch:  15 | lr: 0.010 |train kld: 1.30489 |train kld ravg: 1.28076 |train mae:  4.03391 |train mae ravg:  3.95025 |val kld: 1.25233 |val kldravg: 1.92640 |val mae:  4.25882 |val mae ravg:  7.49401 |
|epoch:  16 | lr: 0.010 |train kld: 1.28714 |train kld ravg: 1.28287 |train mae:  4.01085 |train mae ravg:  3.95829 |val kld: 2.07907 |val kldravg: 1.95610 |val mae:  8.37848 |val mae ravg:  7.30113 |
