------------------------------------------------
Job ID: 39047891
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Mar 14 07:52:06 GMT 2021
------------------------------------------------
Loading ABIDE train data.
The data was balanced for  sex .
Loading ABIDE   val data.
Number of GPUs:  2
Epoch decay:  50
Gamma decay:  0.6

Full model is being trained with random initialization.
Start:  2021-03-14 07:52:13.714279
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.71161 |train ent ravg: 0.71161 |train acc:  0.50000 |train acc ravg:  0.50000 |val ent: 0.74173 |val entravg: 0.74173 |val acc:  0.31061 |val acc ravg:  0.31061 |
|epoch:   1 | lr: 0.010 |train ent: 0.69632 |train ent ravg: 0.70396 |train acc:  0.53351 |train acc ravg:  0.51675 |val ent: 0.81765 |val entravg: 0.77969 |val acc:  0.26136 |val acc ravg:  0.28598 |
|epoch:   2 | lr: 0.010 |train ent: 0.69717 |train ent ravg: 0.70170 |train acc:  0.49613 |train acc ravg:  0.50988 |val ent: 0.65294 |val entravg: 0.73744 |val acc:  0.62500 |val acc ravg:  0.39899 |
|epoch:   3 | lr: 0.010 |train ent: 0.68956 |train ent ravg: 0.69866 |train acc:  0.53351 |train acc ravg:  0.51579 |val ent: 0.63185 |val entravg: 0.71104 |val acc:  0.71591 |val acc ravg:  0.47822 |
|epoch:   4 | lr: 0.010 |train ent: 0.68777 |train ent ravg: 0.69648 |train acc:  0.55928 |train acc ravg:  0.52448 |val ent: 0.74295 |val entravg: 0.71742 |val acc:  0.32576 |val acc ravg:  0.44773 |
|epoch:   5 | lr: 0.010 |train ent: 0.68556 |train ent ravg: 0.69128 |train acc:  0.55541 |train acc ravg:  0.53557 |val ent: 0.72773 |val entravg: 0.71462 |val acc:  0.26136 |val acc ravg:  0.43788 |
|epoch:   6 | lr: 0.010 |train ent: 0.69093 |train ent ravg: 0.69020 |train acc:  0.50129 |train acc ravg:  0.52912 |val ent: 0.70597 |val entravg: 0.69229 |val acc:  0.28788 |val acc ravg:  0.44318 |
|epoch:   7 | lr: 0.010 |train ent: 0.69184 |train ent ravg: 0.68913 |train acc:  0.49871 |train acc ravg:  0.52964 |val ent: 0.70465 |val entravg: 0.70263 |val acc:  0.25379 |val acc ravg:  0.36894 |
|epoch:   8 | lr: 0.010 |train ent: 0.69307 |train ent ravg: 0.68983 |train acc:  0.51418 |train acc ravg:  0.52577 |val ent: 0.70212 |val entravg: 0.71668 |val acc:  0.30303 |val acc ravg:  0.28636 |
|epoch:   9 | lr: 0.010 |train ent: 0.69041 |train ent ravg: 0.69036 |train acc:  0.55155 |train acc ravg:  0.52423 |val ent: 0.62620 |val entravg: 0.69333 |val acc:  0.74242 |val acc ravg:  0.36970 |
|epoch:  10 | lr: 0.010 |train ent: 0.69427 |train ent ravg: 0.69210 |train acc:  0.50902 |train acc ravg:  0.51495 |val ent: 0.69257 |val entravg: 0.68630 |val acc:  0.42803 |val acc ravg:  0.40303 |
|epoch:  11 | lr: 0.010 |train ent: 0.69353 |train ent ravg: 0.69263 |train acc:  0.51933 |train acc ravg:  0.51856 |val ent: 0.71091 |val entravg: 0.68729 |val acc:  0.25758 |val acc ravg:  0.39697 |
|epoch:  12 | lr: 0.010 |train ent: 0.69398 |train ent ravg: 0.69305 |train acc:  0.48840 |train acc ravg:  0.51649 |val ent: 0.65472 |val entravg: 0.67730 |val acc:  0.73864 |val acc ravg:  0.49394 |
|epoch:  13 | lr: 0.010 |train ent: 0.69367 |train ent ravg: 0.69317 |train acc:  0.48582 |train acc ravg:  0.51082 |val ent: 0.70063 |val entravg: 0.67701 |val acc:  0.25000 |val acc ravg:  0.48333 |
|epoch:  14 | lr: 0.010 |train ent: 0.69358 |train ent ravg: 0.69381 |train acc:  0.50773 |train acc ravg:  0.50206 |val ent: 0.68181 |val entravg: 0.68813 |val acc:  0.74242 |val acc ravg:  0.48333 |
|epoch:  15 | lr: 0.010 |train ent: 0.69368 |train ent ravg: 0.69369 |train acc:  0.49485 |train acc ravg:  0.49923 |val ent: 0.70604 |val entravg: 0.69082 |val acc:  0.26515 |val acc ravg:  0.45076 |
|epoch:  16 | lr: 0.010 |train ent: 0.69436 |train ent ravg: 0.69385 |train acc:  0.49098 |train acc ravg:  0.49356 |val ent: 0.69602 |val entravg: 0.68784 |val acc:  0.26136 |val acc ravg:  0.45152 |
|epoch:  17 | lr: 0.010 |train ent: 0.69423 |train ent ravg: 0.69390 |train acc:  0.49098 |train acc ravg:  0.49407 |val ent: 0.68929 |val entravg: 0.69476 |val acc:  0.73864 |val acc ravg:  0.45152 |
|epoch:  18 | lr: 0.010 |train ent: 0.69422 |train ent ravg: 0.69401 |train acc:  0.46263 |train acc ravg:  0.48943 |val ent: 0.69141 |val entravg: 0.69291 |val acc:  0.73864 |val acc ravg:  0.54924 |
|epoch:  19 | lr: 0.010 |train ent: 0.69335 |train ent ravg: 0.69397 |train acc:  0.51675 |train acc ravg:  0.49124 |val ent: 0.67906 |val entravg: 0.69236 |val acc:  0.73485 |val acc ravg:  0.54773 |
|epoch:  20 | lr: 0.010 |train ent: 0.69469 |train ent ravg: 0.69417 |train acc:  0.48711 |train acc ravg:  0.48969 |val ent: 0.68592 |val entravg: 0.68834 |val acc:  0.73864 |val acc ravg:  0.64242 |
|epoch:  21 | lr: 0.010 |train ent: 0.69430 |train ent ravg: 0.69416 |train acc:  0.50515 |train acc ravg:  0.49253 |val ent: 0.70599 |val entravg: 0.69033 |val acc:  0.26515 |val acc ravg:  0.64318 |
|epoch:  22 | lr: 0.010 |train ent: 0.69383 |train ent ravg: 0.69408 |train acc:  0.46392 |train acc ravg:  0.48711 |val ent: 0.69086 |val entravg: 0.69065 |val acc:  0.73864 |val acc ravg:  0.64318 |
|epoch:  23 | lr: 0.010 |train ent: 0.69427 |train ent ravg: 0.69409 |train acc:  0.48582 |train acc ravg:  0.49175 |val ent: 0.69721 |val entravg: 0.69181 |val acc:  0.26515 |val acc ravg:  0.54848 |
|epoch:  24 | lr: 0.010 |train ent: 0.69396 |train ent ravg: 0.69421 |train acc:  0.47294 |train acc ravg:  0.48299 |val ent: 0.69485 |val entravg: 0.69497 |val acc:  0.25758 |val acc ravg:  0.45303 |
