,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.01,0.71722,0.53608,0.71239,0.50765
1,1.0,0.01,0.72971,0.51804,0.70842,0.52296
2,2.0,0.01,0.72168,0.51976,0.71692,0.51871
3,3.0,0.01,0.71876,0.52255,0.71457,0.51849
4,4.0,0.01,0.71493,0.52423,0.71229,0.51735
5,5.0,0.01,0.71239,0.5232,0.71316,0.50714
6,6.0,0.01,0.70444,0.52809,0.7111,0.51531
7,7.0,0.01,0.70374,0.52552,0.70346,0.52602
8,8.0,0.01,0.70004,0.53067,0.70592,0.525
9,9.0,0.01,0.69815,0.53428,0.70563,0.52296
10,10.0,0.01,0.69606,0.53582,0.69933,0.55306
11,11.0,0.01,0.6919,0.54381,0.69971,0.5449
12,12.0,0.01,0.68705,0.55515,0.71379,0.53265
13,13.0,0.01,0.68403,0.55722,0.71694,0.53112
14,14.0,0.01,0.68472,0.55412,0.7173,0.53163
15,15.0,0.01,0.68345,0.55773,0.72489,0.5102
16,16.0,0.01,0.68471,0.55644,0.7217,0.52092
17,17.0,0.01,0.68438,0.5567,0.70119,0.54847
18,18.0,0.01,0.68302,0.56186,0.6941,0.55459
19,19.0,0.01,0.68144,0.56856,0.68892,0.56888
20,20.0,0.01,0.67806,0.57835,0.67872,0.59082
21,21.0,0.01,0.67293,0.58608,0.68147,0.58571
22,22.0,0.01,0.67084,0.5933,0.71551,0.55969
23,23.0,0.01,0.67492,0.58995,0.71145,0.55969
24,24.0,0.01,0.67119,0.59768,0.70957,0.56888
25,25.0,0.01,0.67164,0.5933,0.70819,0.57245
26,26.0,0.01,0.67107,0.59381,0.72082,0.56939
27,27.0,0.01,0.67139,0.59124,0.69084,0.57755
28,28.0,0.01,0.66455,0.6,0.68837,0.59796
29,29.0,0.01,0.66004,0.60464,0.75157,0.57704
30,30.0,0.003,0.65298,0.61856,0.74993,0.57857
31,31.0,0.003,0.64625,0.62912,0.73339,0.58673
32,32.0,0.003,0.63903,0.63866,0.73559,0.6051
33,33.0,0.003,0.63057,0.65,0.74304,0.58724
34,34.0,0.003,0.62578,0.65851,0.67334,0.61378
35,35.0,0.003,0.62115,0.66186,0.66853,0.61888
36,36.0,0.003,0.61677,0.66804,0.6762,0.61327
37,37.0,0.003,0.61358,0.67216,0.67458,0.59031
38,38.0,0.003,0.6113,0.67191,0.66733,0.60357
39,39.0,0.003,0.60287,0.67809,0.67346,0.58469
40,40.0,0.003,0.59854,0.68093,0.69265,0.5602
41,41.0,0.003,0.59449,0.68402,0.69768,0.55867
42,42.0,0.003,0.59102,0.69227,0.69407,0.57959
43,43.0,0.003,0.58855,0.69381,0.69387,0.58163
44,44.0,0.003,0.58688,0.69974,0.78295,0.57245
45,45.0,0.003,0.57949,0.70825,0.889,0.56429
46,46.0,0.003,0.57317,0.71546,0.89615,0.55918
47,47.0,0.003,0.56062,0.72294,0.97095,0.54031
48,48.0,0.003,0.54718,0.73273,0.965,0.5551
49,49.0,0.003,0.5355,0.73351,0.92617,0.55663
50,50.0,0.003,0.52421,0.74356,0.79845,0.60153
51,51.0,0.003,0.50897,0.75232,0.91593,0.60255
52,52.0,0.003,0.4955,0.76314,0.84648,0.63112
53,53.0,0.003,0.49327,0.76624,0.8578,0.6199
54,54.0,0.003,0.48778,0.77603,0.80663,0.64643
55,55.0,0.003,0.48579,0.775,1.33296,0.60408
56,56.0,0.003,0.48344,0.77938,1.18931,0.63776
57,57.0,0.003,0.47799,0.78067,1.17942,0.64337
58,58.0,0.003,0.46708,0.79201,1.19812,0.63929
59,59.0,0.003,0.45048,0.79845,1.19106,0.64847
60,60.0,0.001,0.42752,0.81031,0.68629,0.675
61,61.0,0.001,0.40377,0.82062,0.66942,0.68776
62,62.0,0.001,0.37716,0.84046,0.78117,0.65204
63,63.0,0.001,0.34677,0.85619,0.74474,0.675
64,64.0,0.001,0.32458,0.87139,0.73859,0.68878
65,65.0,0.001,0.30519,0.88531,0.7955,0.6852
66,66.0,0.001,0.29082,0.89562,1.01412,0.63418
67,67.0,0.001,0.285,0.89613,0.95641,0.64439
68,68.0,0.001,0.27844,0.90052,1.142,0.59949
69,69.0,0.001,0.26887,0.90438,1.19655,0.57755
70,70.0,0.001,0.26628,0.90541,1.12107,0.60612
71,71.0,0.001,0.26847,0.90232,1.20832,0.60459
72,72.0,0.001,0.26517,0.90412,1.68381,0.5898
73,73.0,0.001,0.2641,0.90026,1.54133,0.62755
74,74.0,0.001,0.27247,0.8951,1.57808,0.60714
75,75.0,0.001,0.26859,0.89588,1.59724,0.5852
76,76.0,0.001,0.25736,0.90258,1.5311,0.58724
77,77.0,0.001,0.25796,0.89923,1.01035,0.62245
78,78.0,0.001,0.25626,0.90284,0.96245,0.63673
79,79.0,0.001,0.24092,0.91082,0.88132,0.67143
80,80.0,0.001,0.23473,0.91546,0.85947,0.66684
81,81.0,0.001,0.22926,0.91572,0.70789,0.67296
82,82.0,0.001,0.21408,0.92448,0.72839,0.67449
83,83.0,0.001,0.20378,0.9299,0.88728,0.63724
84,84.0,0.001,0.20599,0.93067,0.88175,0.63827
85,85.0,0.001,0.19807,0.93402,1.05711,0.62347
86,86.0,0.001,0.20039,0.93273,0.97453,0.66276
87,87.0,0.001,0.20437,0.92861,0.98517,0.66173
88,88.0,0.001,0.1949,0.93402,0.95997,0.65867
89,89.0,0.001,0.19626,0.9299,0.96135,0.66224
90,90.0,0.0,0.1917,0.92887,0.77872,0.70765
91,91.0,0.0,0.17767,0.93737,0.78319,0.71173
92,92.0,0.0,0.16001,0.94691,0.73302,0.73061
93,93.0,0.0,0.15491,0.94794,0.60476,0.76735
94,94.0,0.0,0.13672,0.95825,0.6181,0.77296
95,95.0,0.0,0.13053,0.96418,0.62647,0.75918
96,96.0,0.0,0.12886,0.96521,0.6201,0.75663
97,97.0,0.0,0.13489,0.96289,0.67984,0.73367
98,98.0,0.0,0.12691,0.96701,0.69081,0.73469
99,99.0,0.0,0.12197,0.96778,0.69966,0.7301
100,100.0,0.0,0.11944,0.96701,0.70053,0.73878
101,101.0,0.0,0.11492,0.96881,0.73452,0.71786
102,102.0,0.0,0.1076,0.97268,0.68419,0.71582
103,103.0,0.0,0.10995,0.97088,0.67454,0.71888
104,104.0,0.0,0.10536,0.97448,0.64993,0.71684
105,105.0,0.0,0.10775,0.97294,0.67802,0.70969
106,106.0,0.0,0.11064,0.97165,0.66332,0.73571
107,107.0,0.0,0.11076,0.97216,0.71346,0.73622
108,108.0,0.0,0.1122,0.97088,0.70524,0.73367
109,109.0,0.0,0.11736,0.96701,0.74489,0.72092
110,110.0,0.0,0.11336,0.96856,0.73336,0.7301
111,111.0,0.0,0.11232,0.96778,0.73617,0.72245
112,112.0,0.0,0.10766,0.96804,0.68326,0.74082
