------------------------------------------------
Job ID: 42780038
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Apr 3 00:15:09 BST 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ABIDE train data.
The data was balanced for  sex .
Loading ABIDE   val data.
The data was balanced for  sex .
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-04-03 00:15:18.102985
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.71722 |train ent ravg: 0.71722 |train acc:  0.53608 |train acc ravg:  0.53608 |val ent: 0.71239 |val entravg: 0.71239 |val acc:  0.50765 |val acc ravg:  0.50765 |
|epoch:   1 | lr: 0.010 |train ent: 0.74220 |train ent ravg: 0.72971 |train acc:  0.50000 |train acc ravg:  0.51804 |val ent: 0.70445 |val entravg: 0.70842 |val acc:  0.53827 |val acc ravg:  0.52296 |
|epoch:   2 | lr: 0.010 |train ent: 0.70564 |train ent ravg: 0.72168 |train acc:  0.52320 |train acc ravg:  0.51976 |val ent: 0.73393 |val entravg: 0.71692 |val acc:  0.51020 |val acc ravg:  0.51871 |
|epoch:   3 | lr: 0.010 |train ent: 0.70997 |train ent ravg: 0.71876 |train acc:  0.53093 |train acc ravg:  0.52255 |val ent: 0.70753 |val entravg: 0.71457 |val acc:  0.51786 |val acc ravg:  0.51849 |
|epoch:   4 | lr: 0.010 |train ent: 0.69962 |train ent ravg: 0.71493 |train acc:  0.53093 |train acc ravg:  0.52423 |val ent: 0.70313 |val entravg: 0.71229 |val acc:  0.51276 |val acc ravg:  0.51735 |
|epoch:   5 | lr: 0.010 |train ent: 0.70451 |train ent ravg: 0.71239 |train acc:  0.53093 |train acc ravg:  0.52320 |val ent: 0.71675 |val entravg: 0.71316 |val acc:  0.45663 |val acc ravg:  0.50714 |
|epoch:   6 | lr: 0.010 |train ent: 0.70245 |train ent ravg: 0.70444 |train acc:  0.52448 |train acc ravg:  0.52809 |val ent: 0.69415 |val entravg: 0.71110 |val acc:  0.57908 |val acc ravg:  0.51531 |
|epoch:   7 | lr: 0.010 |train ent: 0.70213 |train ent ravg: 0.70374 |train acc:  0.51031 |train acc ravg:  0.52552 |val ent: 0.69576 |val entravg: 0.70346 |val acc:  0.56378 |val acc ravg:  0.52602 |
|epoch:   8 | lr: 0.010 |train ent: 0.69147 |train ent ravg: 0.70004 |train acc:  0.55670 |train acc ravg:  0.53067 |val ent: 0.71981 |val entravg: 0.70592 |val acc:  0.51276 |val acc ravg:  0.52500 |
|epoch:   9 | lr: 0.010 |train ent: 0.69021 |train ent ravg: 0.69815 |train acc:  0.54897 |train acc ravg:  0.53428 |val ent: 0.70169 |val entravg: 0.70563 |val acc:  0.50255 |val acc ravg:  0.52296 |
|epoch:  10 | lr: 0.010 |train ent: 0.69403 |train ent ravg: 0.69606 |train acc:  0.53866 |train acc ravg:  0.53582 |val ent: 0.68524 |val entravg: 0.69933 |val acc:  0.60714 |val acc ravg:  0.55306 |
