------------------------------------------------
Job ID: 38501086
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 1 12:42:29 GMT 2021
------------------------------------------------
Loading ABIDE train data.
Loading ABIDE   val data.
Load model for sex - run: 0
Number of GPUs:  2

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-01 12:43:26.083700
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.001 |train ent: 0.68218 |train ent ravg: 0.68218 |train acc:  0.55597 |train acc ravg:  0.55597 |val ent: 0.62808 |val entravg: 0.62808 |val acc:  0.74242 |val acc ravg:  0.74242 |
|epoch:   1 | lr: 0.001 |train ent: 0.61191 |train ent ravg: 0.64705 |train acc:  0.72575 |train acc ravg:  0.64086 |val ent: 0.59307 |val entravg: 0.61057 |val acc:  0.73864 |val acc ravg:  0.74053 |
|epoch:   2 | lr: 0.001 |train ent: 0.59207 |train ent ravg: 0.62872 |train acc:  0.72575 |train acc ravg:  0.66915 |val ent: 0.59221 |val entravg: 0.60445 |val acc:  0.73864 |val acc ravg:  0.73990 |
|epoch:   3 | lr: 0.001 |train ent: 0.57509 |train ent ravg: 0.61531 |train acc:  0.72575 |train acc ravg:  0.68330 |val ent: 0.55768 |val entravg: 0.59276 |val acc:  0.73485 |val acc ravg:  0.73864 |
|epoch:   4 | lr: 0.001 |train ent: 0.56326 |train ent ravg: 0.60490 |train acc:  0.72575 |train acc ravg:  0.69179 |val ent: 0.55454 |val entravg: 0.58511 |val acc:  0.73485 |val acc ravg:  0.73788 |
|epoch:   5 | lr: 0.001 |train ent: 0.55806 |train ent ravg: 0.58008 |train acc:  0.72575 |train acc ravg:  0.72575 |val ent: 0.53641 |val entravg: 0.56678 |val acc:  0.73864 |val acc ravg:  0.73712 |
|epoch:   6 | lr: 0.001 |train ent: 0.54581 |train ent ravg: 0.56686 |train acc:  0.72575 |train acc ravg:  0.72575 |val ent: 0.52894 |val entravg: 0.55395 |val acc:  0.73485 |val acc ravg:  0.73636 |
|epoch:   7 | lr: 0.001 |train ent: 0.52066 |train ent ravg: 0.55257 |train acc:  0.72575 |train acc ravg:  0.72575 |val ent: 0.54141 |val entravg: 0.54379 |val acc:  0.73485 |val acc ravg:  0.73561 |
|epoch:   8 | lr: 0.001 |train ent: 0.51151 |train ent ravg: 0.53986 |train acc:  0.72575 |train acc ravg:  0.72575 |val ent: 0.50895 |val entravg: 0.53405 |val acc:  0.73485 |val acc ravg:  0.73561 |
|epoch:   9 | lr: 0.001 |train ent: 0.49630 |train ent ravg: 0.52647 |train acc:  0.72948 |train acc ravg:  0.72649 |val ent: 0.49731 |val entravg: 0.52260 |val acc:  0.74242 |val acc ravg:  0.73712 |
|epoch:  10 | lr: 0.001 |train ent: 0.48077 |train ent ravg: 0.51101 |train acc:  0.73507 |train acc ravg:  0.72836 |val ent: 0.49313 |val entravg: 0.51395 |val acc:  0.74242 |val acc ravg:  0.73788 |
