------------------------------------------------
Job ID: 38653418
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 5 13:18:21 GMT 2021
------------------------------------------------
Loading ABIDE train data.
The data was balanced for  sex .
Loading ABIDE   val data.
Load model for sex - run: 0
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.5

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-05 13:18:28.030406
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.69343 |train ent ravg: 0.69343 |train acc:  0.51418 |train acc ravg:  0.51418 |val ent: 0.71178 |val entravg: 0.71178 |val acc:  0.44697 |val acc ravg:  0.44697 |
|epoch:   1 | lr: 0.005 |train ent: 0.67480 |train ent ravg: 0.68411 |train acc:  0.58505 |train acc ravg:  0.54961 |val ent: 0.58223 |val entravg: 0.64700 |val acc:  0.73864 |val acc ravg:  0.59280 |
|epoch:   2 | lr: 0.005 |train ent: 0.62969 |train ent ravg: 0.66597 |train acc:  0.67139 |train acc ravg:  0.59021 |val ent: 0.49617 |val entravg: 0.59672 |val acc:  0.77273 |val acc ravg:  0.65278 |
|epoch:   3 | lr: 0.005 |train ent: 0.56396 |train ent ravg: 0.64047 |train acc:  0.74871 |train acc ravg:  0.62983 |val ent: 0.68879 |val entravg: 0.61974 |val acc:  0.59091 |val acc ravg:  0.63731 |
|epoch:   4 | lr: 0.005 |train ent: 0.53431 |train ent ravg: 0.61924 |train acc:  0.77320 |train acc ravg:  0.65851 |val ent: 0.54122 |val entravg: 0.60404 |val acc:  0.74621 |val acc ravg:  0.65909 |
|epoch:   5 | lr: 0.005 |train ent: 0.44394 |train ent ravg: 0.56934 |train acc:  0.82861 |train acc ravg:  0.72139 |val ent: 0.58354 |val entravg: 0.57839 |val acc:  0.73485 |val acc ravg:  0.71667 |
|epoch:   6 | lr: 0.005 |train ent: 0.41929 |train ent ravg: 0.51824 |train acc:  0.82990 |train acc ravg:  0.77036 |val ent: 0.42652 |val entravg: 0.54725 |val acc:  0.78788 |val acc ravg:  0.72652 |
|epoch:   7 | lr: 0.005 |train ent: 0.40964 |train ent ravg: 0.47423 |train acc:  0.84536 |train acc ravg:  0.80515 |val ent: 0.85991 |val entravg: 0.62000 |val acc:  0.37121 |val acc ravg:  0.64621 |
|epoch:   8 | lr: 0.005 |train ent: 0.36453 |train ent ravg: 0.43434 |train acc:  0.84407 |train acc ravg:  0.82423 |val ent: 0.44305 |val entravg: 0.57085 |val acc:  0.79924 |val acc ravg:  0.68788 |
|epoch:   9 | lr: 0.005 |train ent: 0.34917 |train ent ravg: 0.39731 |train acc:  0.86856 |train acc ravg:  0.84330 |val ent: 0.49677 |val entravg: 0.56196 |val acc:  0.75000 |val acc ravg:  0.68864 |
|epoch:  10 | lr: 0.005 |train ent: 0.30810 |train ent ravg: 0.37015 |train acc:  0.89046 |train acc ravg:  0.85567 |val ent: 0.45380 |val entravg: 0.53601 |val acc:  0.75000 |val acc ravg:  0.69167 |
