------------------------------------------------
Job ID: 38662563
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 6 00:09:30 GMT 2021
------------------------------------------------
Loading ABIDE train data.
The data was balanced for  sex .
Loading ABIDE   val data.
Load model for sex - run: 0
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.7

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-06 00:09:38.142709
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.67978 |train ent ravg: 0.67978 |train acc:  0.57088 |train acc ravg:  0.57088 |val ent: 0.71495 |val entravg: 0.71495 |val acc:  0.42803 |val acc ravg:  0.42803 |
|epoch:   1 | lr: 0.010 |train ent: 0.62358 |train ent ravg: 0.65168 |train acc:  0.67268 |train acc ravg:  0.62178 |val ent: 3.94827 |val entravg: 2.33161 |val acc:  0.26136 |val acc ravg:  0.34470 |
|epoch:   2 | lr: 0.010 |train ent: 0.60777 |train ent ravg: 0.63705 |train acc:  0.67268 |train acc ravg:  0.63875 |val ent: 1.15811 |val entravg: 1.94044 |val acc:  0.26136 |val acc ravg:  0.31692 |
|epoch:   3 | lr: 0.010 |train ent: 0.55684 |train ent ravg: 0.61699 |train acc:  0.73711 |train acc ravg:  0.66334 |val ent: 0.56239 |val entravg: 1.59593 |val acc:  0.74621 |val acc ravg:  0.42424 |
|epoch:   4 | lr: 0.010 |train ent: 0.59484 |train ent ravg: 0.61256 |train acc:  0.67655 |train acc ravg:  0.66598 |val ent: 0.54817 |val entravg: 1.38638 |val acc:  0.74242 |val acc ravg:  0.48788 |
|epoch:   5 | lr: 0.010 |train ent: 0.52026 |train ent ravg: 0.58066 |train acc:  0.75902 |train acc ravg:  0.70361 |val ent: 0.46340 |val entravg: 1.33607 |val acc:  0.75379 |val acc ravg:  0.55303 |
|epoch:   6 | lr: 0.010 |train ent: 0.46398 |train ent ravg: 0.54874 |train acc:  0.80026 |train acc ravg:  0.72912 |val ent: 0.47903 |val entravg: 0.64222 |val acc:  0.78788 |val acc ravg:  0.65833 |
|epoch:   7 | lr: 0.010 |train ent: 0.46529 |train ent ravg: 0.52024 |train acc:  0.78995 |train acc ravg:  0.75258 |val ent: 0.65911 |val entravg: 0.54242 |val acc:  0.57955 |val acc ravg:  0.72197 |
|epoch:   8 | lr: 0.010 |train ent: 0.42686 |train ent ravg: 0.49424 |train acc:  0.81057 |train acc ravg:  0.76727 |val ent: 4.41430 |val entravg: 1.31280 |val acc:  0.26515 |val acc ravg:  0.62576 |
|epoch:   9 | lr: 0.010 |train ent: 0.39388 |train ent ravg: 0.45405 |train acc:  0.84278 |train acc ravg:  0.80052 |val ent: 0.48417 |val entravg: 1.30000 |val acc:  0.74621 |val acc ravg:  0.62652 |
|epoch:  10 | lr: 0.010 |train ent: 0.34966 |train ent ravg: 0.41993 |train acc:  0.85696 |train acc ravg:  0.82010 |val ent: 0.82121 |val entravg: 1.37156 |val acc:  0.73864 |val acc ravg:  0.62348 |
|epoch:  11 | lr: 0.010 |train ent: 0.36998 |train ent ravg: 0.40113 |train acc:  0.84536 |train acc ravg:  0.82912 |val ent: 0.79721 |val entravg: 1.43520 |val acc:  0.47727 |val acc ravg:  0.56136 |
|epoch:  12 | lr: 0.010 |train ent: 0.32069 |train ent ravg: 0.37221 |train acc:  0.86856 |train acc ravg:  0.84485 |val ent: 0.37688 |val entravg: 1.37875 |val acc:  0.84848 |val acc ravg:  0.61515 |
|epoch:  13 | lr: 0.010 |train ent: 0.33076 |train ent ravg: 0.35299 |train acc:  0.87371 |train acc ravg:  0.85747 |val ent: 0.93655 |val entravg: 0.68320 |val acc:  0.73485 |val acc ravg:  0.70909 |
|epoch:  14 | lr: 0.010 |train ent: 0.31074 |train ent ravg: 0.33636 |train acc:  0.88660 |train acc ravg:  0.86624 |val ent: 0.49459 |val entravg: 0.68529 |val acc:  0.75000 |val acc ravg:  0.70985 |
|epoch:  15 | lr: 0.010 |train ent: 0.31801 |train ent ravg: 0.33004 |train acc:  0.87371 |train acc ravg:  0.86959 |val ent: 1.73171 |val entravg: 0.86739 |val acc:  0.29924 |val acc ravg:  0.62197 |
|epoch:  16 | lr: 0.010 |train ent: 0.34759 |train ent ravg: 0.32556 |train acc:  0.85438 |train acc ravg:  0.87139 |val ent: 0.48538 |val entravg: 0.80502 |val acc:  0.78788 |val acc ravg:  0.68409 |
|epoch:  17 | lr: 0.010 |train ent: 0.27554 |train ent ravg: 0.31653 |train acc:  0.88660 |train acc ravg:  0.87500 |val ent: 0.50008 |val entravg: 0.82966 |val acc:  0.76894 |val acc ravg:  0.66818 |
|epoch:  18 | lr: 0.010 |train ent: 0.30258 |train ent ravg: 0.31089 |train acc:  0.88015 |train acc ravg:  0.87629 |val ent: 0.70099 |val entravg: 0.78255 |val acc:  0.56061 |val acc ravg:  0.63333 |
|epoch:  19 | lr: 0.010 |train ent: 0.21125 |train ent ravg: 0.29099 |train acc:  0.93814 |train acc ravg:  0.88660 |val ent: 0.49697 |val entravg: 0.78303 |val acc:  0.79924 |val acc ravg:  0.64318 |
|epoch:  20 | lr: 0.007 |train ent: 0.19460 |train ent ravg: 0.26631 |train acc:  0.93943 |train acc ravg:  0.89974 |val ent: 0.85802 |val entravg: 0.60829 |val acc:  0.74242 |val acc ravg:  0.73182 |
|epoch:  21 | lr: 0.007 |train ent: 0.18923 |train ent ravg: 0.23464 |train acc:  0.93943 |train acc ravg:  0.91675 |val ent: 0.58333 |val entravg: 0.62788 |val acc:  0.71970 |val acc ravg:  0.71818 |
|epoch:  22 | lr: 0.007 |train ent: 0.15667 |train ent ravg: 0.21087 |train acc:  0.95747 |train acc ravg:  0.93093 |val ent: 0.33916 |val entravg: 0.59569 |val acc:  0.85985 |val acc ravg:  0.73636 |
|epoch:  23 | lr: 0.007 |train ent: 0.17068 |train ent ravg: 0.18449 |train acc:  0.94330 |train acc ravg:  0.94356 |val ent: 0.37133 |val entravg: 0.52976 |val acc:  0.83333 |val acc ravg:  0.79091 |
|epoch:  24 | lr: 0.007 |train ent: 0.14523 |train ent ravg: 0.17128 |train acc:  0.96005 |train acc ravg:  0.94794 |val ent: 0.39088 |val entravg: 0.50854 |val acc:  0.87121 |val acc ravg:  0.80530 |
|epoch:  25 | lr: 0.007 |train ent: 0.15847 |train ent ravg: 0.16406 |train acc:  0.94588 |train acc ravg:  0.94923 |val ent: 2.08301 |val entravg: 0.75354 |val acc:  0.26136 |val acc ravg:  0.70909 |
|epoch:  26 | lr: 0.007 |train ent: 0.17485 |train ent ravg: 0.16118 |train acc:  0.93943 |train acc ravg:  0.94923 |val ent: 1.44953 |val entravg: 0.92678 |val acc:  0.34470 |val acc ravg:  0.63409 |
|epoch:  27 | lr: 0.007 |train ent: 0.13228 |train ent ravg: 0.15630 |train acc:  0.96263 |train acc ravg:  0.95026 |val ent: 0.71825 |val entravg: 1.00260 |val acc:  0.71591 |val acc ravg:  0.60530 |
|epoch:  28 | lr: 0.007 |train ent: 0.17292 |train ent ravg: 0.15675 |train acc:  0.94974 |train acc ravg:  0.95155 |val ent: 0.87629 |val entravg: 1.10359 |val acc:  0.60227 |val acc ravg:  0.55909 |
|epoch:  29 | lr: 0.007 |train ent: 0.13700 |train ent ravg: 0.15510 |train acc:  0.96521 |train acc ravg:  0.95258 |val ent: 0.71656 |val entravg: 1.16873 |val acc:  0.76136 |val acc ravg:  0.53712 |
|epoch:  30 | lr: 0.007 |train ent: 0.10618 |train ent ravg: 0.14465 |train acc:  0.97423 |train acc ravg:  0.95825 |val ent: 0.35658 |val entravg: 0.82344 |val acc:  0.85606 |val acc ravg:  0.65606 |
|epoch:  31 | lr: 0.007 |train ent: 0.19768 |train ent ravg: 0.14921 |train acc:  0.92784 |train acc ravg:  0.95593 |val ent: 5.22066 |val entravg: 1.57767 |val acc:  0.26136 |val acc ravg:  0.63939 |
|epoch:  32 | lr: 0.007 |train ent: 0.15199 |train ent ravg: 0.15315 |train acc:  0.95103 |train acc ravg:  0.95361 |val ent: 0.80024 |val entravg: 1.59407 |val acc:  0.59470 |val acc ravg:  0.61515 |
|epoch:  33 | lr: 0.007 |train ent: 0.12430 |train ent ravg: 0.14343 |train acc:  0.97036 |train acc ravg:  0.95773 |val ent: 0.64241 |val entravg: 1.54729 |val acc:  0.67803 |val acc ravg:  0.63030 |
|epoch:  34 | lr: 0.007 |train ent: 0.10152 |train ent ravg: 0.13634 |train acc:  0.97423 |train acc ravg:  0.95954 |val ent: 0.46281 |val entravg: 1.49654 |val acc:  0.80682 |val acc ravg:  0.63939 |
|epoch:  35 | lr: 0.007 |train ent: 0.21133 |train ent ravg: 0.15736 |train acc:  0.93299 |train acc ravg:  0.95129 |val ent: 0.60859 |val entravg: 1.54694 |val acc:  0.78409 |val acc ravg:  0.62500 |
|epoch:  36 | lr: 0.007 |train ent: 0.12891 |train ent ravg: 0.14361 |train acc:  0.95490 |train acc ravg:  0.95670 |val ent: 0.54332 |val entravg: 0.61147 |val acc:  0.78409 |val acc ravg:  0.72955 |
|epoch:  37 | lr: 0.007 |train ent: 0.09927 |train ent ravg: 0.13307 |train acc:  0.97423 |train acc ravg:  0.96134 |val ent: 0.95628 |val entravg: 0.64268 |val acc:  0.43182 |val acc ravg:  0.69697 |
|epoch:  38 | lr: 0.007 |train ent: 0.12437 |train ent ravg: 0.13308 |train acc:  0.96263 |train acc ravg:  0.95979 |val ent: 0.68379 |val entravg: 0.65096 |val acc:  0.66667 |val acc ravg:  0.69470 |
|epoch:  39 | lr: 0.007 |train ent: 0.12619 |train ent ravg: 0.13801 |train acc:  0.96907 |train acc ravg:  0.95876 |val ent: 0.46095 |val entravg: 0.65059 |val acc:  0.80303 |val acc ravg:  0.69394 |
|epoch:  40 | lr: 0.005 |train ent: 0.09135 |train ent ravg: 0.11402 |train acc:  0.97680 |train acc ravg:  0.96753 |val ent: 0.48837 |val entravg: 0.62654 |val acc:  0.80682 |val acc ravg:  0.69848 |
|epoch:  41 | lr: 0.005 |train ent: 0.05255 |train ent ravg: 0.09875 |train acc:  0.99485 |train acc ravg:  0.97552 |val ent: 0.34230 |val entravg: 0.58634 |val acc:  0.85606 |val acc ravg:  0.71288 |
