,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.005,0.79348,0.50515,0.69463,0.4898
1,1.0,0.005,0.76896,0.49162,0.69457,0.49107
2,2.0,0.005,0.75638,0.49356,0.69484,0.49405
3,3.0,0.005,0.74654,0.49388,0.69603,0.49554
4,4.0,0.005,0.73942,0.49227,0.69566,0.49592
5,5.0,0.005,0.72234,0.4884,0.69546,0.49796
6,6.0,0.005,0.71286,0.49665,0.69595,0.50255
7,7.0,0.005,0.70652,0.50103,0.69977,0.50255
8,8.0,0.005,0.7022,0.50747,0.69853,0.50612
9,9.0,0.005,0.69875,0.51624,0.69874,0.50918
10,10.0,0.005,0.69648,0.52165,0.698,0.51735
11,11.0,0.005,0.69723,0.51933,0.69618,0.51531
12,12.0,0.005,0.69586,0.52345,0.71652,0.51735
13,13.0,0.005,0.69516,0.52113,0.71579,0.52194
14,14.0,0.005,0.69333,0.52345,0.71218,0.53112
15,15.0,0.005,0.69289,0.52784,0.70973,0.54694
16,16.0,0.005,0.69061,0.53634,0.70776,0.55204
17,17.0,0.005,0.68897,0.54021,0.6827,0.56939
18,18.0,0.005,0.68789,0.54485,0.68205,0.5699
19,19.0,0.005,0.68656,0.55155,0.68512,0.56327
20,20.0,0.003,0.68209,0.56263,0.68454,0.55051
21,21.0,0.003,0.67879,0.57036,0.68279,0.56122
22,22.0,0.003,0.67694,0.57655,0.67907,0.56276
23,23.0,0.003,0.67378,0.58737,0.67998,0.56122
24,24.0,0.003,0.67198,0.59201,0.67405,0.58367
25,25.0,0.003,0.67147,0.59227,0.67259,0.59082
26,26.0,0.003,0.66889,0.59407,0.67024,0.59796
27,27.0,0.003,0.66321,0.60026,0.66797,0.59949
28,28.0,0.003,0.65964,0.60928,0.66534,0.60765
29,29.0,0.003,0.65603,0.61418,0.66569,0.61327
30,30.0,0.003,0.65502,0.61675,0.66495,0.60765
31,31.0,0.003,0.65203,0.62423,0.66691,0.60816
32,32.0,0.003,0.65055,0.62448,0.66513,0.60153
33,33.0,0.003,0.6478,0.6232,0.67563,0.59388
34,34.0,0.003,0.64057,0.63531,0.67297,0.5898
35,35.0,0.003,0.63652,0.64046,0.68137,0.58061
36,36.0,0.003,0.6288,0.64768,0.68373,0.57449
37,37.0,0.003,0.62198,0.65954,0.6847,0.58418
38,38.0,0.003,0.61411,0.66675,0.66937,0.60357
39,39.0,0.003,0.61109,0.66804,0.67268,0.58827
40,40.0,0.001,0.59508,0.68582,0.65335,0.62449
41,41.0,0.001,0.57794,0.70567,0.64206,0.64184
42,42.0,0.001,0.55989,0.72371,0.63411,0.65306
43,43.0,0.001,0.54349,0.74485,0.6274,0.65867
44,44.0,0.001,0.52257,0.76443,0.61744,0.67959
45,45.0,0.001,0.50848,0.77552,0.62189,0.66939
46,46.0,0.001,0.50437,0.77474,0.61796,0.67398
47,47.0,0.001,0.49316,0.78299,0.61848,0.67449
48,48.0,0.001,0.48503,0.7884,0.61508,0.67602
49,49.0,0.001,0.47122,0.7982,0.60285,0.69133
50,50.0,0.001,0.45439,0.81392,0.60528,0.68724
51,51.0,0.001,0.43716,0.82835,0.60887,0.68571
52,52.0,0.001,0.42376,0.83634,0.65648,0.66173
53,53.0,0.001,0.40462,0.84923,0.65931,0.66582
54,54.0,0.001,0.38988,0.85851,0.71461,0.6398
55,55.0,0.001,0.38449,0.85928,0.70417,0.64796
56,56.0,0.001,0.37412,0.86469,0.68912,0.65969
57,57.0,0.001,0.36484,0.87139,0.64636,0.67755
58,58.0,0.001,0.35119,0.87784,0.68196,0.65306
59,59.0,0.001,0.34095,0.88273,0.64935,0.6551
