,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.005,0.89911,0.50258,0.91465,0.4949
1,1.0,0.005,0.81703,0.50838,0.88862,0.49872
2,2.0,0.005,0.78251,0.51203,0.82709,0.50425
3,3.0,0.005,0.76082,0.5261,0.79411,0.50383
4,4.0,0.005,0.7453,0.53866,0.77198,0.52194
5,5.0,0.005,0.70148,0.54974,0.81271,0.52296
6,6.0,0.005,0.68713,0.56675,0.78897,0.52806
7,7.0,0.005,0.67874,0.57861,0.78731,0.53163
8,8.0,0.005,0.67273,0.58737,0.80764,0.53214
9,9.0,0.005,0.66957,0.58505,0.80963,0.52398
10,10.0,0.005,0.66497,0.59433,0.72079,0.54031
11,11.0,0.005,0.65811,0.60077,0.88871,0.5352
12,12.0,0.005,0.65283,0.60902,1.10702,0.52806
13,13.0,0.005,0.64154,0.6201,1.12806,0.52908
14,14.0,0.005,0.62969,0.6384,1.1237,0.54184
15,15.0,0.005,0.62428,0.64613,1.16417,0.52602
16,16.0,0.005,0.61949,0.65361,1.09416,0.52551
17,17.0,0.005,0.6045,0.67165,1.0531,0.52551
18,18.0,0.005,0.5981,0.68015,1.18012,0.52398
19,19.0,0.005,0.58999,0.68686,1.21036,0.51173
20,20.0,0.003,0.56818,0.7049,1.15118,0.55051
21,21.0,0.003,0.54698,0.72345,1.03097,0.57959
22,22.0,0.003,0.52714,0.73711,0.87927,0.59439
23,23.0,0.003,0.50812,0.74768,0.69477,0.63163
24,24.0,0.003,0.47645,0.77036,0.86861,0.62041
25,25.0,0.003,0.46054,0.78144,1.0374,0.5852
26,26.0,0.003,0.43459,0.79923,1.03166,0.59082
27,27.0,0.003,0.41932,0.81082,1.83698,0.57653
28,28.0,0.003,0.39745,0.82474,1.88435,0.5602
29,29.0,0.003,0.37496,0.83763,1.85075,0.56071
30,30.0,0.003,0.35785,0.85258,1.6864,0.60714
31,31.0,0.003,0.35583,0.85103,2.05964,0.57245
32,32.0,0.003,0.34224,0.85619,1.22229,0.60153
33,33.0,0.003,0.33069,0.86624,1.16476,0.63061
34,34.0,0.003,0.33669,0.86392,1.56632,0.62959
35,35.0,0.003,0.32917,0.86701,1.65002,0.59082
36,36.0,0.003,0.31839,0.87268,1.93443,0.59031
37,37.0,0.003,0.3134,0.87603,2.46526,0.56122
38,38.0,0.003,0.30169,0.88273,2.6071,0.51837
39,39.0,0.003,0.28567,0.89253,2.01686,0.5648
40,40.0,0.001,0.26615,0.90052,1.97467,0.58265
41,41.0,0.001,0.24649,0.90979,1.29315,0.63571
42,42.0,0.001,0.22769,0.92113,0.75448,0.68163
43,43.0,0.001,0.21164,0.9268,0.97626,0.67449
44,44.0,0.001,0.20295,0.92938,1.0503,0.65765
45,45.0,0.001,0.19767,0.93325,1.00084,0.67704
46,46.0,0.001,0.19428,0.93789,1.33143,0.62551
47,47.0,0.001,0.19071,0.93763,1.37125,0.61224
48,48.0,0.001,0.18945,0.93918,0.99874,0.66429
49,49.0,0.001,0.18526,0.94072,1.02436,0.65102
50,50.0,0.001,0.18229,0.94175,1.0837,0.62296
51,51.0,0.001,0.17354,0.9451,0.75025,0.68469
52,52.0,0.001,0.1657,0.94923,0.83725,0.6648
53,53.0,0.001,0.16271,0.95,0.8825,0.64184
54,54.0,0.001,0.16883,0.94665,0.77345,0.68112
55,55.0,0.001,0.16333,0.94923,0.77183,0.68571
56,56.0,0.001,0.16222,0.94897,0.78785,0.67653
57,57.0,0.001,0.16681,0.94768,0.64675,0.71786
58,58.0,0.001,0.16597,0.94974,0.70562,0.70969
59,59.0,0.001,0.15206,0.9567,0.74379,0.69745
