------------------------------------------------
Job ID: 35987701
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Feb 10 06:40:55 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'fresh', 'BATCH_SIZE': 8, 'NUM_WORKERS': 4, 'LOSS': 'kl', 'DROP': 'drop', 'PRE': 'age', 'TASK': 'age', 'RUN': 0, 'PATH': None, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.001, 'MOM': 0.9, 'GAMMA': 0.3, 'N_EPOCHS': 1000, 'PAT': 30, 'LR': 0.01, 'PL_LL': 'none', 'WDEC_LL': 0.0, 'MOM_LL': 0.0, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 3, 'PAT_LL': 1, 'LR_LL': 0.01, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-10 06:41:01.948471
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.44416 |train kld ravg: 2.44416 |train mae:  6.11283 |train mae ravg:  6.11283 |val kld: 2.27837 |val kldravg: 2.27837 |val mae:  7.21662 |val mae ravg:  7.21662 |
|epoch:   1 | lr: 0.010 |train kld: 2.13835 |train kld ravg: 2.29126 |train mae:  6.00307 |train mae ravg:  6.05795 |val kld: 2.21287 |val kldravg: 2.24562 |val mae:  7.11353 |val mae ravg:  7.16508 |
|epoch:   2 | lr: 0.010 |train kld: 2.07957 |train kld ravg: 2.22069 |train mae:  6.02609 |train mae ravg:  6.04733 |val kld: 2.23709 |val kldravg: 2.24277 |val mae:  7.20320 |val mae ravg:  7.17779 |
|epoch:   3 | lr: 0.010 |train kld: 2.00577 |train kld ravg: 2.07456 |train mae:  5.80627 |train mae ravg:  5.94514 |val kld: 2.26479 |val kldravg: 2.23825 |val mae:  7.75136 |val mae ravg:  7.35603 |
|epoch:   4 | lr: 0.010 |train kld: 2.02495 |train kld ravg: 2.03676 |train mae:  5.87863 |train mae ravg:  5.90366 |val kld: 2.88413 |val kldravg: 2.46200 |val mae:  7.79663 |val mae ravg:  7.58373 |
|epoch:   5 | lr: 0.010 |train kld: 2.00004 |train kld ravg: 2.01025 |train mae:  5.79607 |train mae ravg:  5.82699 |val kld: 2.21641 |val kldravg: 2.45511 |val mae:  7.69543 |val mae ravg:  7.74781 |
|epoch:   6 | lr: 0.010 |train kld: 1.97361 |train kld ravg: 1.99953 |train mae:  5.72683 |train mae ravg:  5.80051 |val kld: 2.31556 |val kldravg: 2.47203 |val mae:  8.14832 |val mae ravg:  7.88013 |
|epoch:   7 | lr: 0.010 |train kld: 1.99327 |train kld ravg: 1.98897 |train mae:  5.63064 |train mae ravg:  5.71785 |val kld: 2.38233 |val kldravg: 2.30477 |val mae:  7.29143 |val mae ravg:  7.71173 |
|epoch:   8 | lr: 0.010 |train kld: 1.92774 |train kld ravg: 1.96487 |train mae:  5.56714 |train mae ravg:  5.64153 |val kld: 2.27252 |val kldravg: 2.32347 |val mae:  8.03971 |val mae ravg:  7.82649 |
|epoch:   9 | lr: 0.010 |train kld: 1.94522 |train kld ravg: 1.95541 |train mae:  5.54156 |train mae ravg:  5.57978 |val kld: 2.27078 |val kldravg: 2.30854 |val mae:  8.24400 |val mae ravg:  7.85838 |
|epoch:  10 | lr: 0.010 |train kld: 1.94673 |train kld ravg: 1.93990 |train mae:  5.53190 |train mae ravg:  5.54687 |val kld: 2.86089 |val kldravg: 2.46806 |val mae:  7.73418 |val mae ravg:  8.00597 |
|epoch:  11 | lr: 0.010 |train kld: 1.92840 |train kld ravg: 1.94012 |train mae:  5.40221 |train mae ravg:  5.49189 |val kld: 2.34727 |val kldravg: 2.49298 |val mae:  8.41181 |val mae ravg:  8.13000 |
|epoch:  12 | lr: 0.010 |train kld: 1.90514 |train kld ravg: 1.92675 |train mae:  5.33055 |train mae ravg:  5.42155 |val kld: 2.15305 |val kldravg: 2.45374 |val mae:  7.44446 |val mae ravg:  7.86348 |
|epoch:  13 | lr: 0.010 |train kld: 1.89183 |train kld ravg: 1.90846 |train mae:  5.25453 |train mae ravg:  5.32910 |val kld: 2.18019 |val kldravg: 2.22684 |val mae:  7.26374 |val mae ravg:  7.70667 |
|epoch:  14 | lr: 0.010 |train kld: 1.85690 |train kld ravg: 1.88462 |train mae:  5.02846 |train mae ravg:  5.20451 |val kld: 2.21577 |val kldravg: 2.18300 |val mae:  5.89406 |val mae ravg:  6.86742 |
|epoch:  15 | lr: 0.010 |train kld: 1.88536 |train kld ravg: 1.87803 |train mae:  5.23795 |train mae ravg:  5.17365 |val kld: 2.26952 |val kldravg: 2.22183 |val mae:  6.53940 |val mae ravg:  6.56573 |
|epoch:  16 | lr: 0.010 |train kld: 1.86369 |train kld ravg: 1.86865 |train mae:  5.17146 |train mae ravg:  5.14596 |val kld: 2.04781 |val kldravg: 2.17770 |val mae:  6.04556 |val mae ravg:  6.15967 |
|epoch:  17 | lr: 0.010 |train kld: 1.80274 |train kld ravg: 1.85060 |train mae:  4.84353 |train mae ravg:  5.08431 |val kld: 2.09960 |val kldravg: 2.13898 |val mae:  5.78160 |val mae ravg:  6.12218 |
|epoch:  18 | lr: 0.010 |train kld: 1.85285 |train kld ravg: 1.83976 |train mae:  5.17541 |train mae ravg:  5.06347 |val kld: 2.25604 |val kldravg: 2.13448 |val mae:  6.49810 |val mae ravg:  6.10842 |
|epoch:  19 | lr: 0.010 |train kld: 1.79443 |train kld ravg: 1.81667 |train mae:  4.78550 |train mae ravg:  4.93481 |val kld: 2.91943 |val kldravg: 2.42502 |val mae:  9.90838 |val mae ravg:  7.39603 |
|epoch:  20 | lr: 0.010 |train kld: 1.84953 |train kld ravg: 1.83227 |train mae:  5.17125 |train mae ravg:  5.04405 |val kld: 2.04753 |val kldravg: 2.40767 |val mae:  6.05462 |val mae ravg:  7.48703 |
|epoch:  21 | lr: 0.010 |train kld: 1.81597 |train kld ravg: 1.81998 |train mae:  4.91462 |train mae ravg:  4.95712 |val kld: 2.03793 |val kldravg: 2.33496 |val mae:  5.99432 |val mae ravg:  7.31911 |
|epoch:  22 | lr: 0.010 |train kld: 1.78468 |train kld ravg: 1.81673 |train mae:  4.82712 |train mae ravg:  4.97100 |val kld: 2.08300 |val kldravg: 2.05615 |val mae:  6.21539 |val mae ravg:  6.08811 |
|epoch:  23 | lr: 0.010 |train kld: 1.84098 |train kld ravg: 1.81388 |train mae:  5.07010 |train mae ravg:  4.93728 |val kld: 2.17672 |val kldravg: 2.09921 |val mae:  5.88260 |val mae ravg:  6.03077 |
|epoch:  24 | lr: 0.010 |train kld: 1.79015 |train kld ravg: 1.80527 |train mae:  4.91040 |train mae ravg:  4.93587 |val kld: 2.07812 |val kldravg: 2.11261 |val mae:  7.02440 |val mae ravg:  6.37413 |
|epoch:  25 | lr: 0.010 |train kld: 1.82440 |train kld ravg: 1.81851 |train mae:  4.91263 |train mae ravg:  4.96438 |val kld: 2.64285 |val kldravg: 2.29923 |val mae:  9.33396 |val mae ravg:  7.41365 |
|epoch:  26 | lr: 0.010 |train kld: 1.80561 |train kld ravg: 1.80672 |train mae:  5.00122 |train mae ravg:  4.94142 |val kld: 2.13975 |val kldravg: 2.28691 |val mae:  6.88549 |val mae ravg:  7.74795 |
|epoch:  27 | lr: 0.010 |train kld: 1.77216 |train kld ravg: 1.80073 |train mae:  4.63680 |train mae ravg:  4.85022 |val kld: 2.04680 |val kldravg: 2.27647 |val mae:  5.51590 |val mae ravg:  7.24512 |
|epoch:  28 | lr: 0.010 |train kld: 1.75394 |train kld ravg: 1.77724 |train mae:  4.61980 |train mae ravg:  4.75261 |val kld: 2.14046 |val kldravg: 2.10900 |val mae:  7.51030 |val mae ravg:  6.63723 |
