------------------------------------------------
Job ID: 38584825
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Mar 3 23:05:41 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 4
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-03 23:05:53.746675
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.61910 |train kld ravg: 2.61910 |train mae:  11.32072 |train mae ravg:  11.32072 |val kld: 2.25326 |val kldravg: 2.25326 |val mae:  9.31137 |val mae ravg:  9.31137 |
|epoch:   1 | lr: 0.100 |train kld: 2.31573 |train kld ravg: 2.46741 |train mae:  8.15916 |train mae ravg:  9.73994 |val kld: 2.15996 |val kldravg: 2.20661 |val mae:  8.06526 |val mae ravg:  8.68831 |
|epoch:   2 | lr: 0.100 |train kld: 2.26811 |train kld ravg: 2.40098 |train mae:  7.21893 |train mae ravg:  8.89961 |val kld: 2.07291 |val kldravg: 2.16204 |val mae:  7.55089 |val mae ravg:  8.30917 |
|epoch:   3 | lr: 0.100 |train kld: 2.25499 |train kld ravg: 2.36448 |train mae:  7.02115 |train mae ravg:  8.42999 |val kld: 2.17109 |val kldravg: 2.16430 |val mae:  7.23267 |val mae ravg:  8.04005 |
|epoch:   4 | lr: 0.100 |train kld: 2.17420 |train kld ravg: 2.32643 |train mae:  6.73426 |train mae ravg:  8.09085 |val kld: 2.00736 |val kldravg: 2.13292 |val mae:  6.70089 |val mae ravg:  7.77222 |
|epoch:   5 | lr: 0.100 |train kld: 2.22039 |train kld ravg: 2.24668 |train mae:  6.58959 |train mae ravg:  7.14462 |val kld: 1.99005 |val kldravg: 2.08027 |val mae:  6.55655 |val mae ravg:  7.22125 |
|epoch:   6 | lr: 0.100 |train kld: 2.21593 |train kld ravg: 2.22673 |train mae:  6.46961 |train mae ravg:  6.80671 |val kld: 2.10109 |val kldravg: 2.06850 |val mae:  6.58186 |val mae ravg:  6.92457 |
|epoch:   7 | lr: 0.100 |train kld: 2.17437 |train kld ravg: 2.20798 |train mae:  6.32357 |train mae ravg:  6.62764 |val kld: 2.02475 |val kldravg: 2.05887 |val mae:  6.30175 |val mae ravg:  6.67474 |
|epoch:   8 | lr: 0.100 |train kld: 2.13184 |train kld ravg: 2.18335 |train mae:  6.08295 |train mae ravg:  6.44000 |val kld: 1.98765 |val kldravg: 2.02218 |val mae:  6.35476 |val mae ravg:  6.49916 |
|epoch:   9 | lr: 0.100 |train kld: 2.10445 |train kld ravg: 2.16939 |train mae:  6.12981 |train mae ravg:  6.31911 |val kld: 2.01096 |val kldravg: 2.02290 |val mae:  6.37659 |val mae ravg:  6.43430 |
|epoch:  10 | lr: 0.100 |train kld: 2.24046 |train kld ravg: 2.17341 |train mae:  6.79762 |train mae ravg:  6.36071 |val kld: 2.05829 |val kldravg: 2.03655 |val mae:  6.81535 |val mae ravg:  6.48606 |
