------------------------------------------------
Job ID: 41680208
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 26 07:16:14 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-26 07:16:20.151913
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.63046 |train kld ravg: 2.63046 |train mae:  11.81355 |train mae ravg:  11.81355 |val kld: 2.25592 |val kldravg: 2.25592 |val mae:  8.47530 |val mae ravg:  8.47530 |
|epoch:   1 | lr: 0.100 |train kld: 2.39022 |train kld ravg: 2.51034 |train mae:  8.25158 |train mae ravg:  10.03256 |val kld: 2.21383 |val kldravg: 2.23487 |val mae:  7.47919 |val mae ravg:  7.97725 |
|epoch:   2 | lr: 0.100 |train kld: 2.40051 |train kld ravg: 2.47373 |train mae:  7.64280 |train mae ravg:  9.23598 |val kld: 2.18803 |val kldravg: 2.21926 |val mae:  6.89155 |val mae ravg:  7.61535 |
|epoch:   3 | lr: 0.100 |train kld: 2.26462 |train kld ravg: 2.42145 |train mae:  7.20271 |train mae ravg:  8.72766 |val kld: 2.08801 |val kldravg: 2.18645 |val mae:  6.69528 |val mae ravg:  7.38533 |
|epoch:   4 | lr: 0.100 |train kld: 2.36730 |train kld ravg: 2.41062 |train mae:  7.29457 |train mae ravg:  8.44104 |val kld: 2.16477 |val kldravg: 2.18211 |val mae:  6.53342 |val mae ravg:  7.21495 |
|epoch:   5 | lr: 0.100 |train kld: 2.38122 |train kld ravg: 2.36077 |train mae:  6.91647 |train mae ravg:  7.46163 |val kld: 2.04011 |val kldravg: 2.13895 |val mae:  6.22843 |val mae ravg:  6.76558 |
|epoch:   6 | lr: 0.100 |train kld: 2.30065 |train kld ravg: 2.34286 |train mae:  6.87517 |train mae ravg:  7.18635 |val kld: 2.04880 |val kldravg: 2.10594 |val mae:  6.08359 |val mae ravg:  6.48646 |
|epoch:   7 | lr: 0.100 |train kld: 2.29177 |train kld ravg: 2.32111 |train mae:  6.59671 |train mae ravg:  6.97713 |val kld: 2.13361 |val kldravg: 2.09506 |val mae:  6.23345 |val mae ravg:  6.35484 |
|epoch:   8 | lr: 0.100 |train kld: 2.31411 |train kld ravg: 2.33101 |train mae:  6.81719 |train mae ravg:  6.90002 |val kld: 2.15206 |val kldravg: 2.10787 |val mae:  6.06904 |val mae ravg:  6.22959 |
|epoch:   9 | lr: 0.100 |train kld: 2.29654 |train kld ravg: 2.31686 |train mae:  6.63049 |train mae ravg:  6.76721 |val kld: 2.08017 |val kldravg: 2.09095 |val mae:  6.24692 |val mae ravg:  6.17229 |
|epoch:  10 | lr: 0.100 |train kld: 2.25998 |train kld ravg: 2.29261 |train mae:  7.45281 |train mae ravg:  6.87448 |val kld: 2.08518 |val kldravg: 2.09996 |val mae:  5.98864 |val mae ravg:  6.12433 |
|epoch:  11 | lr: 0.100 |train kld: 2.25674 |train kld ravg: 2.28383 |train mae:  7.10100 |train mae ravg:  6.91964 |val kld: 2.09708 |val kldravg: 2.10962 |val mae:  6.05209 |val mae ravg:  6.11803 |
|epoch:  12 | lr: 0.100 |train kld: 2.25098 |train kld ravg: 2.27567 |train mae:  6.91924 |train mae ravg:  6.98415 |val kld: 2.07746 |val kldravg: 2.09839 |val mae:  6.11650 |val mae ravg:  6.09464 |
|epoch:  13 | lr: 0.100 |train kld: 2.28597 |train kld ravg: 2.27004 |train mae:  6.93986 |train mae ravg:  7.00868 |val kld: 2.14693 |val kldravg: 2.09736 |val mae:  6.46246 |val mae ravg:  6.17332 |
|epoch:  14 | lr: 0.100 |train kld: 2.26775 |train kld ravg: 2.26429 |train mae:  6.77946 |train mae ravg:  7.03848 |val kld: 2.04412 |val kldravg: 2.09015 |val mae:  5.98539 |val mae ravg:  6.12102 |
|epoch:  15 | lr: 0.100 |train kld: 2.31443 |train kld ravg: 2.27518 |train mae:  6.84994 |train mae ravg:  6.91790 |val kld: 2.17267 |val kldravg: 2.10765 |val mae:  6.00421 |val mae ravg:  6.12413 |
|epoch:  16 | lr: 0.100 |train kld: 2.35603 |train kld ravg: 2.29503 |train mae:  6.60916 |train mae ravg:  6.81953 |val kld: 2.09312 |val kldravg: 2.10686 |val mae:  6.24114 |val mae ravg:  6.16194 |
|epoch:  17 | lr: 0.100 |train kld: 2.18154 |train kld ravg: 2.28115 |train mae:  6.31620 |train mae ravg:  6.69892 |val kld: 2.07866 |val kldravg: 2.10710 |val mae:  5.89712 |val mae ravg:  6.11806 |
|epoch:  18 | lr: 0.100 |train kld: 2.38661 |train kld ravg: 2.30127 |train mae:  6.57835 |train mae ravg:  6.62662 |val kld: 2.20034 |val kldravg: 2.11778 |val mae:  6.06620 |val mae ravg:  6.03881 |
|epoch:  19 | lr: 0.100 |train kld: 2.35690 |train kld ravg: 2.31910 |train mae:  7.18316 |train mae ravg:  6.70736 |val kld: 2.11944 |val kldravg: 2.13284 |val mae:  6.15444 |val mae ravg:  6.07262 |
|epoch:  20 | lr: 0.100 |train kld: 2.32585 |train kld ravg: 2.32139 |train mae:  6.56138 |train mae ravg:  6.64965 |val kld: 2.00523 |val kldravg: 2.09936 |val mae:  5.91406 |val mae ravg:  6.05459 |
|epoch:  21 | lr: 0.100 |train kld: 2.41087 |train kld ravg: 2.33235 |train mae:  6.62052 |train mae ravg:  6.65192 |val kld: 2.06720 |val kldravg: 2.09417 |val mae:  6.31905 |val mae ravg:  6.07017 |
|epoch:  22 | lr: 0.100 |train kld: 2.32226 |train kld ravg: 2.36050 |train mae:  6.98356 |train mae ravg:  6.78539 |val kld: 2.02155 |val kldravg: 2.08275 |val mae:  5.85782 |val mae ravg:  6.06231 |
|epoch:  23 | lr: 0.100 |train kld: 2.28788 |train kld ravg: 2.34075 |train mae:  7.12376 |train mae ravg:  6.89447 |val kld: 2.16119 |val kldravg: 2.07492 |val mae:  6.40232 |val mae ravg:  6.12954 |
|epoch:  24 | lr: 0.100 |train kld: 2.26245 |train kld ravg: 2.32186 |train mae:  6.45061 |train mae ravg:  6.74797 |val kld: 2.03260 |val kldravg: 2.05756 |val mae:  6.08772 |val mae ravg:  6.11619 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Finished:  2021-03-26 07:26:20.964663

Correlation between train loss and evaluation: 0.774

----------------------------------------------------------------------------------------------------------------------------------------------------------------
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.8

Full model is being trained.
Start:  2021-03-26 07:26:20.968595
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.98781 |train kld ravg: 2.98781 |train mae:  14.59102 |train mae ravg:  14.59102 |val kld: 3.44708 |val kldravg: 3.44708 |val mae:  17.62576 |val mae ravg:  17.62576 |
|epoch:   1 | lr: 0.010 |train kld: 2.75411 |train kld ravg: 2.87096 |train mae:  14.22777 |train mae ravg:  14.40940 |val kld: 3.18709 |val kldravg: 3.31708 |val mae:  14.80919 |val mae ravg:  16.21747 |
|epoch:   2 | lr: 0.010 |train kld: 2.69413 |train kld ravg: 2.81202 |train mae:  13.02025 |train mae ravg:  13.94635 |val kld: 2.49485 |val kldravg: 3.04300 |val mae:  11.88170 |val mae ravg:  14.77222 |
|epoch:   3 | lr: 0.010 |train kld: 2.69543 |train kld ravg: 2.78287 |train mae:  13.44188 |train mae ravg:  13.82023 |val kld: 2.42945 |val kldravg: 2.88962 |val mae:  11.11819 |val mae ravg:  13.85871 |
|epoch:   4 | lr: 0.010 |train kld: 2.61246 |train kld ravg: 2.74879 |train mae:  12.29671 |train mae ravg:  13.51553 |val kld: 2.43520 |val kldravg: 2.79873 |val mae:  10.87491 |val mae ravg:  13.26195 |
|epoch:   5 | lr: 0.010 |train kld: 2.59440 |train kld ravg: 2.67011 |train mae:  12.35456 |train mae ravg:  13.06823 |val kld: 2.40093 |val kldravg: 2.58950 |val mae:  10.23068 |val mae ravg:  11.78293 |
|epoch:   6 | lr: 0.010 |train kld: 2.60313 |train kld ravg: 2.63991 |train mae:  13.15129 |train mae ravg:  12.85294 |val kld: 2.38312 |val kldravg: 2.42871 |val mae:  10.48879 |val mae ravg:  10.91885 |
