------------------------------------------------
Job ID: 42800380
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Apr 4 01:22:13 BST 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Initialize classifier layer.
Reinitialize feature layers:  [5, 4, 3, 2, 1, 0]
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-04-04 01:22:20.058615
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.99108 |train kld ravg: 2.99108 |train mae:  14.56008 |train mae ravg:  14.56008 |val kld: 2.95263 |val kldravg: 2.95263 |val mae:  15.39898 |val mae ravg:  15.39898 |
|epoch:   1 | lr: 0.100 |train kld: 3.10872 |train kld ravg: 3.04990 |train mae:  14.54724 |train mae ravg:  14.55366 |val kld: 3.17529 |val kldravg: 3.06396 |val mae:  16.56658 |val mae ravg:  15.98278 |
|epoch:   2 | lr: 0.100 |train kld: 3.15538 |train kld ravg: 3.08506 |train mae:  14.72132 |train mae ravg:  14.60955 |val kld: 3.18673 |val kldravg: 3.10488 |val mae:  15.46070 |val mae ravg:  15.80875 |
|epoch:   3 | lr: 0.100 |train kld: 3.25781 |train kld ravg: 3.12825 |train mae:  14.74900 |train mae ravg:  14.64441 |val kld: 2.91635 |val kldravg: 3.05775 |val mae:  15.51577 |val mae ravg:  15.73551 |
|epoch:   4 | lr: 0.100 |train kld: 3.12138 |train kld ravg: 3.12688 |train mae:  14.41574 |train mae ravg:  14.59867 |val kld: 3.04126 |val kldravg: 3.05445 |val mae:  15.28317 |val mae ravg:  15.64504 |
|epoch:   5 | lr: 0.100 |train kld: 3.21912 |train kld ravg: 3.17248 |train mae:  14.93371 |train mae ravg:  14.67340 |val kld: 3.05091 |val kldravg: 3.07411 |val mae:  15.91040 |val mae ravg:  15.74732 |
|epoch:   6 | lr: 0.100 |train kld: 3.22869 |train kld ravg: 3.19648 |train mae:  15.01263 |train mae ravg:  14.76648 |val kld: 2.82013 |val kldravg: 3.00308 |val mae:  14.33174 |val mae ravg:  15.30035 |
|epoch:   7 | lr: 0.100 |train kld: 3.38502 |train kld ravg: 3.24241 |train mae:  14.80559 |train mae ravg:  14.78333 |val kld: 2.92718 |val kldravg: 2.95117 |val mae:  14.69188 |val mae ravg:  15.14659 |
|epoch:   8 | lr: 0.100 |train kld: 3.12933 |train kld ravg: 3.21671 |train mae:  14.68585 |train mae ravg:  14.77070 |val kld: 3.14471 |val kldravg: 2.99684 |val mae:  15.61742 |val mae ravg:  15.16693 |
|epoch:   9 | lr: 0.100 |train kld: 3.30040 |train kld ravg: 3.25251 |train mae:  14.98631 |train mae ravg:  14.88482 |val kld: 2.96109 |val kldravg: 2.98080 |val mae:  14.94002 |val mae ravg:  15.09829 |
|epoch:  10 | lr: 0.100 |train kld: 3.17572 |train kld ravg: 3.24383 |train mae:  15.51037 |train mae ravg:  15.00015 |val kld: 2.86149 |val kldravg: 2.94292 |val mae:  14.39410 |val mae ravg:  14.79503 |
