------------------------------------------------
Job ID: 42800379
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Apr 3 23:10:25 BST 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Initialize classifier layer.
Reinitialize feature layers:  [5, 4, 3, 2, 1, 0]
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-04-03 23:10:31.846495
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 3.00818 |train kld ravg: 3.00818 |train mae:  14.74530 |train mae ravg:  14.74530 |val kld: 3.14862 |val kldravg: 3.14862 |val mae:  15.55048 |val mae ravg:  15.55048 |
|epoch:   1 | lr: 0.100 |train kld: 3.16052 |train kld ravg: 3.08435 |train mae:  14.39763 |train mae ravg:  14.57146 |val kld: 2.95632 |val kldravg: 3.05247 |val mae:  15.53288 |val mae ravg:  15.54168 |
|epoch:   2 | lr: 0.100 |train kld: 3.24659 |train kld ravg: 3.13843 |train mae:  15.23172 |train mae ravg:  14.79155 |val kld: 2.89099 |val kldravg: 2.99864 |val mae:  15.31350 |val mae ravg:  15.46562 |
|epoch:   3 | lr: 0.100 |train kld: 3.16364 |train kld ravg: 3.14473 |train mae:  15.13771 |train mae ravg:  14.87809 |val kld: 2.90414 |val kldravg: 2.97502 |val mae:  14.92645 |val mae ravg:  15.33083 |
|epoch:   4 | lr: 0.100 |train kld: 3.26408 |train kld ravg: 3.16860 |train mae:  14.89452 |train mae ravg:  14.88138 |val kld: 2.89914 |val kldravg: 2.95984 |val mae:  14.96489 |val mae ravg:  15.25764 |
|epoch:   5 | lr: 0.100 |train kld: 3.22801 |train kld ravg: 3.21257 |train mae:  15.47714 |train mae ravg:  15.02774 |val kld: 2.99777 |val kldravg: 2.92967 |val mae:  16.19263 |val mae ravg:  15.38607 |
|epoch:   6 | lr: 0.100 |train kld: 3.26283 |train kld ravg: 3.23303 |train mae:  14.74793 |train mae ravg:  15.09780 |val kld: 2.85676 |val kldravg: 2.90976 |val mae:  15.03056 |val mae ravg:  15.28561 |
|epoch:   7 | lr: 0.100 |train kld: 3.22820 |train kld ravg: 3.22935 |train mae:  14.85857 |train mae ravg:  15.02317 |val kld: 2.78099 |val kldravg: 2.88776 |val mae:  14.72695 |val mae ravg:  15.16830 |
|epoch:   8 | lr: 0.100 |train kld: 3.21963 |train kld ravg: 3.24055 |train mae:  15.03024 |train mae ravg:  15.00168 |val kld: 3.14107 |val kldravg: 2.93514 |val mae:  14.89311 |val mae ravg:  15.16163 |
|epoch:   9 | lr: 0.100 |train kld: 3.29501 |train kld ravg: 3.24673 |train mae:  15.15044 |train mae ravg:  15.05286 |val kld: 3.01502 |val kldravg: 2.95832 |val mae:  15.65461 |val mae ravg:  15.29957 |
|epoch:  10 | lr: 0.100 |train kld: 3.32554 |train kld ravg: 3.26624 |train mae:  14.97101 |train mae ravg:  14.95164 |val kld: 2.96962 |val kldravg: 2.95269 |val mae:  14.88979 |val mae ravg:  15.03901 |
|epoch:  11 | lr: 0.100 |train kld: 3.13228 |train kld ravg: 3.24013 |train mae:  14.60610 |train mae ravg:  14.92327 |val kld: 2.75106 |val kldravg: 2.93155 |val mae:  15.22028 |val mae ravg:  15.07695 |
|epoch:  12 | lr: 0.100 |train kld: 3.23559 |train kld ravg: 3.24161 |train mae:  14.83706 |train mae ravg:  14.91897 |val kld: 3.02505 |val kldravg: 2.98036 |val mae:  16.29024 |val mae ravg:  15.38961 |
|epoch:  13 | lr: 0.100 |train kld: 3.26548 |train kld ravg: 3.25078 |train mae:  15.09757 |train mae ravg:  14.93244 |val kld: 3.10013 |val kldravg: 2.97218 |val mae:  16.79332 |val mae ravg:  15.76965 |
|epoch:  14 | lr: 0.100 |train kld: 3.26446 |train kld ravg: 3.24467 |train mae:  15.61196 |train mae ravg:  15.02474 |val kld: 2.75112 |val kldravg: 2.91939 |val mae:  14.56603 |val mae ravg:  15.55193 |
|epoch:  15 | lr: 0.100 |train kld: 3.33440 |train kld ravg: 3.24644 |train mae:  15.16108 |train mae ravg:  15.06275 |val kld: 3.05261 |val kldravg: 2.93599 |val mae:  15.58941 |val mae ravg:  15.69186 |
|epoch:  16 | lr: 0.100 |train kld: 3.33058 |train kld ravg: 3.28610 |train mae:  14.91530 |train mae ravg:  15.12459 |val kld: 2.96080 |val kldravg: 2.97794 |val mae:  15.34745 |val mae ravg:  15.71729 |
|epoch:  17 | lr: 0.100 |train kld: 3.12235 |train kld ravg: 3.26345 |train mae:  14.91683 |train mae ravg:  15.14055 |val kld: 2.78972 |val kldravg: 2.93087 |val mae:  15.59025 |val mae ravg:  15.57729 |
|epoch:  18 | lr: 0.100 |train kld: 3.33214 |train kld ravg: 3.27678 |train mae:  14.91445 |train mae ravg:  15.10392 |val kld: 3.11910 |val kldravg: 2.93467 |val mae:  15.48051 |val mae ravg:  15.31473 |
|epoch:  19 | lr: 0.100 |train kld: 3.44119 |train kld ravg: 3.31213 |train mae:  15.04959 |train mae ravg:  14.99145 |val kld: 3.14207 |val kldravg: 3.01286 |val mae:  16.24655 |val mae ravg:  15.65084 |
|epoch:  20 | lr: 0.100 |train kld: 3.26341 |train kld ravg: 3.29793 |train mae:  15.30694 |train mae ravg:  15.02062 |val kld: 3.05447 |val kldravg: 3.01323 |val mae:  16.64317 |val mae ravg:  15.86159 |
|epoch:  21 | lr: 0.100 |train kld: 3.14504 |train kld ravg: 3.26082 |train mae:  15.15463 |train mae ravg:  15.06849 |val kld: 2.99918 |val kldravg: 3.02091 |val mae:  14.86927 |val mae ravg:  15.76595 |
|epoch:  22 | lr: 0.100 |train kld: 3.31228 |train kld ravg: 3.29881 |train mae:  14.86434 |train mae ravg:  15.05799 |val kld: 2.81728 |val kldravg: 3.02642 |val mae:  15.07494 |val mae ravg:  15.66289 |
|epoch:  23 | lr: 0.100 |train kld: 3.27455 |train kld ravg: 3.28729 |train mae:  14.60654 |train mae ravg:  14.99641 |val kld: 2.93008 |val kldravg: 2.98861 |val mae:  15.77164 |val mae ravg:  15.72112 |
|epoch:  24 | lr: 0.100 |train kld: 3.20672 |train kld ravg: 3.24040 |train mae:  14.62994 |train mae ravg:  14.91248 |val kld: 2.93651 |val kldravg: 2.94750 |val mae:  15.03532 |val mae ravg:  15.47887 |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Finished:  2021-04-03 23:20:31.178918

Correlation between train loss and evaluation: 0.260

----------------------------------------------------------------------------------------------------------------------------------------------------------------
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.8

Full model is being trained.
Start:  2021-04-03 23:20:31.182758
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 3.00619 |train kld ravg: 3.00619 |train mae:  15.03013 |train mae ravg:  15.03013 |val kld: 2.78894 |val kldravg: 2.78894 |val mae:  15.01457 |val mae ravg:  15.01457 |
|epoch:   1 | lr: 0.010 |train kld: 2.77454 |train kld ravg: 2.89036 |train mae:  14.75622 |train mae ravg:  14.89318 |val kld: 2.66501 |val kldravg: 2.72698 |val mae:  14.60710 |val mae ravg:  14.81083 |
|epoch:   2 | lr: 0.010 |train kld: 2.78435 |train kld ravg: 2.85502 |train mae:  14.55942 |train mae ravg:  14.78193 |val kld: 2.68983 |val kldravg: 2.71459 |val mae:  15.33159 |val mae ravg:  14.98442 |
|epoch:   3 | lr: 0.010 |train kld: 2.72103 |train kld ravg: 2.82152 |train mae:  14.66697 |train mae ravg:  14.75319 |val kld: 2.65343 |val kldravg: 2.69930 |val mae:  14.29730 |val mae ravg:  14.81264 |
|epoch:   4 | lr: 0.010 |train kld: 2.72416 |train kld ravg: 2.80205 |train mae:  14.39348 |train mae ravg:  14.68125 |val kld: 2.65051 |val kldravg: 2.68954 |val mae:  14.74652 |val mae ravg:  14.79942 |
|epoch:   5 | lr: 0.010 |train kld: 2.66376 |train kld ravg: 2.73357 |train mae:  14.71680 |train mae ravg:  14.61858 |val kld: 2.65135 |val kldravg: 2.66202 |val mae:  14.36852 |val mae ravg:  14.67021 |
|epoch:   6 | lr: 0.010 |train kld: 2.69382 |train kld ravg: 2.71742 |train mae:  14.20075 |train mae ravg:  14.50748 |val kld: 2.65070 |val kldravg: 2.65916 |val mae:  14.63501 |val mae ravg:  14.67579 |
|epoch:   7 | lr: 0.010 |train kld: 2.69706 |train kld ravg: 2.69996 |train mae:  14.15093 |train mae ravg:  14.42579 |val kld: 2.65590 |val kldravg: 2.65238 |val mae:  14.33235 |val mae ravg:  14.47594 |
|epoch:   8 | lr: 0.010 |train kld: 2.67032 |train kld ravg: 2.68982 |train mae:  13.82354 |train mae ravg:  14.25710 |val kld: 2.56594 |val kldravg: 2.63488 |val mae:  13.77378 |val mae ravg:  14.37123 |
|epoch:   9 | lr: 0.010 |train kld: 2.66399 |train kld ravg: 2.67779 |train mae:  13.87948 |train mae ravg:  14.15430 |val kld: 2.56218 |val kldravg: 2.61721 |val mae:  13.74962 |val mae ravg:  14.17185 |
|epoch:  10 | lr: 0.010 |train kld: 2.66420 |train kld ravg: 2.67788 |train mae:  13.97109 |train mae ravg:  14.00516 |val kld: 2.58454 |val kldravg: 2.60385 |val mae:  13.58501 |val mae ravg:  14.01515 |
|epoch:  11 | lr: 0.010 |train kld: 2.66725 |train kld ravg: 2.67256 |train mae:  13.45030 |train mae ravg:  13.85507 |val kld: 2.56873 |val kldravg: 2.58746 |val mae:  13.55178 |val mae ravg:  13.79851 |
