------------------------------------------------
Job ID: 38519305
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 1 23:18:42 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-01 23:18:47.584920
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.67096 |train kld ravg: 2.67096 |train mae:  11.33429 |train mae ravg:  11.33429 |val kld: 2.29625 |val kldravg: 2.29625 |val mae:  7.67956 |val mae ravg:  7.67956 |
|epoch:   1 | lr: 0.100 |train kld: 2.42378 |train kld ravg: 2.54737 |train mae:  8.52816 |train mae ravg:  9.93122 |val kld: 2.13184 |val kldravg: 2.21405 |val mae:  7.37106 |val mae ravg:  7.52531 |
|epoch:   2 | lr: 0.100 |train kld: 2.30855 |train kld ravg: 2.46776 |train mae:  7.43821 |train mae ravg:  9.10022 |val kld: 2.22276 |val kldravg: 2.21695 |val mae:  6.50679 |val mae ravg:  7.18580 |
|epoch:   3 | lr: 0.100 |train kld: 2.30775 |train kld ravg: 2.42776 |train mae:  7.24898 |train mae ravg:  8.63741 |val kld: 2.28450 |val kldravg: 2.23384 |val mae:  6.56247 |val mae ravg:  7.02997 |
|epoch:   4 | lr: 0.100 |train kld: 2.34686 |train kld ravg: 2.41158 |train mae:  6.82335 |train mae ravg:  8.27460 |val kld: 2.09786 |val kldravg: 2.20664 |val mae:  6.51392 |val mae ravg:  6.92676 |
|epoch:   5 | lr: 0.100 |train kld: 2.30476 |train kld ravg: 2.33834 |train mae:  7.32012 |train mae ravg:  7.47176 |val kld: 2.18023 |val kldravg: 2.18344 |val mae:  6.20211 |val mae ravg:  6.63127 |
|epoch:   6 | lr: 0.100 |train kld: 2.28753 |train kld ravg: 2.31109 |train mae:  6.34768 |train mae ravg:  7.03567 |val kld: 2.01750 |val kldravg: 2.16057 |val mae:  6.36464 |val mae ravg:  6.42999 |
|epoch:   7 | lr: 0.100 |train kld: 2.41461 |train kld ravg: 2.33230 |train mae:  7.37798 |train mae ravg:  7.02362 |val kld: 2.05875 |val kldravg: 2.12777 |val mae:  6.13695 |val mae ravg:  6.35602 |
|epoch:   8 | lr: 0.100 |train kld: 2.29573 |train kld ravg: 2.32990 |train mae:  6.93236 |train mae ravg:  6.96030 |val kld: 2.06698 |val kldravg: 2.08426 |val mae:  6.28022 |val mae ravg:  6.29957 |
|epoch:   9 | lr: 0.100 |train kld: 2.26079 |train kld ravg: 2.31268 |train mae:  6.83444 |train mae ravg:  6.96252 |val kld: 2.08066 |val kldravg: 2.08082 |val mae:  6.08028 |val mae ravg:  6.21284 |
|epoch:  10 | lr: 0.100 |train kld: 2.29126 |train kld ravg: 2.30998 |train mae:  7.13127 |train mae ravg:  6.92475 |val kld: 2.02916 |val kldravg: 2.05061 |val mae:  6.26093 |val mae ravg:  6.22460 |
