------------------------------------------------
Job ID: 38584806
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Mar 3 20:10:47 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  8
Gamma decay:  1.0

Final layer of model is being trained.
Start:  2021-03-03 20:10:59.097623
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.64841 |train kld ravg: 2.64841 |train mae:  11.31284 |train mae ravg:  11.31284 |val kld: 2.32351 |val kldravg: 2.32351 |val mae:  8.27870 |val mae ravg:  8.27870 |
|epoch:   1 | lr: 0.100 |train kld: 2.35355 |train kld ravg: 2.50098 |train mae:  8.53463 |train mae ravg:  9.92374 |val kld: 2.13570 |val kldravg: 2.22960 |val mae:  7.48807 |val mae ravg:  7.88339 |
|epoch:   2 | lr: 0.100 |train kld: 2.38176 |train kld ravg: 2.46124 |train mae:  7.45531 |train mae ravg:  9.10093 |val kld: 2.14036 |val kldravg: 2.19985 |val mae:  6.83425 |val mae ravg:  7.53368 |
|epoch:   3 | lr: 0.100 |train kld: 2.28566 |train kld ravg: 2.41734 |train mae:  7.46865 |train mae ravg:  8.69286 |val kld: 2.20644 |val kldravg: 2.20150 |val mae:  6.82308 |val mae ravg:  7.35603 |
|epoch:   4 | lr: 0.100 |train kld: 2.35032 |train kld ravg: 2.40394 |train mae:  7.05632 |train mae ravg:  8.36555 |val kld: 2.30724 |val kldravg: 2.22265 |val mae:  6.61419 |val mae ravg:  7.20766 |
|epoch:   5 | lr: 0.100 |train kld: 2.24869 |train kld ravg: 2.32399 |train mae:  7.07744 |train mae ravg:  7.51847 |val kld: 2.10535 |val kldravg: 2.17902 |val mae:  6.30836 |val mae ravg:  6.81359 |
|epoch:   6 | lr: 0.100 |train kld: 2.22842 |train kld ravg: 2.29897 |train mae:  6.84758 |train mae ravg:  7.18106 |val kld: 2.10429 |val kldravg: 2.17274 |val mae:  6.25349 |val mae ravg:  6.56667 |
|epoch:   7 | lr: 0.100 |train kld: 2.28858 |train kld ravg: 2.28033 |train mae:  7.24659 |train mae ravg:  7.13931 |val kld: 2.04262 |val kldravg: 2.15319 |val mae:  6.21162 |val mae ravg:  6.44215 |
|epoch:   8 | lr: 0.100 |train kld: 2.33857 |train kld ravg: 2.29092 |train mae:  6.84181 |train mae ravg:  7.01395 |val kld: 2.24383 |val kldravg: 2.16067 |val mae:  6.23251 |val mae ravg:  6.32403 |
|epoch:   9 | lr: 0.100 |train kld: 2.38807 |train kld ravg: 2.29846 |train mae:  7.58238 |train mae ravg:  7.11916 |val kld: 2.11120 |val kldravg: 2.12146 |val mae:  6.08923 |val mae ravg:  6.21904 |
|epoch:  10 | lr: 0.100 |train kld: 2.30743 |train kld ravg: 2.31021 |train mae:  7.08925 |train mae ravg:  7.12152 |val kld: 2.04945 |val kldravg: 2.11028 |val mae:  6.23940 |val mae ravg:  6.20525 |
