------------------------------------------------
Job ID: 39044768
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 12 03:56:09 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-12 03:56:16.295055
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.83616 |train kld ravg: 2.83616 |train mae:  15.02194 |train mae ravg:  15.02194 |val kld: 2.78392 |val kldravg: 2.78392 |val mae:  14.46120 |val mae ravg:  14.46120 |
|epoch:   1 | lr: 0.010 |train kld: 2.76955 |train kld ravg: 2.80286 |train mae:  14.82335 |train mae ravg:  14.92264 |val kld: 2.69681 |val kldravg: 2.74037 |val mae:  14.44055 |val mae ravg:  14.45088 |
|epoch:   2 | lr: 0.010 |train kld: 2.72007 |train kld ravg: 2.77526 |train mae:  14.49515 |train mae ravg:  14.78014 |val kld: 2.65317 |val kldravg: 2.71130 |val mae:  14.38920 |val mae ravg:  14.43032 |
|epoch:   3 | lr: 0.010 |train kld: 2.68884 |train kld ravg: 2.75366 |train mae:  14.44937 |train mae ravg:  14.69745 |val kld: 2.72577 |val kldravg: 2.71492 |val mae:  15.17241 |val mae ravg:  14.61584 |
|epoch:   4 | lr: 0.010 |train kld: 2.63990 |train kld ravg: 2.73091 |train mae:  13.90906 |train mae ravg:  14.53977 |val kld: 2.57306 |val kldravg: 2.68655 |val mae:  13.66341 |val mae ravg:  14.42535 |
|epoch:   5 | lr: 0.010 |train kld: 2.65034 |train kld ravg: 2.69374 |train mae:  13.87873 |train mae ravg:  14.31113 |val kld: 2.57085 |val kldravg: 2.64393 |val mae:  13.36064 |val mae ravg:  14.20524 |
|epoch:   6 | lr: 0.010 |train kld: 2.63702 |train kld ravg: 2.66723 |train mae:  13.45644 |train mae ravg:  14.03775 |val kld: 2.58667 |val kldravg: 2.62190 |val mae:  13.62310 |val mae ravg:  14.04175 |
|epoch:   7 | lr: 0.010 |train kld: 2.62433 |train kld ravg: 2.64809 |train mae:  13.46424 |train mae ravg:  13.83157 |val kld: 2.70597 |val kldravg: 2.63246 |val mae:  13.48209 |val mae ravg:  13.86033 |
|epoch:   8 | lr: 0.010 |train kld: 2.56225 |train kld ravg: 2.62277 |train mae:  13.07826 |train mae ravg:  13.55735 |val kld: 2.56984 |val kldravg: 2.60128 |val mae:  13.44779 |val mae ravg:  13.51541 |
|epoch:   9 | lr: 0.010 |train kld: 2.56562 |train kld ravg: 2.60791 |train mae:  12.54946 |train mae ravg:  13.28543 |val kld: 2.74446 |val kldravg: 2.63556 |val mae:  15.16264 |val mae ravg:  13.81525 |
|epoch:  10 | lr: 0.010 |train kld: 2.57137 |train kld ravg: 2.59212 |train mae:  12.78023 |train mae ravg:  13.06573 |val kld: 2.52024 |val kldravg: 2.62544 |val mae:  12.46360 |val mae ravg:  13.63585 |
|epoch:  11 | lr: 0.010 |train kld: 2.60457 |train kld ravg: 2.58563 |train mae:  13.71590 |train mae ravg:  13.11762 |val kld: 2.52133 |val kldravg: 2.61237 |val mae:  13.02368 |val mae ravg:  13.51596 |
|epoch:  12 | lr: 0.010 |train kld: 2.55736 |train kld ravg: 2.57223 |train mae:  13.03448 |train mae ravg:  13.03167 |val kld: 2.91234 |val kldravg: 2.65364 |val mae:  16.96344 |val mae ravg:  14.21223 |
|epoch:  13 | lr: 0.010 |train kld: 2.54518 |train kld ravg: 2.56882 |train mae:  12.12535 |train mae ravg:  12.84108 |val kld: 2.80901 |val kldravg: 2.70148 |val mae:  15.33135 |val mae ravg:  14.58895 |
|epoch:  14 | lr: 0.010 |train kld: 2.52642 |train kld ravg: 2.56098 |train mae:  12.00774 |train mae ravg:  12.73274 |val kld: 2.63601 |val kldravg: 2.67979 |val mae:  14.21152 |val mae ravg:  14.39872 |
|epoch:  15 | lr: 0.010 |train kld: 2.47717 |train kld ravg: 2.54214 |train mae:  11.55717 |train mae ravg:  12.48813 |val kld: 2.48658 |val kldravg: 2.67305 |val mae:  10.72056 |val mae ravg:  14.05011 |
|epoch:  16 | lr: 0.010 |train kld: 2.47136 |train kld ravg: 2.51550 |train mae:  11.48784 |train mae ravg:  12.04251 |val kld: 2.49806 |val kldravg: 2.66840 |val mae:  12.34562 |val mae ravg:  13.91450 |
|epoch:  17 | lr: 0.010 |train kld: 2.45910 |train kld ravg: 2.49585 |train mae:  11.46803 |train mae ravg:  11.72922 |val kld: 2.71532 |val kldravg: 2.62900 |val mae:  14.49875 |val mae ravg:  13.42156 |
|epoch:  18 | lr: 0.010 |train kld: 2.50641 |train kld ravg: 2.48809 |train mae:  11.78548 |train mae ravg:  11.66125 |val kld: 3.49166 |val kldravg: 2.76553 |val mae:  19.80194 |val mae ravg:  14.31568 |
|epoch:  19 | lr: 0.010 |train kld: 2.47193 |train kld ravg: 2.47720 |train mae:  11.63285 |train mae ravg:  11.58627 |val kld: 2.46433 |val kldravg: 2.73119 |val mae:  11.42745 |val mae ravg:  13.75886 |
|epoch:  20 | lr: 0.010 |train kld: 2.42652 |train kld ravg: 2.46707 |train mae:  10.48505 |train mae ravg:  11.37185 |val kld: 2.49389 |val kldravg: 2.73265 |val mae:  10.87540 |val mae ravg:  13.78983 |
|epoch:  21 | lr: 0.010 |train kld: 2.46136 |train kld ravg: 2.46506 |train mae:  11.38584 |train mae ravg:  11.35145 |val kld: 2.43588 |val kldravg: 2.72022 |val mae:  11.00915 |val mae ravg:  13.52254 |
|epoch:  22 | lr: 0.010 |train kld: 2.43304 |train kld ravg: 2.45985 |train mae:  11.53778 |train mae ravg:  11.36540 |val kld: 2.64096 |val kldravg: 2.70534 |val mae:  12.69033 |val mae ravg:  13.16085 |
|epoch:  23 | lr: 0.010 |train kld: 2.44454 |train kld ravg: 2.44748 |train mae:  11.17774 |train mae ravg:  11.24385 |val kld: 2.80173 |val kldravg: 2.56736 |val mae:  15.08141 |val mae ravg:  12.21675 |
|epoch:  24 | lr: 0.010 |train kld: 2.37956 |train kld ravg: 2.42900 |train mae:  10.04818 |train mae ravg:  10.92692 |val kld: 2.76916 |val kldravg: 2.62832 |val mae:  14.75674 |val mae ravg:  12.88260 |
|epoch:  25 | lr: 0.010 |train kld: 2.41853 |train kld ravg: 2.42740 |train mae:  10.86090 |train mae ravg:  11.00209 |val kld: 3.31607 |val kldravg: 2.79276 |val mae:  18.29995 |val mae ravg:  14.36751 |
|epoch:  26 | lr: 0.010 |train kld: 2.46453 |train kld ravg: 2.42804 |train mae:  11.92145 |train mae ravg:  11.10921 |val kld: 2.81141 |val kldravg: 2.86787 |val mae:  15.08714 |val mae ravg:  15.18311 |
|epoch:  27 | lr: 0.010 |train kld: 2.39546 |train kld ravg: 2.42052 |train mae:  10.52105 |train mae ravg:  10.90587 |val kld: 2.48366 |val kldravg: 2.83641 |val mae:  11.67248 |val mae ravg:  14.97954 |
|epoch:  28 | lr: 0.010 |train kld: 2.40912 |train kld ravg: 2.41344 |train mae:  10.70070 |train mae ravg:  10.81046 |val kld: 2.47074 |val kldravg: 2.77021 |val mae:  11.25949 |val mae ravg:  14.21516 |
|epoch:  29 | lr: 0.010 |train kld: 2.40042 |train kld ravg: 2.41761 |train mae:  10.67329 |train mae ravg:  10.93548 |val kld: 2.61371 |val kldravg: 2.73912 |val mae:  12.29752 |val mae ravg:  13.72331 |
|epoch:  30 | lr: 0.003 |train kld: 2.33163 |train kld ravg: 2.40023 |train mae:  9.81650 |train mae ravg:  10.72660 |val kld: 2.31799 |val kldravg: 2.53950 |val mae:  8.96274 |val mae ravg:  11.85587 |
|epoch:  31 | lr: 0.003 |train kld: 2.34700 |train kld ravg: 2.37673 |train mae:  10.09269 |train mae ravg:  10.36085 |val kld: 2.39670 |val kldravg: 2.45656 |val mae:  10.18965 |val mae ravg:  10.87638 |
|epoch:  32 | lr: 0.003 |train kld: 2.36448 |train kld ravg: 2.37053 |train mae:  10.26129 |train mae ravg:  10.30889 |val kld: 2.91775 |val kldravg: 2.54338 |val mae:  15.82511 |val mae ravg:  11.70690 |
|epoch:  33 | lr: 0.003 |train kld: 2.30826 |train kld ravg: 2.35036 |train mae:  9.75506 |train mae ravg:  10.11977 |val kld: 2.49266 |val kldravg: 2.54776 |val mae:  11.60962 |val mae ravg:  11.77693 |
|epoch:  34 | lr: 0.003 |train kld: 2.31729 |train kld ravg: 2.33374 |train mae:  10.03853 |train mae ravg:  9.99282 |val kld: 2.30811 |val kldravg: 2.48664 |val mae:  9.03773 |val mae ravg:  11.12497 |
|epoch:  35 | lr: 0.003 |train kld: 2.30121 |train kld ravg: 2.32765 |train mae:  9.56942 |train mae ravg:  9.94340 |val kld: 2.37030 |val kldravg: 2.49710 |val mae:  9.27682 |val mae ravg:  11.18779 |
