------------------------------------------------
Job ID: 39045046
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 12 22:18:05 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-12 22:18:12.372149
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.84167 |train kld ravg: 2.84167 |train mae:  14.73555 |train mae ravg:  14.73555 |val kld: 2.76625 |val kldravg: 2.76625 |val mae:  14.70599 |val mae ravg:  14.70599 |
|epoch:   1 | lr: 0.010 |train kld: 2.75815 |train kld ravg: 2.79991 |train mae:  14.67575 |train mae ravg:  14.70565 |val kld: 2.70478 |val kldravg: 2.73552 |val mae:  14.73899 |val mae ravg:  14.72249 |
|epoch:   2 | lr: 0.010 |train kld: 2.71636 |train kld ravg: 2.77206 |train mae:  14.69450 |train mae ravg:  14.70193 |val kld: 2.68157 |val kldravg: 2.71753 |val mae:  14.71370 |val mae ravg:  14.71956 |
|epoch:   3 | lr: 0.010 |train kld: 2.66970 |train kld ravg: 2.74647 |train mae:  14.18555 |train mae ravg:  14.57284 |val kld: 2.63892 |val kldravg: 2.69788 |val mae:  14.12516 |val mae ravg:  14.57096 |
|epoch:   4 | lr: 0.010 |train kld: 2.64837 |train kld ravg: 2.72685 |train mae:  14.10007 |train mae ravg:  14.47828 |val kld: 2.78581 |val kldravg: 2.71547 |val mae:  16.08644 |val mae ravg:  14.87406 |
|epoch:   5 | lr: 0.010 |train kld: 2.63795 |train kld ravg: 2.68611 |train mae:  13.71348 |train mae ravg:  14.27387 |val kld: 2.64248 |val kldravg: 2.69071 |val mae:  13.89418 |val mae ravg:  14.71169 |
|epoch:   6 | lr: 0.010 |train kld: 2.60898 |train kld ravg: 2.65627 |train mae:  13.48082 |train mae ravg:  14.03488 |val kld: 2.60587 |val kldravg: 2.67093 |val mae:  13.74657 |val mae ravg:  14.51321 |
|epoch:   7 | lr: 0.010 |train kld: 2.62480 |train kld ravg: 2.63796 |train mae:  13.65535 |train mae ravg:  13.82705 |val kld: 2.67847 |val kldravg: 2.67031 |val mae:  15.02282 |val mae ravg:  14.57503 |
|epoch:   8 | lr: 0.010 |train kld: 2.59198 |train kld ravg: 2.62241 |train mae:  13.52363 |train mae ravg:  13.69467 |val kld: 2.62954 |val kldravg: 2.66843 |val mae:  13.91167 |val mae ravg:  14.53234 |
|epoch:   9 | lr: 0.010 |train kld: 2.56069 |train kld ravg: 2.60488 |train mae:  13.01166 |train mae ravg:  13.47699 |val kld: 2.77682 |val kldravg: 2.66664 |val mae:  16.07450 |val mae ravg:  14.52995 |
|epoch:  10 | lr: 0.010 |train kld: 2.55620 |train kld ravg: 2.58853 |train mae:  13.04459 |train mae ravg:  13.34321 |val kld: 2.71106 |val kldravg: 2.68035 |val mae:  14.54909 |val mae ravg:  14.66093 |
|epoch:  11 | lr: 0.010 |train kld: 2.55809 |train kld ravg: 2.57835 |train mae:  12.82936 |train mae ravg:  13.21292 |val kld: 2.69535 |val kldravg: 2.69825 |val mae:  14.61218 |val mae ravg:  14.83405 |
|epoch:  12 | lr: 0.010 |train kld: 2.52775 |train kld ravg: 2.55894 |train mae:  12.64759 |train mae ravg:  13.01137 |val kld: 2.51756 |val kldravg: 2.66606 |val mae:  12.19138 |val mae ravg:  14.26776 |
|epoch:  13 | lr: 0.010 |train kld: 2.54425 |train kld ravg: 2.54940 |train mae:  12.45420 |train mae ravg:  12.79748 |val kld: 2.76754 |val kldravg: 2.69366 |val mae:  15.42535 |val mae ravg:  14.57050 |
|epoch:  14 | lr: 0.010 |train kld: 2.50742 |train kld ravg: 2.53874 |train mae:  12.20159 |train mae ravg:  12.63547 |val kld: 2.48056 |val kldravg: 2.63441 |val mae:  12.09850 |val mae ravg:  13.77530 |
|epoch:  15 | lr: 0.010 |train kld: 2.51538 |train kld ravg: 2.53058 |train mae:  12.46665 |train mae ravg:  12.51988 |val kld: 2.58818 |val kldravg: 2.60984 |val mae:  13.14368 |val mae ravg:  13.49422 |
|epoch:  16 | lr: 0.010 |train kld: 2.52898 |train kld ravg: 2.52476 |train mae:  12.60738 |train mae ravg:  12.47548 |val kld: 2.63588 |val kldravg: 2.59794 |val mae:  13.69290 |val mae ravg:  13.31036 |
|epoch:  17 | lr: 0.010 |train kld: 2.51744 |train kld ravg: 2.52270 |train mae:  12.42081 |train mae ravg:  12.43013 |val kld: 2.55065 |val kldravg: 2.60456 |val mae:  12.58291 |val mae ravg:  13.38867 |
|epoch:  18 | lr: 0.010 |train kld: 2.50393 |train kld ravg: 2.51463 |train mae:  12.16561 |train mae ravg:  12.37241 |val kld: 2.75223 |val kldravg: 2.60150 |val mae:  15.44255 |val mae ravg:  13.39211 |
|epoch:  19 | lr: 0.010 |train kld: 2.48893 |train kld ravg: 2.51093 |train mae:  11.87574 |train mae ravg:  12.30724 |val kld: 2.72288 |val kldravg: 2.64996 |val mae:  14.79364 |val mae ravg:  13.93114 |
|epoch:  20 | lr: 0.010 |train kld: 2.48134 |train kld ravg: 2.50413 |train mae:  11.85029 |train mae ravg:  12.18397 |val kld: 2.75932 |val kldravg: 2.68419 |val mae:  15.06324 |val mae ravg:  14.31505 |
|epoch:  21 | lr: 0.010 |train kld: 2.50145 |train kld ravg: 2.49862 |train mae:  12.00605 |train mae ravg:  12.06370 |val kld: 2.47837 |val kldravg: 2.65269 |val mae:  11.44777 |val mae ravg:  13.86602 |
|epoch:  22 | lr: 0.010 |train kld: 2.46600 |train kld ravg: 2.48833 |train mae:  11.83056 |train mae ravg:  11.94565 |val kld: 2.80329 |val kldravg: 2.70322 |val mae:  15.79508 |val mae ravg:  14.50846 |
|epoch:  23 | lr: 0.010 |train kld: 2.46743 |train kld ravg: 2.48103 |train mae:  11.82081 |train mae ravg:  11.87669 |val kld: 2.57558 |val kldravg: 2.66789 |val mae:  12.69096 |val mae ravg:  13.95814 |
|epoch:  24 | lr: 0.010 |train kld: 2.48435 |train kld ravg: 2.48011 |train mae:  11.57661 |train mae ravg:  11.81686 |val kld: 2.87541 |val kldravg: 2.69839 |val mae:  16.39515 |val mae ravg:  14.27844 |
|epoch:  25 | lr: 0.010 |train kld: 2.49870 |train kld ravg: 2.48359 |train mae:  12.19731 |train mae ravg:  11.88627 |val kld: 2.80045 |val kldravg: 2.70662 |val mae:  15.66489 |val mae ravg:  14.39877 |
|epoch:  26 | lr: 0.010 |train kld: 2.45160 |train kld ravg: 2.47361 |train mae:  11.67268 |train mae ravg:  11.81959 |val kld: 2.43383 |val kldravg: 2.69771 |val mae:  11.00856 |val mae ravg:  14.31093 |
|epoch:  27 | lr: 0.010 |train kld: 2.48699 |train kld ravg: 2.47781 |train mae:  11.87334 |train mae ravg:  11.82815 |val kld: 2.71765 |val kldravg: 2.68058 |val mae:  14.78412 |val mae ravg:  14.10874 |
|epoch:  28 | lr: 0.010 |train kld: 2.46963 |train kld ravg: 2.47825 |train mae:  11.52988 |train mae ravg:  11.76996 |val kld: 2.69439 |val kldravg: 2.70434 |val mae:  13.75385 |val mae ravg:  14.32131 |
|epoch:  29 | lr: 0.010 |train kld: 2.43851 |train kld ravg: 2.46908 |train mae:  10.94348 |train mae ravg:  11.64334 |val kld: 2.84770 |val kldravg: 2.69880 |val mae:  15.75864 |val mae ravg:  14.19401 |
|epoch:  30 | lr: 0.003 |train kld: 2.41572 |train kld ravg: 2.45249 |train mae:  11.33293 |train mae ravg:  11.47046 |val kld: 2.54600 |val kldravg: 2.64791 |val mae:  12.22257 |val mae ravg:  13.50555 |
|epoch:  31 | lr: 0.003 |train kld: 2.42658 |train kld ravg: 2.44748 |train mae:  11.44232 |train mae ravg:  11.42439 |val kld: 2.53867 |val kldravg: 2.66888 |val mae:  12.70807 |val mae ravg:  13.84545 |
|epoch:  32 | lr: 0.003 |train kld: 2.43212 |train kld ravg: 2.43651 |train mae:  11.15023 |train mae ravg:  11.27977 |val kld: 2.35494 |val kldravg: 2.59634 |val mae:  9.96876 |val mae ravg:  12.88238 |
|epoch:  33 | lr: 0.003 |train kld: 2.42259 |train kld ravg: 2.42710 |train mae:  11.18554 |train mae ravg:  11.21090 |val kld: 2.36792 |val kldravg: 2.53104 |val mae:  10.65128 |val mae ravg:  12.26187 |
|epoch:  34 | lr: 0.003 |train kld: 2.41667 |train kld ravg: 2.42274 |train mae:  11.20884 |train mae ravg:  11.26398 |val kld: 2.59805 |val kldravg: 2.48112 |val mae:  13.38858 |val mae ravg:  11.78785 |
|epoch:  35 | lr: 0.003 |train kld: 2.41164 |train kld ravg: 2.42192 |train mae:  10.82660 |train mae ravg:  11.16271 |val kld: 2.35629 |val kldravg: 2.44318 |val mae:  10.10368 |val mae ravg:  11.36407 |
|epoch:  36 | lr: 0.003 |train kld: 2.38735 |train kld ravg: 2.41408 |train mae:  10.52725 |train mae ravg:  10.97969 |val kld: 2.48625 |val kldravg: 2.43269 |val mae:  11.52426 |val mae ravg:  11.12731 |
|epoch:  37 | lr: 0.003 |train kld: 2.38974 |train kld ravg: 2.40560 |train mae:  10.52852 |train mae ravg:  10.85535 |val kld: 2.41248 |val kldravg: 2.44420 |val mae:  10.53677 |val mae ravg:  11.24091 |
|epoch:  38 | lr: 0.003 |train kld: 2.41026 |train kld ravg: 2.40313 |train mae:  10.97069 |train mae ravg:  10.81238 |val kld: 2.43279 |val kldravg: 2.45717 |val mae:  10.72716 |val mae ravg:  11.25609 |
|epoch:  39 | lr: 0.003 |train kld: 2.40842 |train kld ravg: 2.40148 |train mae:  10.81771 |train mae ravg:  10.73415 |val kld: 2.50193 |val kldravg: 2.43795 |val mae:  11.67353 |val mae ravg:  10.91308 |
|epoch:  40 | lr: 0.003 |train kld: 2.39359 |train kld ravg: 2.39787 |train mae:  10.62184 |train mae ravg:  10.69320 |val kld: 2.35938 |val kldravg: 2.43857 |val mae:  9.97303 |val mae ravg:  10.88695 |
|epoch:  41 | lr: 0.003 |train kld: 2.40534 |train kld ravg: 2.40147 |train mae:  10.89132 |train mae ravg:  10.76602 |val kld: 2.76017 |val kldravg: 2.49335 |val mae:  14.97835 |val mae ravg:  11.57777 |
|epoch:  42 | lr: 0.003 |train kld: 2.38308 |train kld ravg: 2.40014 |train mae:  10.81827 |train mae ravg:  10.82397 |val kld: 2.96197 |val kldravg: 2.60325 |val mae:  16.60220 |val mae ravg:  12.79085 |
|epoch:  43 | lr: 0.003 |train kld: 2.35571 |train kld ravg: 2.38923 |train mae:  10.05061 |train mae ravg:  10.63995 |val kld: 2.36853 |val kldravg: 2.59040 |val mae:  9.96137 |val mae ravg:  12.63770 |
