------------------------------------------------
Job ID: 39819897
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Tue Mar 16 22:58:56 GMT 2021
------------------------------------------------
Loading ixi train data.
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-16 22:59:01.849352
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.81548 |train kld ravg: 2.81548 |train mae:  14.76927 |train mae ravg:  14.76927 |val kld: 2.68457 |val kldravg: 2.68457 |val mae:  14.54896 |val mae ravg:  14.54896 |
|epoch:   1 | lr: 0.010 |train kld: 2.71234 |train kld ravg: 2.76391 |train mae:  14.55931 |train mae ravg:  14.66429 |val kld: 2.65948 |val kldravg: 2.67203 |val mae:  14.70905 |val mae ravg:  14.62901 |
|epoch:   2 | lr: 0.010 |train kld: 2.69276 |train kld ravg: 2.74019 |train mae:  14.54185 |train mae ravg:  14.62348 |val kld: 2.68114 |val kldravg: 2.67506 |val mae:  15.12773 |val mae ravg:  14.79525 |
|epoch:   3 | lr: 0.010 |train kld: 2.68956 |train kld ravg: 2.72753 |train mae:  14.59503 |train mae ravg:  14.61637 |val kld: 2.69056 |val kldravg: 2.67894 |val mae:  15.02079 |val mae ravg:  14.85163 |
|epoch:   4 | lr: 0.010 |train kld: 2.65876 |train kld ravg: 2.71378 |train mae:  14.23333 |train mae ravg:  14.53976 |val kld: 2.85561 |val kldravg: 2.71427 |val mae:  16.61737 |val mae ravg:  15.20478 |
|epoch:   5 | lr: 0.010 |train kld: 2.65384 |train kld ravg: 2.68145 |train mae:  14.21068 |train mae ravg:  14.42804 |val kld: 2.54147 |val kldravg: 2.68565 |val mae:  13.52390 |val mae ravg:  14.99977 |
|epoch:   6 | lr: 0.010 |train kld: 2.65189 |train kld ravg: 2.66936 |train mae:  14.11465 |train mae ravg:  14.33911 |val kld: 2.56247 |val kldravg: 2.66625 |val mae:  13.14894 |val mae ravg:  14.68774 |
|epoch:   7 | lr: 0.010 |train kld: 2.64261 |train kld ravg: 2.65933 |train mae:  13.85967 |train mae ravg:  14.20267 |val kld: 2.55390 |val kldravg: 2.64080 |val mae:  13.26061 |val mae ravg:  14.31432 |
|epoch:   8 | lr: 0.010 |train kld: 2.63161 |train kld ravg: 2.64774 |train mae:  13.73324 |train mae ravg:  14.03031 |val kld: 2.99943 |val kldravg: 2.70258 |val mae:  17.39485 |val mae ravg:  14.78913 |
|epoch:   9 | lr: 0.010 |train kld: 2.58772 |train kld ravg: 2.63354 |train mae:  13.45273 |train mae ravg:  13.87419 |val kld: 2.61013 |val kldravg: 2.65348 |val mae:  12.97228 |val mae ravg:  14.06011 |
|epoch:  10 | lr: 0.010 |train kld: 2.57524 |train kld ravg: 2.61782 |train mae:  13.12028 |train mae ravg:  13.65611 |val kld: 3.15476 |val kldravg: 2.77614 |val mae:  18.36150 |val mae ravg:  15.02764 |
|epoch:  11 | lr: 0.010 |train kld: 2.60087 |train kld ravg: 2.60761 |train mae:  13.26289 |train mae ravg:  13.48576 |val kld: 2.77851 |val kldravg: 2.81935 |val mae:  15.00032 |val mae ravg:  15.39791 |
|epoch:  12 | lr: 0.010 |train kld: 2.54534 |train kld ravg: 2.58816 |train mae:  12.69346 |train mae ravg:  13.25252 |val kld: 3.24995 |val kldravg: 2.95855 |val mae:  18.79865 |val mae ravg:  16.50552 |
|epoch:  13 | lr: 0.010 |train kld: 2.53359 |train kld ravg: 2.56855 |train mae:  12.69296 |train mae ravg:  13.04446 |val kld: 2.45241 |val kldravg: 2.84915 |val mae:  11.52191 |val mae ravg:  15.33093 |
|epoch:  14 | lr: 0.010 |train kld: 2.53002 |train kld ravg: 2.55701 |train mae:  12.58130 |train mae ravg:  12.87018 |val kld: 2.91226 |val kldravg: 2.90958 |val mae:  14.23909 |val mae ravg:  15.58429 |
|epoch:  15 | lr: 0.010 |train kld: 2.51868 |train kld ravg: 2.54570 |train mae:  12.12589 |train mae ravg:  12.67130 |val kld: 2.57720 |val kldravg: 2.79406 |val mae:  13.08257 |val mae ravg:  14.52851 |
|epoch:  16 | lr: 0.010 |train kld: 2.55482 |train kld ravg: 2.53649 |train mae:  12.98635 |train mae ravg:  12.61599 |val kld: 2.55637 |val kldravg: 2.74964 |val mae:  12.07308 |val mae ravg:  13.94306 |
|epoch:  17 | lr: 0.010 |train kld: 2.56980 |train kld ravg: 2.54138 |train mae:  13.12650 |train mae ravg:  12.70260 |val kld: 2.38476 |val kldravg: 2.57660 |val mae:  10.07391 |val mae ravg:  12.19811 |
|epoch:  18 | lr: 0.010 |train kld: 2.53211 |train kld ravg: 2.54109 |train mae:  12.55343 |train mae ravg:  12.67470 |val kld: 2.34083 |val kldravg: 2.55428 |val mae:  9.24646 |val mae ravg:  11.74302 |
|epoch:  19 | lr: 0.010 |train kld: 2.56771 |train kld ravg: 2.54862 |train mae:  12.75728 |train mae ravg:  12.70989 |val kld: 2.49045 |val kldravg: 2.46992 |val mae:  12.02970 |val mae ravg:  11.30114 |
|epoch:  20 | lr: 0.010 |train kld: 2.50993 |train kld ravg: 2.54687 |train mae:  12.28090 |train mae ravg:  12.74089 |val kld: 2.82799 |val kldravg: 2.52008 |val mae:  15.14103 |val mae ravg:  11.71284 |
|epoch:  21 | lr: 0.010 |train kld: 2.53403 |train kld ravg: 2.54272 |train mae:  12.40734 |train mae ravg:  12.62509 |val kld: 2.60228 |val kldravg: 2.52926 |val mae:  13.13178 |val mae ravg:  11.92457 |
|epoch:  22 | lr: 0.010 |train kld: 2.52620 |train kld ravg: 2.53400 |train mae:  12.47980 |train mae ravg:  12.49575 |val kld: 2.41442 |val kldravg: 2.53520 |val mae:  10.06621 |val mae ravg:  11.92303 |
|epoch:  23 | lr: 0.010 |train kld: 2.50049 |train kld ravg: 2.52767 |train mae:  11.92459 |train mae ravg:  12.36998 |val kld: 2.91048 |val kldravg: 2.64912 |val mae:  16.00428 |val mae ravg:  13.27460 |
|epoch:  24 | lr: 0.010 |train kld: 2.49347 |train kld ravg: 2.51283 |train mae:  12.16935 |train mae ravg:  12.25239 |val kld: 2.40519 |val kldravg: 2.63207 |val mae:  10.57892 |val mae ravg:  12.98444 |
|epoch:  25 | lr: 0.010 |train kld: 2.48743 |train kld ravg: 2.50832 |train mae:  11.90065 |train mae ravg:  12.17634 |val kld: 2.40504 |val kldravg: 2.54748 |val mae:  10.07125 |val mae ravg:  11.97049 |
|epoch:  26 | lr: 0.010 |train kld: 2.48913 |train kld ravg: 2.49935 |train mae:  12.05365 |train mae ravg:  12.10561 |val kld: 2.82661 |val kldravg: 2.59235 |val mae:  14.88503 |val mae ravg:  12.32114 |
|epoch:  27 | lr: 0.010 |train kld: 2.49252 |train kld ravg: 2.49261 |train mae:  12.06931 |train mae ravg:  12.02351 |val kld: 2.54947 |val kldravg: 2.61936 |val mae:  12.25075 |val mae ravg:  12.75805 |
|epoch:  28 | lr: 0.010 |train kld: 2.49673 |train kld ravg: 2.49186 |train mae:  12.07133 |train mae ravg:  12.05286 |val kld: 2.36616 |val kldravg: 2.51049 |val mae:  9.84406 |val mae ravg:  11.52600 |
|epoch:  29 | lr: 0.010 |train kld: 2.44999 |train kld ravg: 2.48316 |train mae:  11.38896 |train mae ravg:  11.89678 |val kld: 2.75151 |val kldravg: 2.57976 |val mae:  14.72372 |val mae ravg:  12.35496 |
|epoch:  30 | lr: 0.003 |train kld: 2.49217 |train kld ravg: 2.48411 |train mae:  12.25437 |train mae ravg:  11.96752 |val kld: 2.30110 |val kldravg: 2.55897 |val mae:  8.86068 |val mae ravg:  12.11285 |
|epoch:  31 | lr: 0.003 |train kld: 2.43885 |train kld ravg: 2.47405 |train mae:  11.50249 |train mae ravg:  11.85729 |val kld: 2.34890 |val kldravg: 2.46343 |val mae:  9.16746 |val mae ravg:  10.96933 |
|epoch:  32 | lr: 0.003 |train kld: 2.44174 |train kld ravg: 2.46389 |train mae:  11.58766 |train mae ravg:  11.76096 |val kld: 2.37471 |val kldravg: 2.42848 |val mae:  9.70969 |val mae ravg:  10.46112 |
|epoch:  33 | lr: 0.003 |train kld: 2.37136 |train kld ravg: 2.43882 |train mae:  10.68040 |train mae ravg:  11.48278 |val kld: 2.27858 |val kldravg: 2.41096 |val mae:  8.60576 |val mae ravg:  10.21346 |
|epoch:  34 | lr: 0.003 |train kld: 2.41036 |train kld ravg: 2.43090 |train mae:  11.24748 |train mae ravg:  11.45448 |val kld: 2.66217 |val kldravg: 2.39309 |val mae:  13.86525 |val mae ravg:  10.04177 |
