------------------------------------------------
Job ID: 41668175
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 25 22:08:46 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-25 22:08:54.561305
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.85095 |train kld ravg: 2.85095 |train mae:  14.76645 |train mae ravg:  14.76645 |val kld: 2.72874 |val kldravg: 2.72874 |val mae:  14.54838 |val mae ravg:  14.54838 |
|epoch:   1 | lr: 0.010 |train kld: 2.74029 |train kld ravg: 2.79562 |train mae:  14.32273 |train mae ravg:  14.54459 |val kld: 2.67576 |val kldravg: 2.70225 |val mae:  14.45073 |val mae ravg:  14.49956 |
|epoch:   2 | lr: 0.010 |train kld: 2.70606 |train kld ravg: 2.76577 |train mae:  14.19528 |train mae ravg:  14.42815 |val kld: 2.69428 |val kldravg: 2.69959 |val mae:  15.17073 |val mae ravg:  14.72328 |
|epoch:   3 | lr: 0.010 |train kld: 2.67903 |train kld ravg: 2.74408 |train mae:  14.05899 |train mae ravg:  14.33586 |val kld: 2.61173 |val kldravg: 2.67763 |val mae:  14.31399 |val mae ravg:  14.62096 |
|epoch:   4 | lr: 0.010 |train kld: 2.64894 |train kld ravg: 2.72506 |train mae:  13.87863 |train mae ravg:  14.24442 |val kld: 2.55337 |val kldravg: 2.65278 |val mae:  13.30421 |val mae ravg:  14.35761 |
|epoch:   5 | lr: 0.010 |train kld: 2.61313 |train kld ravg: 2.67749 |train mae:  13.43510 |train mae ravg:  13.97815 |val kld: 2.58909 |val kldravg: 2.62485 |val mae:  13.63411 |val mae ravg:  14.17475 |
|epoch:   6 | lr: 0.010 |train kld: 2.60231 |train kld ravg: 2.64990 |train mae:  13.27989 |train mae ravg:  13.76958 |val kld: 2.49082 |val kldravg: 2.58786 |val mae:  12.19670 |val mae ravg:  13.72395 |
|epoch:   7 | lr: 0.010 |train kld: 2.56994 |train kld ravg: 2.62267 |train mae:  12.62021 |train mae ravg:  13.45456 |val kld: 2.59592 |val kldravg: 2.56819 |val mae:  12.80203 |val mae ravg:  13.25021 |
|epoch:   8 | lr: 0.010 |train kld: 2.57525 |train kld ravg: 2.60192 |train mae:  12.90976 |train mae ravg:  13.22472 |val kld: 3.36656 |val kldravg: 2.71915 |val mae:  15.46837 |val mae ravg:  13.48108 |
|epoch:   9 | lr: 0.010 |train kld: 2.56014 |train kld ravg: 2.58415 |train mae:  12.28535 |train mae ravg:  12.90606 |val kld: 2.58865 |val kldravg: 2.72621 |val mae:  13.38360 |val mae ravg:  13.49696 |
|epoch:  10 | lr: 0.010 |train kld: 2.51284 |train kld ravg: 2.56410 |train mae:  12.05591 |train mae ravg:  12.63022 |val kld: 2.66570 |val kldravg: 2.74153 |val mae:  14.00798 |val mae ravg:  13.57174 |
