------------------------------------------------
Job ID: 41668182
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 26 03:56:14 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-26 03:56:20.949543
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.86021 |train kld ravg: 2.86021 |train mae:  14.77175 |train mae ravg:  14.77175 |val kld: 2.79001 |val kldravg: 2.79001 |val mae:  14.89604 |val mae ravg:  14.89604 |
|epoch:   1 | lr: 0.010 |train kld: 2.75714 |train kld ravg: 2.80867 |train mae:  14.68889 |train mae ravg:  14.73032 |val kld: 2.69173 |val kldravg: 2.74087 |val mae:  14.57098 |val mae ravg:  14.73351 |
|epoch:   2 | lr: 0.010 |train kld: 2.70700 |train kld ravg: 2.77478 |train mae:  14.72605 |train mae ravg:  14.72890 |val kld: 2.67053 |val kldravg: 2.71742 |val mae:  14.58049 |val mae ravg:  14.68251 |
|epoch:   3 | lr: 0.010 |train kld: 2.67625 |train kld ravg: 2.75015 |train mae:  14.36145 |train mae ravg:  14.63704 |val kld: 2.66643 |val kldravg: 2.70467 |val mae:  14.53903 |val mae ravg:  14.64664 |
|epoch:   4 | lr: 0.010 |train kld: 2.66307 |train kld ravg: 2.73273 |train mae:  14.01439 |train mae ravg:  14.51251 |val kld: 2.61171 |val kldravg: 2.68608 |val mae:  14.11090 |val mae ravg:  14.53949 |
|epoch:   5 | lr: 0.010 |train kld: 2.63979 |train kld ravg: 2.68865 |train mae:  13.86543 |train mae ravg:  14.33124 |val kld: 2.75326 |val kldravg: 2.67873 |val mae:  13.43614 |val mae ravg:  14.24751 |
|epoch:   6 | lr: 0.010 |train kld: 2.60728 |train kld ravg: 2.65868 |train mae:  13.55166 |train mae ravg:  14.10380 |val kld: 2.68825 |val kldravg: 2.67804 |val mae:  15.02561 |val mae ravg:  14.33844 |
|epoch:   7 | lr: 0.010 |train kld: 2.59743 |train kld ravg: 2.63676 |train mae:  13.18731 |train mae ravg:  13.79605 |val kld: 2.59803 |val kldravg: 2.66354 |val mae:  13.75549 |val mae ravg:  14.17344 |
|epoch:   8 | lr: 0.010 |train kld: 2.58582 |train kld ravg: 2.61868 |train mae:  12.91897 |train mae ravg:  13.50755 |val kld: 2.55954 |val kldravg: 2.64216 |val mae:  13.24892 |val mae ravg:  13.91541 |
|epoch:   9 | lr: 0.010 |train kld: 2.57042 |train kld ravg: 2.60015 |train mae:  12.73755 |train mae ravg:  13.25218 |val kld: 2.51591 |val kldravg: 2.62300 |val mae:  12.40380 |val mae ravg:  13.57399 |
|epoch:  10 | lr: 0.010 |train kld: 2.55454 |train kld ravg: 2.58310 |train mae:  12.53337 |train mae ravg:  12.98577 |val kld: 2.56611 |val kldravg: 2.58557 |val mae:  13.45911 |val mae ravg:  13.57859 |
