------------------------------------------------
Job ID: 39048280
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Mar 15 07:52:17 GMT 2021
------------------------------------------------
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
Number of GPUs:  2
Epoch decay:  50
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-15 07:52:24.246077
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.66682 |train ent ravg: 0.66682 |train acc:  0.59583 |train acc ravg:  0.59583 |val ent: 0.92945 |val entravg: 0.92945 |val acc:  0.57692 |val acc ravg:  0.57692 |
|epoch:   1 | lr: 0.010 |train ent: 0.60222 |train ent ravg: 0.63452 |train acc:  0.67917 |train acc ravg:  0.63750 |val ent: 0.87587 |val entravg: 0.90266 |val acc:  0.60577 |val acc ravg:  0.59135 |
|epoch:   2 | lr: 0.010 |train ent: 0.60812 |train ent ravg: 0.62572 |train acc:  0.67917 |train acc ravg:  0.65139 |val ent: 1.30288 |val entravg: 1.03607 |val acc:  0.58654 |val acc ravg:  0.58974 |
|epoch:   3 | lr: 0.010 |train ent: 0.61379 |train ent ravg: 0.62274 |train acc:  0.69167 |train acc ravg:  0.66146 |val ent: 0.60461 |val entravg: 0.92820 |val acc:  0.67308 |val acc ravg:  0.61058 |
|epoch:   4 | lr: 0.010 |train ent: 0.57962 |train ent ravg: 0.61411 |train acc:  0.73333 |train acc ravg:  0.67583 |val ent: 15.69253 |val entravg: 3.88107 |val acc:  0.42308 |val acc ravg:  0.57308 |
|epoch:   5 | lr: 0.010 |train ent: 0.53964 |train ent ravg: 0.58868 |train acc:  0.73750 |train acc ravg:  0.70417 |val ent: 1.41476 |val entravg: 3.97813 |val acc:  0.59615 |val acc ravg:  0.57692 |
|epoch:   6 | lr: 0.010 |train ent: 0.62057 |train ent ravg: 0.59235 |train acc:  0.67917 |train acc ravg:  0.70417 |val ent: 0.73895 |val entravg: 3.95074 |val acc:  0.52885 |val acc ravg:  0.56154 |
|epoch:   7 | lr: 0.010 |train ent: 0.57660 |train ent ravg: 0.58605 |train acc:  0.70833 |train acc ravg:  0.71000 |val ent: 1.53986 |val entravg: 3.99814 |val acc:  0.59615 |val acc ravg:  0.56346 |
|epoch:   8 | lr: 0.010 |train ent: 0.55927 |train ent ravg: 0.57514 |train acc:  0.74167 |train acc ravg:  0.72000 |val ent: 2.71811 |val entravg: 4.42084 |val acc:  0.57692 |val acc ravg:  0.54423 |
|epoch:   9 | lr: 0.010 |train ent: 0.52719 |train ent ravg: 0.56465 |train acc:  0.75417 |train acc ravg:  0.72417 |val ent: 1.79453 |val entravg: 1.64124 |val acc:  0.58654 |val acc ravg:  0.57692 |
|epoch:  10 | lr: 0.010 |train ent: 0.51312 |train ent ravg: 0.55935 |train acc:  0.72917 |train acc ravg:  0.72250 |val ent: 2.03406 |val entravg: 1.76510 |val acc:  0.58654 |val acc ravg:  0.57500 |
