,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.1,0.78461,0.57083,10.23283,0.5
1,1.0,0.1,0.94507,0.55,5.52238,0.50417
2,2.0,0.1,0.88274,0.54444,4.17206,0.50833
3,3.0,0.1,0.84608,0.54792,3.31963,0.50833
4,4.0,0.1,0.81491,0.545,2.79691,0.515
5,5.0,0.1,0.79612,0.54333,0.89105,0.51
6,6.0,0.1,0.71359,0.55083,0.88403,0.515
7,7.0,0.1,0.70363,0.54833,0.73779,0.51167
8,8.0,0.1,0.69661,0.54167,0.73166,0.51
9,9.0,0.1,0.69977,0.535,0.7331,0.50167
10,10.0,0.1,0.69631,0.54167,0.7382,0.50667
11,11.0,0.1,0.69554,0.54167,0.72051,0.50833
12,12.0,0.1,0.68636,0.55583,0.7755,0.505
13,13.0,0.1,0.69376,0.5575,0.78719,0.50667
14,14.0,0.1,0.69558,0.5625,0.78256,0.505
15,15.0,0.1,0.69784,0.54833,0.80832,0.51167
16,16.0,0.1,0.7018,0.5375,0.80805,0.51
17,17.0,0.1,0.70797,0.53667,1.51014,0.51167
18,18.0,0.1,0.69168,0.55333,1.49376,0.51
19,19.0,0.1,0.68787,0.56,1.49261,0.515
20,20.0,0.1,0.69003,0.56083,1.45999,0.515
21,21.0,0.1,0.68468,0.56833,1.47313,0.505
22,22.0,0.1,0.68769,0.55833,1.17952,0.50667
23,23.0,0.1,0.70104,0.5425,1.17692,0.50667
24,24.0,0.1,0.70079,0.5375,1.18054,0.515
25,25.0,0.1,0.70257,0.5325,1.19132,0.50667
26,26.0,0.1,0.70823,0.52417,1.18119,0.51
27,27.0,0.1,0.70649,0.51833,0.70728,0.51167
28,28.0,0.1,0.70221,0.515,0.70891,0.51333
29,29.0,0.1,0.70694,0.51167,0.71174,0.50667
30,30.0,0.05,0.70487,0.515,0.70259,0.50833
31,31.0,0.05,0.6998,0.515,0.69972,0.51
32,32.0,0.05,0.69878,0.52833,0.70929,0.51
33,33.0,0.05,0.69728,0.5325,0.70738,0.51167
34,34.0,0.05,0.68993,0.5475,0.70463,0.50833
35,35.0,0.05,0.68695,0.55417,1.0341,0.51
36,36.0,0.05,0.68602,0.56333,1.17491,0.51333
37,37.0,0.05,0.68399,0.55667,1.16634,0.51833
38,38.0,0.05,0.68579,0.56083,1.71862,0.515
39,39.0,0.05,0.68783,0.55167,1.7261,0.51333
40,40.0,0.05,0.68591,0.55583,1.39573,0.51167
41,41.0,0.05,0.68689,0.55667,1.25643,0.51
42,42.0,0.05,0.68486,0.5625,1.26694,0.50833
43,43.0,0.05,0.68098,0.565,0.73048,0.50667
44,44.0,0.05,0.67667,0.57167,0.72626,0.50833
45,45.0,0.05,0.67062,0.59,1.51989,0.50667
46,46.0,0.05,0.66969,0.6,2.10158,0.50167
47,47.0,0.05,0.66913,0.60333,2.1072,0.49833
48,48.0,0.05,0.65522,0.62417,2.12019,0.5
49,49.0,0.05,0.65865,0.63417,2.13289,0.5
50,50.0,0.05,0.67206,0.60583,1.35537,0.505
51,51.0,0.05,0.67428,0.5975,0.77501,0.50833
52,52.0,0.05,0.67565,0.59417,0.76179,0.51667
53,53.0,0.05,0.69531,0.56083,0.73151,0.52
54,54.0,0.05,0.69273,0.54583,0.71401,0.52833
55,55.0,0.05,0.68773,0.55,0.71987,0.52667
56,56.0,0.05,0.68426,0.55333,6.2603,0.52167
57,57.0,0.05,0.69208,0.54167,6.26541,0.51167
58,58.0,0.05,0.6907,0.54,6.26697,0.515
59,59.0,0.05,0.6958,0.54167,6.27109,0.50833
60,60.0,0.025,0.69648,0.54417,6.24549,0.51833
61,61.0,0.025,0.69777,0.54083,0.70382,0.52667
62,62.0,0.025,0.68906,0.55583,0.69728,0.535
63,63.0,0.025,0.68189,0.57667,0.69719,0.53167
64,64.0,0.025,0.67315,0.58667,0.7006,0.535
65,65.0,0.025,0.67096,0.59,0.70173,0.53
66,66.0,0.025,0.66984,0.58583,0.70157,0.53667
67,67.0,0.025,0.67058,0.5875,0.69793,0.535
68,68.0,0.025,0.67063,0.58333,0.69712,0.53667
69,69.0,0.025,0.67109,0.57917,0.68839,0.54
70,70.0,0.025,0.67405,0.57917,0.8777,0.53667
71,71.0,0.025,0.67391,0.585,0.87719,0.53333
72,72.0,0.025,0.67546,0.575,0.88077,0.52833
73,73.0,0.025,0.67703,0.575,0.87969,0.53333
74,74.0,0.025,0.67406,0.58,0.87805,0.54167
75,75.0,0.025,0.66829,0.58667,0.69011,0.54667
76,76.0,0.025,0.6625,0.59833,0.69319,0.55
77,77.0,0.025,0.65871,0.60667,0.6898,0.56667
78,78.0,0.025,0.65892,0.6,0.69548,0.56167
79,79.0,0.025,0.66034,0.60333,0.69555,0.55333
80,80.0,0.025,0.66131,0.60917,0.7267,0.55167
81,81.0,0.025,0.6636,0.59583,0.75183,0.55
82,82.0,0.025,0.66384,0.59167,0.75681,0.52667
83,83.0,0.025,0.66951,0.57583,0.75473,0.52333
84,84.0,0.025,0.67665,0.55667,0.75662,0.51833
85,85.0,0.025,0.67089,0.56333,0.73376,0.51333
86,86.0,0.025,0.65592,0.59167,0.86133,0.50833
87,87.0,0.025,0.63322,0.62833,0.89155,0.515
88,88.0,0.025,0.61034,0.67,1.07292,0.51667
89,89.0,0.025,0.60054,0.69167,1.11607,0.51
90,90.0,0.013,0.58539,0.695,1.15655,0.50667
91,91.0,0.013,0.57884,0.69667,1.04757,0.50167
92,92.0,0.013,0.60042,0.6675,1.01764,0.50667
93,93.0,0.013,0.59884,0.67083,1.08219,0.50667
94,94.0,0.013,0.58494,0.685,1.13127,0.50833
95,95.0,0.013,0.57717,0.69833,1.13454,0.51167
96,96.0,0.013,0.56915,0.72,7.29441,0.51167
97,97.0,0.013,0.5394,0.74417,7.33213,0.505
98,98.0,0.013,0.52167,0.76,17.21637,0.49833
99,99.0,0.013,0.52055,0.75667,17.20009,0.49833
100,100.0,0.013,0.51439,0.76083,17.17208,0.50167
101,101.0,0.013,0.5187,0.7425,11.05558,0.505
102,102.0,0.013,0.52093,0.745,11.10439,0.50333
103,103.0,0.013,0.51205,0.74583,3.60939,0.505
104,104.0,0.013,0.51461,0.74667,3.61637,0.505
105,105.0,0.013,0.52266,0.7375,3.70208,0.51333
106,106.0,0.013,0.51897,0.73583,3.68718,0.51167
107,107.0,0.013,0.51682,0.74,4.02985,0.515
108,108.0,0.013,0.52753,0.73833,3.39003,0.52167
109,109.0,0.013,0.50584,0.755,3.40355,0.52
110,110.0,0.013,0.5048,0.75583,4.77346,0.50833
111,111.0,0.013,0.51034,0.76333,4.67596,0.55167
112,112.0,0.013,0.49679,0.77333,4.24285,0.59167
113,113.0,0.013,0.49248,0.77833,2.34713,0.585
114,114.0,0.013,0.49501,0.78,2.4631,0.59667
115,115.0,0.013,0.48834,0.78833,1.09553,0.595
116,116.0,0.013,0.4788,0.79167,1.08738,0.59833
117,117.0,0.013,0.48335,0.78917,1.70098,0.555
118,118.0,0.013,0.48049,0.78667,1.71945,0.555
119,119.0,0.013,0.51626,0.75417,1.52316,0.545
120,120.0,0.006,0.56385,0.69417,1.41771,0.545
121,121.0,0.006,0.61159,0.6375,1.45028,0.49833
122,122.0,0.006,0.65027,0.59917,0.89687,0.495
123,123.0,0.006,0.65932,0.5975,0.83688,0.49333
124,124.0,0.006,0.62286,0.62833,1.25407,0.495
125,125.0,0.006,0.57316,0.69167,1.22481,0.53667
126,126.0,0.006,0.52553,0.7425,1.27058,0.535
127,127.0,0.006,0.48761,0.77083,1.27819,0.54333
128,128.0,0.006,0.48823,0.77,1.85704,0.54667
129,129.0,0.006,0.48493,0.77333,1.51829,0.54667
130,130.0,0.006,0.48093,0.77917,3.00012,0.50333
131,131.0,0.006,0.47731,0.78083,2.90956,0.57
132,132.0,0.006,0.46725,0.79833,3.03515,0.57167
133,133.0,0.006,0.46201,0.8,2.46845,0.57
134,134.0,0.006,0.46093,0.79333,2.85922,0.56833
135,135.0,0.006,0.45223,0.79417,1.35499,0.63
136,136.0,0.006,0.44739,0.79667,1.38806,0.61
137,137.0,0.006,0.44494,0.79833,1.18863,0.64333
138,138.0,0.006,0.4354,0.80583,1.11473,0.68667
139,139.0,0.006,0.43524,0.80833,0.91629,0.68833
140,140.0,0.006,0.43899,0.80417,1.0605,0.62667
141,141.0,0.006,0.4385,0.80417,1.14103,0.57667
142,142.0,0.006,0.44683,0.79,1.73029,0.54167
143,143.0,0.006,0.43578,0.78583,1.8323,0.50167
144,144.0,0.006,0.43927,0.78583,1.50754,0.55667
145,145.0,0.006,0.43834,0.78583,1.42845,0.57333
146,146.0,0.006,0.42877,0.79833,1.58921,0.58333
147,147.0,0.006,0.41495,0.8125,1.12026,0.595
