------------------------------------------------
Job ID: 41684844
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 27 06:43:19 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
The data was balanced for  sex .
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-27 06:43:24.963910
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 1.07340 |train ent ravg: 1.07340 |train acc:  0.48333 |train acc ravg:  0.48333 |val ent: 28.34705 |val entravg: 28.34705 |val acc:  0.50000 |val acc ravg:  0.50000 |
|epoch:   1 | lr: 0.100 |train ent: 0.93666 |train ent ravg: 1.00503 |train acc:  0.47083 |train acc ravg:  0.47708 |val ent: 0.70326 |val entravg: 14.52516 |val acc:  0.50000 |val acc ravg:  0.50000 |
|epoch:   2 | lr: 0.100 |train ent: 0.75838 |train ent ravg: 0.92281 |train acc:  0.51250 |train acc ravg:  0.48889 |val ent: 0.68976 |val entravg: 9.91336 |val acc:  0.52500 |val acc ravg:  0.50833 |
|epoch:   3 | lr: 0.100 |train ent: 0.66086 |train ent ravg: 0.85732 |train acc:  0.61250 |train acc ravg:  0.51979 |val ent: 0.67839 |val entravg: 7.60462 |val acc:  0.58333 |val acc ravg:  0.52708 |
|epoch:   4 | lr: 0.100 |train ent: 0.68704 |train ent ravg: 0.82327 |train acc:  0.58750 |train acc ravg:  0.53333 |val ent: 0.82037 |val entravg: 6.24777 |val acc:  0.49167 |val acc ravg:  0.52000 |
|epoch:   5 | lr: 0.100 |train ent: 0.76149 |train ent ravg: 0.76088 |train acc:  0.50000 |train acc ravg:  0.53667 |val ent: 1.40910 |val entravg: 0.86018 |val acc:  0.50000 |val acc ravg:  0.52000 |
|epoch:   6 | lr: 0.100 |train ent: 0.70746 |train ent ravg: 0.71504 |train acc:  0.50417 |train acc ravg:  0.54333 |val ent: 0.68388 |val entravg: 0.85630 |val acc:  0.57500 |val acc ravg:  0.53500 |
|epoch:   7 | lr: 0.100 |train ent: 0.68856 |train ent ravg: 0.70108 |train acc:  0.55417 |train acc ravg:  0.55167 |val ent: 0.68292 |val entravg: 0.85493 |val acc:  0.60000 |val acc ravg:  0.55000 |
|epoch:   8 | lr: 0.100 |train ent: 0.68620 |train ent ravg: 0.70615 |train acc:  0.54583 |train acc ravg:  0.53833 |val ent: 29.71662 |val entravg: 6.66258 |val acc:  0.50833 |val acc ravg:  0.53500 |
|epoch:   9 | lr: 0.100 |train ent: 0.70150 |train ent ravg: 0.70904 |train acc:  0.49167 |train acc ravg:  0.51917 |val ent: 0.67850 |val entravg: 6.63420 |val acc:  0.56667 |val acc ravg:  0.55000 |
|epoch:  10 | lr: 0.100 |train ent: 0.68703 |train ent ravg: 0.69415 |train acc:  0.55417 |train acc ravg:  0.53000 |val ent: 1.92601 |val entravg: 6.73758 |val acc:  0.52500 |val acc ravg:  0.55500 |
|epoch:  11 | lr: 0.100 |train ent: 0.71023 |train ent ravg: 0.69470 |train acc:  0.51250 |train acc ravg:  0.53167 |val ent: 0.69709 |val entravg: 6.74023 |val acc:  0.50833 |val acc ravg:  0.54167 |
|epoch:  12 | lr: 0.100 |train ent: 0.71861 |train ent ravg: 0.70071 |train acc:  0.48750 |train acc ravg:  0.51833 |val ent: 0.90112 |val entravg: 6.78387 |val acc:  0.52500 |val acc ravg:  0.52667 |
|epoch:  13 | lr: 0.100 |train ent: 0.67394 |train ent ravg: 0.69826 |train acc:  0.54167 |train acc ravg:  0.51750 |val ent: 0.81489 |val entravg: 1.00352 |val acc:  0.50833 |val acc ravg:  0.52667 |
|epoch:  14 | lr: 0.100 |train ent: 0.75822 |train ent ravg: 0.70960 |train acc:  0.50417 |train acc ravg:  0.52000 |val ent: 0.70831 |val entravg: 1.00948 |val acc:  0.48333 |val acc ravg:  0.51000 |
