------------------------------------------------
Job ID: 41682405
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 26 21:01:57 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
The data was balanced for  sex .
Load model for sex - run: 1
Output dimensions match.
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.2

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-26 21:02:04.088565
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.98672 |train ent ravg: 0.98672 |train acc:  0.60833 |train acc ravg:  0.60833 |val ent: 0.65649 |val entravg: 0.65649 |val acc:  0.63333 |val acc ravg:  0.63333 |
|epoch:   1 | lr: 0.010 |train ent: 0.78473 |train ent ravg: 0.88573 |train acc:  0.56667 |train acc ravg:  0.58750 |val ent: 1.96210 |val entravg: 1.30929 |val acc:  0.50833 |val acc ravg:  0.57083 |
|epoch:   2 | lr: 0.010 |train ent: 0.63188 |train ent ravg: 0.80111 |train acc:  0.69583 |train acc ravg:  0.62361 |val ent: 1.59017 |val entravg: 1.40292 |val acc:  0.50833 |val acc ravg:  0.55000 |
|epoch:   3 | lr: 0.010 |train ent: 0.68749 |train ent ravg: 0.77270 |train acc:  0.61667 |train acc ravg:  0.62187 |val ent: 2.03150 |val entravg: 1.56006 |val acc:  0.49167 |val acc ravg:  0.53542 |
|epoch:   4 | lr: 0.010 |train ent: 0.61320 |train ent ravg: 0.74080 |train acc:  0.68333 |train acc ravg:  0.63417 |val ent: 1.88602 |val entravg: 1.62525 |val acc:  0.49167 |val acc ravg:  0.52667 |
|epoch:   5 | lr: 0.010 |train ent: 0.56282 |train ent ravg: 0.65602 |train acc:  0.70000 |train acc ravg:  0.65250 |val ent: 0.67833 |val entravg: 1.62962 |val acc:  0.53333 |val acc ravg:  0.50667 |
|epoch:   6 | lr: 0.010 |train ent: 0.64598 |train ent ravg: 0.62827 |train acc:  0.63333 |train acc ravg:  0.66583 |val ent: 1.12747 |val entravg: 1.46270 |val acc:  0.50000 |val acc ravg:  0.50500 |
|epoch:   7 | lr: 0.010 |train ent: 0.64815 |train ent ravg: 0.63153 |train acc:  0.64167 |train acc ravg:  0.65500 |val ent: 1.57972 |val entravg: 1.46061 |val acc:  0.50833 |val acc ravg:  0.50500 |
|epoch:   8 | lr: 0.010 |train ent: 0.63161 |train ent ravg: 0.62035 |train acc:  0.63333 |train acc ravg:  0.65833 |val ent: 1.56887 |val entravg: 1.36808 |val acc:  0.51667 |val acc ravg:  0.51000 |
|epoch:   9 | lr: 0.010 |train ent: 0.72610 |train ent ravg: 0.64293 |train acc:  0.52917 |train acc ravg:  0.62750 |val ent: 0.73502 |val entravg: 1.13788 |val acc:  0.54167 |val acc ravg:  0.52000 |
|epoch:  10 | lr: 0.010 |train ent: 0.60947 |train ent ravg: 0.65226 |train acc:  0.68750 |train acc ravg:  0.62500 |val ent: 0.83076 |val entravg: 1.16837 |val acc:  0.55000 |val acc ravg:  0.52333 |
