------------------------------------------------
Job ID: 41682428
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 27 02:05:17 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading ixi train data.
The data was balanced for  sex .
Loading ixi   val data.
The data was balanced for  sex .
Load model for sex - run: 1
Output dimensions match.
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.2

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-27 02:05:23.465648
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 1.29128 |train ent ravg: 1.29128 |train acc:  0.61250 |train acc ravg:  0.61250 |val ent: 1.74657 |val entravg: 1.74657 |val acc:  0.50833 |val acc ravg:  0.50833 |
|epoch:   1 | lr: 0.010 |train ent: 0.71959 |train ent ravg: 1.00543 |train acc:  0.62083 |train acc ravg:  0.61667 |val ent: 1.18027 |val entravg: 1.46342 |val acc:  0.51667 |val acc ravg:  0.51250 |
|epoch:   2 | lr: 0.010 |train ent: 0.67354 |train ent ravg: 0.89480 |train acc:  0.67083 |train acc ravg:  0.63472 |val ent: 0.63572 |val entravg: 1.18752 |val acc:  0.65833 |val acc ravg:  0.56111 |
|epoch:   3 | lr: 0.010 |train ent: 0.64401 |train ent ravg: 0.83210 |train acc:  0.67083 |train acc ravg:  0.64375 |val ent: 1.17830 |val entravg: 1.18522 |val acc:  0.50833 |val acc ravg:  0.54792 |
|epoch:   4 | lr: 0.010 |train ent: 0.60087 |train ent ravg: 0.78586 |train acc:  0.65417 |train acc ravg:  0.64583 |val ent: 2.12929 |val entravg: 1.37403 |val acc:  0.50833 |val acc ravg:  0.54000 |
|epoch:   5 | lr: 0.010 |train ent: 0.63346 |train ent ravg: 0.65429 |train acc:  0.63750 |train acc ravg:  0.65083 |val ent: 2.99659 |val entravg: 1.62403 |val acc:  0.50833 |val acc ravg:  0.54000 |
|epoch:   6 | lr: 0.010 |train ent: 0.70013 |train ent ravg: 0.65040 |train acc:  0.62500 |train acc ravg:  0.65167 |val ent: 1.48877 |val entravg: 1.68573 |val acc:  0.50833 |val acc ravg:  0.53833 |
|epoch:   7 | lr: 0.010 |train ent: 0.55940 |train ent ravg: 0.62757 |train acc:  0.72500 |train acc ravg:  0.66250 |val ent: 1.51350 |val entravg: 1.86129 |val acc:  0.50833 |val acc ravg:  0.50833 |
|epoch:   8 | lr: 0.010 |train ent: 0.52756 |train ent ravg: 0.60428 |train acc:  0.72917 |train acc ravg:  0.67417 |val ent: 0.68524 |val entravg: 1.76268 |val acc:  0.60833 |val acc ravg:  0.52833 |
|epoch:   9 | lr: 0.010 |train ent: 0.54471 |train ent ravg: 0.59305 |train acc:  0.72500 |train acc ravg:  0.68833 |val ent: 2.43361 |val entravg: 1.82354 |val acc:  0.50833 |val acc ravg:  0.52833 |
|epoch:  10 | lr: 0.010 |train ent: 0.56044 |train ent ravg: 0.57845 |train acc:  0.72917 |train acc ravg:  0.70667 |val ent: 1.30307 |val entravg: 1.48484 |val acc:  0.52500 |val acc ravg:  0.53167 |
