,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.005,0.78541,0.66667,0.90011,0.63333
1,1.0,0.005,0.74617,0.66458,1.21799,0.55833
2,2.0,0.005,0.71045,0.66806,1.43319,0.53889
3,3.0,0.005,0.70846,0.66562,1.47601,0.52708
4,4.0,0.005,0.68252,0.67167,1.514,0.52333
5,5.0,0.005,0.61881,0.695,1.43037,0.55333
6,6.0,0.005,0.58903,0.70667,2.4604,0.555
7,7.0,0.005,0.57507,0.71917,2.58213,0.55667
8,8.0,0.005,0.53747,0.7375,2.65777,0.56
9,9.0,0.005,0.52496,0.75,2.87765,0.55667
10,10.0,0.001,0.52337,0.75083,2.92609,0.52833
11,11.0,0.001,0.49036,0.76917,1.92324,0.52833
12,12.0,0.001,0.46242,0.77833,1.70039,0.52667
13,13.0,0.001,0.43509,0.7975,1.67418,0.525
14,14.0,0.001,0.40636,0.805,1.22676,0.58333
15,15.0,0.001,0.38481,0.81583,1.15407,0.63
16,16.0,0.001,0.38299,0.81917,0.93902,0.68667
17,17.0,0.001,0.37477,0.83,1.38501,0.68833
18,18.0,0.001,0.37166,0.8275,1.76286,0.68667
19,19.0,0.001,0.37147,0.83583,1.90332,0.64333
20,20.0,0.0,0.37183,0.84167,1.90455,0.64167
21,21.0,0.0,0.35506,0.85583,1.8592,0.66
22,22.0,0.0,0.33845,0.86417,1.22388,0.71833
23,23.0,0.0,0.32117,0.87333,0.546,0.79667
24,24.0,0.0,0.31835,0.87333,0.39499,0.84
25,25.0,0.0,0.30848,0.8725,0.39198,0.83667
26,26.0,0.0,0.31065,0.86333,0.38773,0.84167
27,27.0,0.0,0.30302,0.86583,0.38026,0.84667
28,28.0,0.0,0.3082,0.86333,0.40407,0.82167
29,29.0,0.0,0.29647,0.87333,0.37588,0.84333
30,30.0,0.0,0.2994,0.87083,0.373,0.84167
31,31.0,0.0,0.28559,0.88083,0.37315,0.83167
32,32.0,0.0,0.2882,0.88083,0.36467,0.83833
33,33.0,0.0,0.28312,0.8825,0.34362,0.85667
34,34.0,0.0,0.27841,0.88333,0.34625,0.84833
35,35.0,0.0,0.28204,0.88583,0.34307,0.85
36,36.0,0.0,0.29078,0.8775,0.34,0.85167
37,37.0,0.0,0.29103,0.87417,0.35323,0.83833
38,38.0,0.0,0.29935,0.87,0.34606,0.84333
39,39.0,0.0,0.29623,0.8725,0.3435,0.845
40,40.0,0.0,0.2869,0.87917,0.34639,0.84667
41,41.0,0.0,0.28042,0.89,0.3569,0.835
42,42.0,0.0,0.28238,0.88667,0.34274,0.84833
43,43.0,0.0,0.27541,0.89,0.34472,0.84333
44,44.0,0.0,0.27916,0.885,0.34785,0.84333
45,45.0,0.0,0.27923,0.88417,0.34999,0.845
46,46.0,0.0,0.28161,0.88333,0.33719,0.86
47,47.0,0.0,0.2834,0.8875,0.34475,0.85833
48,48.0,0.0,0.28018,0.89667,0.34158,0.86833
49,49.0,0.0,0.27888,0.89667,0.34706,0.865
50,50.0,0.0,0.26714,0.90083,0.34525,0.865
51,51.0,0.0,0.26944,0.89917,0.35578,0.85833
52,52.0,0.0,0.26582,0.90167,0.34977,0.86167
53,53.0,0.0,0.27175,0.89,0.35229,0.85
54,54.0,0.0,0.27199,0.89,0.3429,0.85333
55,55.0,0.0,0.27499,0.88833,0.34216,0.85167
56,56.0,0.0,0.27047,0.88917,0.33655,0.85667
57,57.0,0.0,0.27982,0.87917,0.34039,0.85333
58,58.0,0.0,0.27164,0.885,0.34632,0.85333
59,59.0,0.0,0.26219,0.89167,0.35557,0.845
60,60.0,0.0,0.26324,0.88917,0.35518,0.84167
61,61.0,0.0,0.26868,0.87917,0.3568,0.84
62,62.0,0.0,0.26242,0.88583,0.35538,0.84
63,63.0,0.0,0.26353,0.88917,0.35238,0.84333
64,64.0,0.0,0.27952,0.8825,0.33826,0.85167
65,65.0,0.0,0.27903,0.88333,0.34301,0.85333
66,66.0,0.0,0.27059,0.8975,0.33397,0.85833
67,67.0,0.0,0.26645,0.90083,0.3278,0.86333
68,68.0,0.0,0.27035,0.9,0.32595,0.86333
69,69.0,0.0,0.26585,0.90167,0.33666,0.86167
70,70.0,0.0,0.26802,0.89917,0.33972,0.86
71,71.0,0.0,0.28162,0.885,0.35358,0.85333
72,72.0,0.0,0.27647,0.88333,0.35491,0.85333
73,73.0,0.0,0.27697,0.88333,0.35466,0.85333
74,74.0,0.0,0.27075,0.88833,0.34877,0.85667
75,75.0,0.0,0.27028,0.88917,0.3443,0.85833
76,76.0,0.0,0.25881,0.8925,0.33424,0.86333
77,77.0,0.0,0.25886,0.89583,0.33839,0.86167
78,78.0,0.0,0.24614,0.89917,0.33534,0.86167
79,79.0,0.0,0.25191,0.89583,0.33376,0.85833
