,epoch,lr,train kld ravg,train mae ravg,val kldravg,val mae ravg
0,0.0,0.1,1.99907,5.21035,1.73907,4.07772
1,1.0,0.1,1.83847,4.58172,1.73639,3.86069
2,2.0,0.1,1.78133,4.2597,1.70222,3.65735
3,3.0,0.1,1.73632,4.08355,1.68087,3.56063
4,4.0,0.1,1.71236,3.99618,1.66268,3.45751
5,5.0,0.1,1.63604,3.63898,1.61948,3.25287
6,6.0,0.1,1.62609,3.56047,1.57396,3.14827
7,7.0,0.1,1.63238,3.56767,1.55905,3.10224
8,8.0,0.1,1.63295,3.58208,1.54693,3.08248
9,9.0,0.1,1.62005,3.5268,1.52389,3.09581
10,10.0,0.01,1.60085,3.53148,1.50134,3.05013
11,11.0,0.01,1.57961,3.52834,1.49353,3.04745
12,12.0,0.01,1.54322,3.50169,1.47294,3.0508
13,13.0,0.01,1.52398,3.46828,1.45011,3.00756
14,14.0,0.01,1.50918,3.4614,1.44714,2.97824
15,15.0,0.01,1.50627,3.49192,1.45305,3.00993
16,16.0,0.01,1.48959,3.4523,1.45351,2.98817
17,17.0,0.01,1.48652,3.44753,1.44805,2.98802
18,18.0,0.01,1.47368,3.42771,1.44998,3.00152
19,19.0,0.01,1.46878,3.45509,1.44224,2.99184
20,20.0,0.001,1.46312,3.41937,1.44564,3.00322
21,21.0,0.001,1.46745,3.43626,1.4434,2.99983
22,22.0,0.001,1.45738,3.42876,1.44869,2.99533
23,23.0,0.001,1.45871,3.44777,1.45045,3.00074
24,24.0,0.001,1.45561,3.44125,1.45511,3.02103
25,25.0,0.001,1.45493,3.46457,1.45448,3.02166
26,26.0,0.001,1.46195,3.4806,1.44484,3.00253
27,27.0,0.001,1.46582,3.48744,1.4416,2.99865
28,28.0,0.001,1.4632,3.47162,1.43987,2.9908
29,29.0,0.001,1.46758,3.46186,1.44148,2.99275
30,30.0,0.0,1.46368,3.44252,1.43671,2.97829
31,31.0,0.0,1.45522,3.41195,1.44282,3.00374
32,32.0,0.0,1.44903,3.39123,1.44428,3.00248
33,33.0,0.0,1.45485,3.40601,1.43813,2.98259
34,34.0,0.0,1.45538,3.41858,1.43611,2.97315
35,35.0,0.0,1.45944,3.42188,1.43507,2.96665
36,36.0,0.0,1.45533,3.4154,1.43471,2.95332
37,37.0,0.0,1.45553,3.42712,1.44072,2.9712
38,38.0,0.0,1.45605,3.42389,1.44523,3.00181
39,39.0,0.0,1.46297,3.43314,1.44642,3.00955
40,40.0,0.0,1.45846,3.43544,1.44618,3.01535
41,41.0,0.0,1.46597,3.43816,1.45071,3.02778
42,42.0,0.0,1.47056,3.43419,1.44603,3.0207
43,43.0,0.0,1.46713,3.41839,1.44666,3.00982
44,44.0,0.0,1.46224,3.40992,1.45056,3.0153
45,45.0,0.0,1.46,3.37838,1.45576,3.02252
46,46.0,0.0,1.44999,3.36915,1.44849,3.00592
47,47.0,0.0,1.44345,3.33779,1.44306,2.98019
48,48.0,0.0,1.44195,3.33989,1.43449,2.95032
49,49.0,0.0,1.43774,3.30983,1.42428,2.92946
50,0.0,0.001,1.41258,3.21992,1.46599,2.92713
51,1.0,0.001,1.37531,3.08008,1.49535,3.1702
52,2.0,0.001,1.37249,3.04816,1.46301,3.16703
53,3.0,0.001,1.36342,2.99754,1.45114,3.18426
54,4.0,0.001,1.34114,2.91991,1.46106,3.19609
55,5.0,0.001,1.30529,2.77481,1.45652,3.23147
56,6.0,0.001,1.28097,2.68542,1.42343,3.14032
57,7.0,0.001,1.24695,2.56313,1.42205,3.11797
58,8.0,0.001,1.21667,2.47999,1.42078,3.09669
59,9.0,0.001,1.20791,2.46295,1.40942,3.06469
60,10.0,0.001,1.19467,2.42343,1.40423,3.04363
61,11.0,0.001,1.18452,2.39638,1.4198,3.06426
62,12.0,0.001,1.17553,2.35682,1.4151,3.05214
63,13.0,0.001,1.17277,2.32031,1.40855,3.01405
64,14.0,0.001,1.15278,2.25927,1.39589,2.99092
65,15.0,0.001,1.13894,2.22999,1.3828,2.98097
66,16.0,0.001,1.12562,2.18419,1.36861,2.93792
67,17.0,0.001,1.11611,2.18508,1.37931,2.95932
68,18.0,0.001,1.10515,2.15877,1.38443,2.97466
69,19.0,0.001,1.09898,2.15148,1.37789,2.94517
70,20.0,0.0,1.09598,2.15243,1.37975,2.93399
71,21.0,0.0,1.08946,2.14948,1.37697,2.95492
72,22.0,0.0,1.07906,2.11091,1.34715,2.89208
73,23.0,0.0,1.0631,2.07593,1.33756,2.86036
74,24.0,0.0,1.05906,2.03926,1.33967,2.87007
75,25.0,0.0,1.05494,2.0361,1.34468,2.8808
76,26.0,0.0,1.05615,2.02783,1.35063,2.88814
77,27.0,0.0,1.04855,2.00333,1.3676,2.91985
78,28.0,0.0,1.05238,2.03714,1.36163,2.9161
79,29.0,0.0,1.05393,2.04495,1.35535,2.90643
80,30.0,0.0,1.052,2.00659,1.34616,2.89135
81,31.0,0.0,1.04522,1.96293,1.3386,2.87661
82,32.0,0.0,1.05425,1.98994,1.33758,2.88646
83,33.0,0.0,1.04827,1.9728,1.34141,2.89108
84,34.0,0.0,1.04263,1.96834,1.33997,2.88404
85,35.0,0.0,1.0376,1.96422,1.34156,2.8818
86,36.0,0.0,1.03563,1.98571,1.33568,2.85845
87,37.0,0.0,1.03234,2.00503,1.33214,2.81919
88,38.0,0.0,1.03931,2.00911,1.33243,2.82228
89,39.0,0.0,1.03892,1.9861,1.33617,2.83699
