------------------------------------------------
Job ID: 39999592
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 04:11:00 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-18 04:11:06.072609
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 1.96846 |train kld ravg: 1.96846 |train mae:  5.30343 |train mae ravg:  5.30343 |val kld: 1.85329 |val kldravg: 1.85329 |val mae:  4.91554 |val mae ravg:  4.91554 |
|epoch:   1 | lr: 0.100 |train kld: 1.73584 |train kld ravg: 1.85215 |train mae:  4.34422 |train mae ravg:  4.82383 |val kld: 1.71156 |val kldravg: 1.78243 |val mae:  4.24842 |val mae ravg:  4.58198 |
|epoch:   2 | lr: 0.100 |train kld: 1.70368 |train kld ravg: 1.80266 |train mae:  4.14955 |train mae ravg:  4.59907 |val kld: 1.70762 |val kldravg: 1.75749 |val mae:  4.01960 |val mae ravg:  4.39452 |
|epoch:   3 | lr: 0.100 |train kld: 1.62803 |train kld ravg: 1.75900 |train mae:  3.87333 |train mae ravg:  4.41763 |val kld: 1.64082 |val kldravg: 1.72832 |val mae:  3.74511 |val mae ravg:  4.23217 |
|epoch:   4 | lr: 0.100 |train kld: 1.63060 |train kld ravg: 1.73332 |train mae:  3.82820 |train mae ravg:  4.29975 |val kld: 1.58167 |val kldravg: 1.69899 |val mae:  3.58332 |val mae ravg:  4.10240 |
|epoch:   5 | lr: 0.100 |train kld: 1.64422 |train kld ravg: 1.66848 |train mae:  4.09214 |train mae ravg:  4.05749 |val kld: 1.67611 |val kldravg: 1.66356 |val mae:  3.80518 |val mae ravg:  3.88032 |
|epoch:   6 | lr: 0.100 |train kld: 1.58406 |train kld ravg: 1.63812 |train mae:  3.75436 |train mae ravg:  3.93952 |val kld: 1.59447 |val kldravg: 1.64014 |val mae:  3.66216 |val mae ravg:  3.76307 |
|epoch:   7 | lr: 0.100 |train kld: 1.63075 |train kld ravg: 1.62353 |train mae:  3.78557 |train mae ravg:  3.86672 |val kld: 1.59945 |val kldravg: 1.61850 |val mae:  3.55543 |val mae ravg:  3.67024 |
|epoch:   8 | lr: 0.100 |train kld: 1.65649 |train kld ravg: 1.62922 |train mae:  4.00816 |train mae ravg:  3.89369 |val kld: 1.63931 |val kldravg: 1.61820 |val mae:  3.50805 |val mae ravg:  3.62283 |
|epoch:   9 | lr: 0.100 |train kld: 1.58938 |train kld ravg: 1.62098 |train mae:  3.68383 |train mae ravg:  3.86481 |val kld: 1.55545 |val kldravg: 1.61296 |val mae:  3.45792 |val mae ravg:  3.59775 |
|epoch:  10 | lr: 0.100 |train kld: 1.60668 |train kld ravg: 1.61347 |train mae:  3.74614 |train mae ravg:  3.79561 |val kld: 1.58099 |val kldravg: 1.59393 |val mae:  3.52739 |val mae ravg:  3.54219 |
|epoch:  11 | lr: 0.100 |train kld: 1.64251 |train kld ravg: 1.62516 |train mae:  4.02835 |train mae ravg:  3.85041 |val kld: 1.65082 |val kldravg: 1.60520 |val mae:  3.47426 |val mae ravg:  3.50461 |
|epoch:  12 | lr: 0.100 |train kld: 1.60588 |train kld ravg: 1.62019 |train mae:  3.72001 |train mae ravg:  3.83730 |val kld: 1.63151 |val kldravg: 1.61162 |val mae:  3.44622 |val mae ravg:  3.48277 |
|epoch:  13 | lr: 0.100 |train kld: 1.60659 |train kld ravg: 1.61021 |train mae:  3.54712 |train mae ravg:  3.74509 |val kld: 1.53022 |val kldravg: 1.58980 |val mae:  3.42941 |val mae ravg:  3.46704 |
|epoch:  14 | lr: 0.100 |train kld: 1.59362 |train kld ravg: 1.61106 |train mae:  3.72598 |train mae ravg:  3.75352 |val kld: 1.70525 |val kldravg: 1.61976 |val mae:  3.59735 |val mae ravg:  3.49493 |
|epoch:  15 | lr: 0.100 |train kld: 1.61216 |train kld ravg: 1.61215 |train mae:  3.69055 |train mae ravg:  3.74240 |val kld: 1.59394 |val kldravg: 1.62235 |val mae:  3.39936 |val mae ravg:  3.46932 |
|epoch:  16 | lr: 0.100 |train kld: 1.62142 |train kld ravg: 1.60793 |train mae:  3.85797 |train mae ravg:  3.70833 |val kld: 1.54455 |val kldravg: 1.60109 |val mae:  3.36685 |val mae ravg:  3.44784 |
|epoch:  17 | lr: 0.100 |train kld: 1.61422 |train kld ravg: 1.60960 |train mae:  3.86465 |train mae ravg:  3.73725 |val kld: 1.58871 |val kldravg: 1.59253 |val mae:  3.68248 |val mae ravg:  3.49509 |
