------------------------------------------------
Job ID: 39999595
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 04:59:27 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Load model for age - run: 0
Number of GPUs:  2
Epoch decay:  20
Gamma decay:  0.3

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-18 04:59:33.237015
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.00534 |train kld ravg: 2.00534 |train mae:  4.96614 |train mae ravg:  4.96614 |val kld: 1.85134 |val kldravg: 1.85134 |val mae:  4.14132 |val mae ravg:  4.14132 |
|epoch:   1 | lr: 0.100 |train kld: 1.71228 |train kld ravg: 1.85881 |train mae:  4.05036 |train mae ravg:  4.50825 |val kld: 1.68653 |val kldravg: 1.76893 |val mae:  3.88840 |val mae ravg:  4.01486 |
|epoch:   2 | lr: 0.100 |train kld: 1.67089 |train kld ravg: 1.79617 |train mae:  3.80757 |train mae ravg:  4.27469 |val kld: 1.62706 |val kldravg: 1.72164 |val mae:  3.63852 |val mae ravg:  3.88941 |
|epoch:   3 | lr: 0.100 |train kld: 1.65667 |train kld ravg: 1.76130 |train mae:  3.71940 |train mae ravg:  4.13587 |val kld: 1.61733 |val kldravg: 1.69557 |val mae:  3.27806 |val mae ravg:  3.73657 |
|epoch:   4 | lr: 0.100 |train kld: 1.67344 |train kld ravg: 1.74373 |train mae:  3.76764 |train mae ravg:  4.06223 |val kld: 1.59896 |val kldravg: 1.67624 |val mae:  3.45397 |val mae ravg:  3.68005 |
|epoch:   5 | lr: 0.100 |train kld: 1.59280 |train kld ravg: 1.66122 |train mae:  3.62676 |train mae ravg:  3.79435 |val kld: 1.73494 |val kldravg: 1.65296 |val mae:  3.52189 |val mae ravg:  3.55617 |
|epoch:   6 | lr: 0.100 |train kld: 1.70560 |train kld ravg: 1.65988 |train mae:  3.84156 |train mae ravg:  3.75259 |val kld: 1.66304 |val kldravg: 1.64827 |val mae:  3.44393 |val mae ravg:  3.46727 |
|epoch:   7 | lr: 0.100 |train kld: 1.61942 |train kld ravg: 1.64958 |train mae:  3.66242 |train mae ravg:  3.72356 |val kld: 1.61943 |val kldravg: 1.64674 |val mae:  3.39261 |val mae ravg:  3.41809 |
|epoch:   8 | lr: 0.100 |train kld: 1.57669 |train kld ravg: 1.63359 |train mae:  3.58849 |train mae ravg:  3.69738 |val kld: 1.57656 |val kldravg: 1.63859 |val mae:  3.58431 |val mae ravg:  3.47934 |
|epoch:   9 | lr: 0.100 |train kld: 1.64570 |train kld ravg: 1.62804 |train mae:  3.64641 |train mae ravg:  3.67313 |val kld: 1.69113 |val kldravg: 1.65702 |val mae:  3.40690 |val mae ravg:  3.46992 |
|epoch:  10 | lr: 0.100 |train kld: 1.59721 |train kld ravg: 1.62892 |train mae:  3.55374 |train mae ravg:  3.65852 |val kld: 1.56457 |val kldravg: 1.62295 |val mae:  3.50205 |val mae ravg:  3.46596 |
