------------------------------------------------
Job ID: 39999719
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 05:52:50 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Load model for sex - run: 0
Number of GPUs:  2
Epoch decay:  50
Gamma decay:  0.1

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-18 05:52:57.589116
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.25548 |train kld ravg: 2.25548 |train mae:  6.46197 |train mae ravg:  6.46197 |val kld: 2.29600 |val kldravg: 2.29600 |val mae:  7.55763 |val mae ravg:  7.55763 |
|epoch:   1 | lr: 0.100 |train kld: 2.05546 |train kld ravg: 2.15547 |train mae:  6.20035 |train mae ravg:  6.33116 |val kld: 2.27278 |val kldravg: 2.28439 |val mae:  7.46886 |val mae ravg:  7.51324 |
|epoch:   2 | lr: 0.100 |train kld: 2.05940 |train kld ravg: 2.12345 |train mae:  6.20258 |train mae ravg:  6.28830 |val kld: 2.25270 |val kldravg: 2.27383 |val mae:  7.39169 |val mae ravg:  7.47272 |
|epoch:   3 | lr: 0.100 |train kld: 2.04603 |train kld ravg: 2.10410 |train mae:  6.20741 |train mae ravg:  6.26808 |val kld: 2.22057 |val kldravg: 2.26051 |val mae:  7.39881 |val mae ravg:  7.45425 |
|epoch:   4 | lr: 0.100 |train kld: 2.05829 |train kld ravg: 2.09493 |train mae:  6.20125 |train mae ravg:  6.25471 |val kld: 2.22603 |val kldravg: 2.25362 |val mae:  7.35403 |val mae ravg:  7.43420 |
|epoch:   5 | lr: 0.100 |train kld: 2.04826 |train kld ravg: 2.05349 |train mae:  6.19193 |train mae ravg:  6.20070 |val kld: 2.22723 |val kldravg: 2.23986 |val mae:  7.26737 |val mae ravg:  7.37615 |
|epoch:   6 | lr: 0.100 |train kld: 2.05009 |train kld ravg: 2.05241 |train mae:  6.10929 |train mae ravg:  6.18249 |val kld: 2.20769 |val kldravg: 2.22685 |val mae:  7.20410 |val mae ravg:  7.32320 |
|epoch:   7 | lr: 0.100 |train kld: 2.04107 |train kld ravg: 2.04875 |train mae:  6.20628 |train mae ravg:  6.18323 |val kld: 2.22749 |val kldravg: 2.22180 |val mae:  7.30169 |val mae ravg:  7.30520 |
|epoch:   8 | lr: 0.100 |train kld: 2.03744 |train kld ravg: 2.04703 |train mae:  6.22126 |train mae ravg:  6.18600 |val kld: 2.23831 |val kldravg: 2.22535 |val mae:  7.28805 |val mae ravg:  7.28305 |
|epoch:   9 | lr: 0.100 |train kld: 2.04211 |train kld ravg: 2.04379 |train mae:  6.15216 |train mae ravg:  6.17618 |val kld: 2.23744 |val kldravg: 2.22763 |val mae:  7.37704 |val mae ravg:  7.28765 |
|epoch:  10 | lr: 0.100 |train kld: 2.05832 |train kld ravg: 2.04581 |train mae:  6.19578 |train mae ravg:  6.17695 |val kld: 2.20678 |val kldravg: 2.22354 |val mae:  7.17981 |val mae ravg:  7.27014 |
