------------------------------------------------
Job ID: 40018620
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 19 13:38:52 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading share 1.00 train data.
Loading share 1.00   val data.
Load model for sex - run: 0
Number of GPUs:  2
Epoch decay:  10
Gamma decay:  0.1

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-19 13:38:59.974358
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.27236 |train kld ravg: 2.27236 |train mae:  6.41975 |train mae ravg:  6.41974 |val kld: 2.21915 |val kldravg: 2.21915 |val mae:  7.05069 |val mae ravg:  7.05069 |
|epoch:   1 | lr: 0.100 |train kld: 2.04682 |train kld ravg: 2.15959 |train mae:  6.15795 |train mae ravg:  6.28885 |val kld: 2.28027 |val kldravg: 2.24971 |val mae:  7.47853 |val mae ravg:  7.26461 |
|epoch:   2 | lr: 0.100 |train kld: 2.04464 |train kld ravg: 2.12127 |train mae:  6.19566 |train mae ravg:  6.25778 |val kld: 2.23900 |val kldravg: 2.24614 |val mae:  7.27970 |val mae ravg:  7.26964 |
|epoch:   3 | lr: 0.100 |train kld: 2.03615 |train kld ravg: 2.09999 |train mae:  6.22360 |train mae ravg:  6.24924 |val kld: 2.25325 |val kldravg: 2.24792 |val mae:  7.35473 |val mae ravg:  7.29091 |
|epoch:   4 | lr: 0.100 |train kld: 2.02957 |train kld ravg: 2.08591 |train mae:  6.16250 |train mae ravg:  6.23189 |val kld: 2.25014 |val kldravg: 2.24836 |val mae:  7.41384 |val mae ravg:  7.31550 |
|epoch:   5 | lr: 0.100 |train kld: 2.01614 |train kld ravg: 2.03466 |train mae:  6.14525 |train mae ravg:  6.17699 |val kld: 2.21730 |val kldravg: 2.24799 |val mae:  7.11820 |val mae ravg:  7.32900 |
|epoch:   6 | lr: 0.100 |train kld: 2.02004 |train kld ravg: 2.02931 |train mae:  6.11834 |train mae ravg:  6.16907 |val kld: 2.25271 |val kldravg: 2.24248 |val mae:  7.35343 |val mae ravg:  7.30398 |
|epoch:   7 | lr: 0.100 |train kld: 2.03513 |train kld ravg: 2.02741 |train mae:  6.15305 |train mae ravg:  6.16055 |val kld: 2.21361 |val kldravg: 2.23740 |val mae:  7.24530 |val mae ravg:  7.29710 |
|epoch:   8 | lr: 0.100 |train kld: 2.04147 |train kld ravg: 2.02847 |train mae:  6.19763 |train mae ravg:  6.15535 |val kld: 2.21646 |val kldravg: 2.23005 |val mae:  7.28187 |val mae ravg:  7.28253 |
|epoch:   9 | lr: 0.100 |train kld: 2.02001 |train kld ravg: 2.02656 |train mae:  6.22801 |train mae ravg:  6.16846 |val kld: 2.19258 |val kldravg: 2.21853 |val mae:  7.10546 |val mae ravg:  7.22085 |
|epoch:  10 | lr: 0.010 |train kld: 1.99188 |train kld ravg: 2.02171 |train mae:  6.11644 |train mae ravg:  6.16269 |val kld: 2.26135 |val kldravg: 2.22734 |val mae:  7.44306 |val mae ravg:  7.28582 |
|epoch:  11 | lr: 0.010 |train kld: 2.01233 |train kld ravg: 2.02016 |train mae:  6.18309 |train mae ravg:  6.17564 |val kld: 2.26298 |val kldravg: 2.22939 |val mae:  7.55306 |val mae ravg:  7.32575 |
|epoch:  12 | lr: 0.010 |train kld: 2.00314 |train kld ravg: 2.01377 |train mae:  6.18729 |train mae ravg:  6.18249 |val kld: 2.24296 |val kldravg: 2.23526 |val mae:  7.31518 |val mae ravg:  7.33972 |
