------------------------------------------------
Job ID: 39999680
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 05:47:47 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Load model for sex - run: 0
Number of GPUs:  2
Epoch decay:  10
Gamma decay:  0.1

Full model is being trained with weights loaded from pre-trained model.
Start:  2021-03-18 05:47:53.695420
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train kld: 2.18505 |train kld ravg: 2.18505 |train mae:  6.17451 |train mae ravg:  6.17451 |val kld: 2.29293 |val kldravg: 2.29293 |val mae:  7.39430 |val mae ravg:  7.39430 |
|epoch:   1 | lr: 0.100 |train kld: 2.09032 |train kld ravg: 2.13768 |train mae:  6.24996 |train mae ravg:  6.21223 |val kld: 2.29867 |val kldravg: 2.29580 |val mae:  7.55701 |val mae ravg:  7.47565 |
|epoch:   2 | lr: 0.100 |train kld: 2.05381 |train kld ravg: 2.10972 |train mae:  6.10554 |train mae ravg:  6.17667 |val kld: 2.25633 |val kldravg: 2.28264 |val mae:  7.36225 |val mae ravg:  7.43785 |
|epoch:   3 | lr: 0.100 |train kld: 2.08175 |train kld ravg: 2.10273 |train mae:  6.23262 |train mae ravg:  6.19065 |val kld: 2.20488 |val kldravg: 2.26320 |val mae:  7.14596 |val mae ravg:  7.36488 |
|epoch:   4 | lr: 0.100 |train kld: 2.04032 |train kld ravg: 2.09025 |train mae:  6.11779 |train mae ravg:  6.17608 |val kld: 2.26543 |val kldravg: 2.26365 |val mae:  7.50081 |val mae ravg:  7.39207 |
|epoch:   5 | lr: 0.100 |train kld: 2.05325 |train kld ravg: 2.06389 |train mae:  6.18612 |train mae ravg:  6.17840 |val kld: 2.24518 |val kldravg: 2.25410 |val mae:  7.34872 |val mae ravg:  7.38295 |
|epoch:   6 | lr: 0.100 |train kld: 2.06469 |train kld ravg: 2.05876 |train mae:  6.18410 |train mae ravg:  6.16523 |val kld: 2.24979 |val kldravg: 2.24432 |val mae:  7.26333 |val mae ravg:  7.32422 |
|epoch:   7 | lr: 0.100 |train kld: 2.07232 |train kld ravg: 2.06247 |train mae:  6.19642 |train mae ravg:  6.18341 |val kld: 2.25781 |val kldravg: 2.24462 |val mae:  7.56985 |val mae ravg:  7.36574 |
|epoch:   8 | lr: 0.100 |train kld: 2.08180 |train kld ravg: 2.06248 |train mae:  6.17781 |train mae ravg:  6.17245 |val kld: 2.23317 |val kldravg: 2.25028 |val mae:  7.38648 |val mae ravg:  7.41384 |
|epoch:   9 | lr: 0.100 |train kld: 2.05168 |train kld ravg: 2.06475 |train mae:  6.18512 |train mae ravg:  6.18591 |val kld: 2.25759 |val kldravg: 2.24871 |val mae:  7.36426 |val mae ravg:  7.38653 |
|epoch:  10 | lr: 0.010 |train kld: 2.03559 |train kld ravg: 2.06121 |train mae:  6.17160 |train mae ravg:  6.18301 |val kld: 2.24473 |val kldravg: 2.24862 |val mae:  7.30022 |val mae ravg:  7.37683 |
|epoch:  11 | lr: 0.010 |train kld: 2.01770 |train kld ravg: 2.05182 |train mae:  6.15822 |train mae ravg:  6.17783 |val kld: 2.25121 |val kldravg: 2.24890 |val mae:  7.27098 |val mae ravg:  7.37836 |
|epoch:  12 | lr: 0.010 |train kld: 2.01986 |train kld ravg: 2.04132 |train mae:  6.13847 |train mae ravg:  6.16624 |val kld: 2.25507 |val kldravg: 2.24835 |val mae:  7.46570 |val mae ravg:  7.35753 |
|epoch:  13 | lr: 0.010 |train kld: 2.02516 |train kld ravg: 2.03000 |train mae:  6.23190 |train mae ravg:  6.17706 |val kld: 2.25288 |val kldravg: 2.25229 |val mae:  7.38747 |val mae ravg:  7.35772 |
|epoch:  14 | lr: 0.010 |train kld: 1.99347 |train kld ravg: 2.01836 |train mae:  6.08433 |train mae ravg:  6.15691 |val kld: 2.25168 |val kldravg: 2.25111 |val mae:  7.45423 |val mae ravg:  7.37572 |
|epoch:  15 | lr: 0.010 |train kld: 2.03000 |train kld ravg: 2.01724 |train mae:  6.21755 |train mae ravg:  6.16609 |val kld: 2.24649 |val kldravg: 2.25146 |val mae:  7.31622 |val mae ravg:  7.37892 |
|epoch:  16 | lr: 0.010 |train kld: 2.02087 |train kld ravg: 2.01787 |train mae:  6.24465 |train mae ravg:  6.18338 |val kld: 2.24583 |val kldravg: 2.25039 |val mae:  7.34367 |val mae ravg:  7.39346 |
|epoch:  17 | lr: 0.010 |train kld: 2.01247 |train kld ravg: 2.01639 |train mae:  6.19194 |train mae ravg:  6.19408 |val kld: 2.21927 |val kldravg: 2.24323 |val mae:  7.27278 |val mae ravg:  7.35487 |
|epoch:  18 | lr: 0.010 |train kld: 2.01245 |train kld ravg: 2.01385 |train mae:  6.14784 |train mae ravg:  6.17726 |val kld: 2.24540 |val kldravg: 2.24173 |val mae:  7.52650 |val mae ravg:  7.38268 |
|epoch:  19 | lr: 0.010 |train kld: 2.01581 |train kld ravg: 2.01832 |train mae:  6.16934 |train mae ravg:  6.19426 |val kld: 2.20420 |val kldravg: 2.23224 |val mae:  7.21828 |val mae ravg:  7.33549 |
|epoch:  20 | lr: 0.001 |train kld: 2.01920 |train kld ravg: 2.01616 |train mae:  6.20766 |train mae ravg:  6.19228 |val kld: 2.24887 |val kldravg: 2.23271 |val mae:  7.56025 |val mae ravg:  7.38430 |
|epoch:  21 | lr: 0.001 |train kld: 1.99410 |train kld ravg: 2.01081 |train mae:  6.20957 |train mae ravg:  6.18527 |val kld: 2.21910 |val kldravg: 2.22737 |val mae:  7.37120 |val mae ravg:  7.38980 |
|epoch:  22 | lr: 0.001 |train kld: 2.01989 |train kld ravg: 2.01229 |train mae:  6.20310 |train mae ravg:  6.18750 |val kld: 2.22166 |val kldravg: 2.22785 |val mae:  7.33926 |val mae ravg:  7.40310 |
|epoch:  23 | lr: 0.001 |train kld: 1.98980 |train kld ravg: 2.00776 |train mae:  6.13154 |train mae ravg:  6.18424 |val kld: 2.19667 |val kldravg: 2.21810 |val mae:  7.21311 |val mae ravg:  7.34042 |
|epoch:  24 | lr: 0.001 |train kld: 1.99075 |train kld ravg: 2.00275 |train mae:  6.10305 |train mae ravg:  6.17098 |val kld: 2.21178 |val kldravg: 2.21962 |val mae:  7.26913 |val mae ravg:  7.35059 |
|epoch:  25 | lr: 0.001 |train kld: 2.01630 |train kld ravg: 2.00217 |train mae:  6.21759 |train mae ravg:  6.17297 |val kld: 2.23094 |val kldravg: 2.21603 |val mae:  7.39426 |val mae ravg:  7.31739 |
|epoch:  26 | lr: 0.001 |train kld: 2.00450 |train kld ravg: 2.00425 |train mae:  6.21532 |train mae ravg:  6.17412 |val kld: 2.22636 |val kldravg: 2.21748 |val mae:  7.32136 |val mae ravg:  7.30742 |
