------------------------------------------------
Job ID: 40000056
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 18:14:07 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-18 18:14:14.294829
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.40299 |train kld ravg: 2.40299 |train mae:  6.63821 |train mae ravg:  6.63821 |val kld: 2.28197 |val kldravg: 2.28197 |val mae:  7.41389 |val mae ravg:  7.41389 |
|epoch:   1 | lr: 0.010 |train kld: 2.12123 |train kld ravg: 2.26211 |train mae:  6.04411 |train mae ravg:  6.34116 |val kld: 2.23496 |val kldravg: 2.25847 |val mae:  7.45908 |val mae ravg:  7.43649 |
|epoch:   2 | lr: 0.010 |train kld: 2.05398 |train kld ravg: 2.19273 |train mae:  5.91796 |train mae ravg:  6.20009 |val kld: 2.22120 |val kldravg: 2.24604 |val mae:  7.32386 |val mae ravg:  7.39894 |
|epoch:   3 | lr: 0.010 |train kld: 2.00319 |train kld ravg: 2.14535 |train mae:  5.71874 |train mae ravg:  6.07975 |val kld: 2.17674 |val kldravg: 2.22872 |val mae:  7.10205 |val mae ravg:  7.32472 |
|epoch:   4 | lr: 0.010 |train kld: 1.99684 |train kld ravg: 2.11565 |train mae:  5.71879 |train mae ravg:  6.00756 |val kld: 2.20850 |val kldravg: 2.22467 |val mae:  6.91817 |val mae ravg:  7.24341 |
|epoch:   5 | lr: 0.010 |train kld: 1.96728 |train kld ravg: 2.02850 |train mae:  5.69800 |train mae ravg:  5.81952 |val kld: 2.24120 |val kldravg: 2.21652 |val mae:  7.63484 |val mae ravg:  7.28760 |
|epoch:   6 | lr: 0.010 |train kld: 1.94368 |train kld ravg: 1.99299 |train mae:  5.54185 |train mae ravg:  5.71907 |val kld: 2.18837 |val kldravg: 2.20720 |val mae:  7.65393 |val mae ravg:  7.32657 |
|epoch:   7 | lr: 0.010 |train kld: 1.94931 |train kld ravg: 1.97206 |train mae:  5.58873 |train mae ravg:  5.65322 |val kld: 2.39959 |val kldravg: 2.24288 |val mae:  8.54486 |val mae ravg:  7.57077 |
|epoch:   8 | lr: 0.010 |train kld: 1.95117 |train kld ravg: 1.96165 |train mae:  5.51298 |train mae ravg:  5.61207 |val kld: 2.27968 |val kldravg: 2.26347 |val mae:  6.79245 |val mae ravg:  7.50885 |
|epoch:   9 | lr: 0.010 |train kld: 1.91902 |train kld ravg: 1.94609 |train mae:  5.54100 |train mae ravg:  5.57651 |val kld: 2.40180 |val kldravg: 2.30213 |val mae:  6.72983 |val mae ravg:  7.47118 |
|epoch:  10 | lr: 0.010 |train kld: 1.91314 |train kld ravg: 1.93526 |train mae:  5.43444 |train mae ravg:  5.52380 |val kld: 2.12339 |val kldravg: 2.27857 |val mae:  6.20698 |val mae ravg:  7.18561 |
|epoch:  11 | lr: 0.010 |train kld: 1.93455 |train kld ravg: 1.93344 |train mae:  5.57086 |train mae ravg:  5.52960 |val kld: 2.44385 |val kldravg: 2.32966 |val mae:  6.97300 |val mae ravg:  7.04943 |
|epoch:  12 | lr: 0.010 |train kld: 1.90073 |train kld ravg: 1.92372 |train mae:  5.26252 |train mae ravg:  5.46436 |val kld: 2.09019 |val kldravg: 2.26778 |val mae:  6.22222 |val mae ravg:  6.58490 |
|epoch:  13 | lr: 0.010 |train kld: 1.88675 |train kld ravg: 1.91084 |train mae:  5.32446 |train mae ravg:  5.42666 |val kld: 2.93329 |val kldravg: 2.39850 |val mae:  8.20115 |val mae ravg:  6.86664 |
|epoch:  14 | lr: 0.010 |train kld: 1.90019 |train kld ravg: 1.90707 |train mae:  5.25125 |train mae ravg:  5.36870 |val kld: 2.52625 |val kldravg: 2.42339 |val mae:  7.67251 |val mae ravg:  7.05517 |
|epoch:  15 | lr: 0.010 |train kld: 1.86430 |train kld ravg: 1.89731 |train mae:  5.33445 |train mae ravg:  5.34871 |val kld: 3.15459 |val kldravg: 2.62964 |val mae:  8.53772 |val mae ravg:  7.52132 |
|epoch:  16 | lr: 0.010 |train kld: 1.85291 |train kld ravg: 1.88098 |train mae:  5.14845 |train mae ravg:  5.26422 |val kld: 2.95887 |val kldravg: 2.73264 |val mae:  10.09821 |val mae ravg:  8.14636 |
|epoch:  17 | lr: 0.010 |train kld: 1.85714 |train kld ravg: 1.87226 |train mae:  5.21574 |train mae ravg:  5.25487 |val kld: 2.09443 |val kldravg: 2.73349 |val mae:  6.51724 |val mae ravg:  8.20537 |
|epoch:  18 | lr: 0.010 |train kld: 1.80447 |train kld ravg: 1.85580 |train mae:  5.02636 |train mae ravg:  5.19525 |val kld: 2.11415 |val kldravg: 2.56966 |val mae:  5.84025 |val mae ravg:  7.73318 |
|epoch:  19 | lr: 0.010 |train kld: 1.81801 |train kld ravg: 1.83937 |train mae:  5.01707 |train mae ravg:  5.14841 |val kld: 2.14915 |val kldravg: 2.49424 |val mae:  7.16741 |val mae ravg:  7.63217 |
|epoch:  20 | lr: 0.010 |train kld: 1.85965 |train kld ravg: 1.83844 |train mae:  5.17122 |train mae ravg:  5.11577 |val kld: 2.42277 |val kldravg: 2.34788 |val mae:  9.19541 |val mae ravg:  7.76370 |
|epoch:  21 | lr: 0.010 |train kld: 1.82092 |train kld ravg: 1.83204 |train mae:  5.00273 |train mae ravg:  5.08663 |val kld: 2.57894 |val kldravg: 2.27189 |val mae:  10.02406 |val mae ravg:  7.74887 |
