------------------------------------------------
Job ID: 40000060
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Mar 18 18:59:08 GMT 2021
------------------------------------------------
Test (in contrast to train):  False
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-18 18:59:14.372756
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train kld: 2.40887 |train kld ravg: 2.40887 |train mae:  6.31948 |train mae ravg:  6.31948 |val kld: 2.26759 |val kldravg: 2.26759 |val mae:  7.18887 |val mae ravg:  7.18887 |
|epoch:   1 | lr: 0.010 |train kld: 2.11120 |train kld ravg: 2.26004 |train mae:  5.99798 |train mae ravg:  6.15873 |val kld: 2.34452 |val kldravg: 2.30606 |val mae:  7.35237 |val mae ravg:  7.27062 |
|epoch:   2 | lr: 0.010 |train kld: 2.06335 |train kld ravg: 2.19447 |train mae:  5.93802 |train mae ravg:  6.08516 |val kld: 2.22283 |val kldravg: 2.27832 |val mae:  7.56136 |val mae ravg:  7.36753 |
|epoch:   3 | lr: 0.010 |train kld: 2.01961 |train kld ravg: 2.15076 |train mae:  5.87647 |train mae ravg:  6.03299 |val kld: 2.28451 |val kldravg: 2.27986 |val mae:  7.67601 |val mae ravg:  7.44465 |
|epoch:   4 | lr: 0.010 |train kld: 2.00533 |train kld ravg: 2.12167 |train mae:  5.67889 |train mae ravg:  5.96217 |val kld: 2.24395 |val kldravg: 2.27268 |val mae:  7.22912 |val mae ravg:  7.40155 |
|epoch:   5 | lr: 0.010 |train kld: 2.00295 |train kld ravg: 2.04049 |train mae:  5.72419 |train mae ravg:  5.84311 |val kld: 2.19673 |val kldravg: 2.25851 |val mae:  7.23897 |val mae ravg:  7.41156 |
|epoch:   6 | lr: 0.010 |train kld: 1.96877 |train kld ravg: 2.01200 |train mae:  5.61949 |train mae ravg:  5.76741 |val kld: 2.56362 |val kldravg: 2.30233 |val mae:  8.69101 |val mae ravg:  7.67929 |
|epoch:   7 | lr: 0.010 |train kld: 1.94810 |train kld ravg: 1.98895 |train mae:  5.71126 |train mae ravg:  5.72206 |val kld: 2.68292 |val kldravg: 2.39434 |val mae:  8.89803 |val mae ravg:  7.94663 |
|epoch:   8 | lr: 0.010 |train kld: 1.93287 |train kld ravg: 1.97160 |train mae:  5.53406 |train mae ravg:  5.65358 |val kld: 3.01650 |val kldravg: 2.54074 |val mae:  8.39493 |val mae ravg:  8.09041 |
|epoch:   9 | lr: 0.010 |train kld: 1.92273 |train kld ravg: 1.95508 |train mae:  5.43634 |train mae ravg:  5.60507 |val kld: 2.50818 |val kldravg: 2.59359 |val mae:  6.91039 |val mae ravg:  8.02667 |
|epoch:  10 | lr: 0.010 |train kld: 1.91432 |train kld ravg: 1.93736 |train mae:  5.42030 |train mae ravg:  5.54429 |val kld: 2.19321 |val kldravg: 2.59289 |val mae:  7.69603 |val mae ravg:  8.11808 |
|epoch:  11 | lr: 0.010 |train kld: 1.90074 |train kld ravg: 1.92375 |train mae:  5.27636 |train mae ravg:  5.47566 |val kld: 2.09183 |val kldravg: 2.49853 |val mae:  6.65440 |val mae ravg:  7.71075 |
|epoch:  12 | lr: 0.010 |train kld: 1.88566 |train kld ravg: 1.91126 |train mae:  5.24916 |train mae ravg:  5.38324 |val kld: 2.14921 |val kldravg: 2.39179 |val mae:  7.16539 |val mae ravg:  7.36423 |
|epoch:  13 | lr: 0.010 |train kld: 1.88800 |train kld ravg: 1.90229 |train mae:  5.21492 |train mae ravg:  5.31942 |val kld: 2.06268 |val kldravg: 2.20102 |val mae:  6.62279 |val mae ravg:  7.00980 |
|epoch:  14 | lr: 0.010 |train kld: 1.84915 |train kld ravg: 1.88757 |train mae:  4.96623 |train mae ravg:  5.22539 |val kld: 2.66842 |val kldravg: 2.23307 |val mae:  7.85195 |val mae ravg:  7.19811 |
|epoch:  15 | lr: 0.010 |train kld: 1.86577 |train kld ravg: 1.87786 |train mae:  5.22251 |train mae ravg:  5.18584 |val kld: 5.28192 |val kldravg: 2.85081 |val mae:  9.91651 |val mae ravg:  7.64221 |
|epoch:  16 | lr: 0.010 |train kld: 1.84801 |train kld ravg: 1.86732 |train mae:  5.13771 |train mae ravg:  5.15811 |val kld: 2.27327 |val kldravg: 2.88710 |val mae:  8.40686 |val mae ravg:  7.99270 |
|epoch:  17 | lr: 0.010 |train kld: 1.82826 |train kld ravg: 1.85584 |train mae:  5.00164 |train mae ravg:  5.10860 |val kld: 2.12602 |val kldravg: 2.88246 |val mae:  5.50709 |val mae ravg:  7.66104 |
