------------------------------------------------
Job ID: 33533642
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 00:43:50 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 00:43:59.038376
|epoch:   0 | lr: 0.010 |train loss: 2.47141 |train loss ravg: 2.47141 |train MAE:  6.32900 |train MAE ravg:  6.32900 |val loss: 2.42126 |val loss ravg: 2.42126 |val MAE:  7.45598 |val MAE ravg:  7.45598 |
|epoch:   1 | lr: 0.010 |train loss: 2.22104 |train loss ravg: 2.34622 |train MAE:  6.06892 |train MAE ravg:  6.19896 |val loss: 2.29999 |val loss ravg: 2.36063 |val MAE:  7.39856 |val MAE ravg:  7.42727 |
|epoch:   2 | lr: 0.010 |train loss: 2.11991 |train loss ravg: 2.27079 |train MAE:  5.99749 |train MAE ravg:  6.13180 |val loss: 2.26692 |val loss ravg: 2.32939 |val MAE:  7.06941 |val MAE ravg:  7.30798 |
|epoch:   3 | lr: 0.010 |train loss: 2.06850 |train loss ravg: 2.22022 |train MAE:  5.95764 |train MAE ravg:  6.08826 |val loss: 2.27736 |val loss ravg: 2.31639 |val MAE:  7.14751 |val MAE ravg:  7.26787 |
|epoch:   4 | lr: 0.010 |train loss: 2.04321 |train loss ravg: 2.18482 |train MAE:  5.97901 |train MAE ravg:  6.06641 |val loss: 2.29151 |val loss ravg: 2.31141 |val MAE:  7.11749 |val MAE ravg:  7.23779 |
|epoch:   5 | lr: 0.010 |train loss: 2.01013 |train loss ravg: 2.15570 |train MAE:  5.84459 |train MAE ravg:  6.02944 |val loss: 2.29842 |val loss ravg: 2.30925 |val MAE:  7.63366 |val MAE ravg:  7.30377 |
|epoch:   6 | lr: 0.010 |train loss: 2.01116 |train loss ravg: 2.13505 |train MAE:  5.95158 |train MAE ravg:  6.01832 |val loss: 2.30966 |val loss ravg: 2.30930 |val MAE:  6.99015 |val MAE ravg:  7.25897 |
|epoch:   7 | lr: 0.010 |train loss: 1.98447 |train loss ravg: 2.11623 |train MAE:  5.86072 |train MAE ravg:  5.99862 |val loss: 2.22678 |val loss ravg: 2.29899 |val MAE:  7.03644 |val MAE ravg:  7.23115 |
|epoch:   8 | lr: 0.010 |train loss: 1.97458 |train loss ravg: 2.10049 |train MAE:  5.80677 |train MAE ravg:  5.97730 |val loss: 2.17778 |val loss ravg: 2.28552 |val MAE:  6.98608 |val MAE ravg:  7.20392 |
|epoch:   9 | lr: 0.010 |train loss: 1.95479 |train loss ravg: 2.08592 |train MAE:  5.74950 |train MAE ravg:  5.95452 |val loss: 2.19293 |val loss ravg: 2.27626 |val MAE:  6.94313 |val MAE ravg:  7.17784 |
|epoch:  10 | lr: 0.010 |train loss: 1.92990 |train loss ravg: 2.07174 |train MAE:  5.56357 |train MAE ravg:  5.91898 |val loss: 2.58058 |val loss ravg: 2.30393 |val MAE:  8.16008 |val MAE ravg:  7.26714 |
|epoch:  11 | lr: 0.007 |train loss: 1.92480 |train loss ravg: 2.05949 |train MAE:  5.65068 |train MAE ravg:  5.89662 |val loss: 2.48493 |val loss ravg: 2.31901 |val MAE:  7.14904 |val MAE ravg:  7.25729 |
|epoch:  12 | lr: 0.007 |train loss: 1.91931 |train loss ravg: 2.04871 |train MAE:  5.61450 |train MAE ravg:  5.87492 |val loss: 2.41836 |val loss ravg: 2.32665 |val MAE:  8.01002 |val MAE ravg:  7.31520 |
|epoch:  13 | lr: 0.007 |train loss: 1.90624 |train loss ravg: 2.03853 |train MAE:  5.57683 |train MAE ravg:  5.85363 |val loss: 2.26735 |val loss ravg: 2.32242 |val MAE:  6.60476 |val MAE ravg:  7.26445 |
|epoch:  14 | lr: 0.007 |train loss: 1.89199 |train loss ravg: 2.02876 |train MAE:  5.53443 |train MAE ravg:  5.83235 |val loss: 2.37875 |val loss ravg: 2.32617 |val MAE:  6.64961 |val MAE ravg:  7.22346 |
|epoch:  15 | lr: 0.007 |train loss: 1.88569 |train loss ravg: 2.01982 |train MAE:  5.51225 |train MAE ravg:  5.81234 |val loss: 2.34646 |val loss ravg: 2.32744 |val MAE:  6.69932 |val MAE ravg:  7.19070 |
|epoch:  16 | lr: 0.007 |train loss: 1.85914 |train loss ravg: 2.01037 |train MAE:  5.29136 |train MAE ravg:  5.78170 |val loss: 2.41796 |val loss ravg: 2.33277 |val MAE:  7.44487 |val MAE ravg:  7.20565 |
|epoch:  17 | lr: 0.007 |train loss: 1.89654 |train loss ravg: 2.00404 |train MAE:  5.57012 |train MAE ravg:  5.76994 |val loss: 2.14131 |val loss ravg: 2.32213 |val MAE:  7.07816 |val MAE ravg:  7.19857 |
|epoch:  18 | lr: 0.007 |train loss: 1.85480 |train loss ravg: 1.99619 |train MAE:  5.39951 |train MAE ravg:  5.75044 |val loss: 2.76810 |val loss ravg: 2.34560 |val MAE:  7.59811 |val MAE ravg:  7.21960 |
|epoch:  19 | lr: 0.007 |train loss: 1.86941 |train loss ravg: 1.98985 |train MAE:  5.44301 |train MAE ravg:  5.73507 |val loss: 2.54514 |val loss ravg: 2.35558 |val MAE:  6.37782 |val MAE ravg:  7.17751 |
