------------------------------------------------
Job ID: 33533543
Run on host: compg016.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Wed Jan 20 23:58:08 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-20 23:58:14.102699
|epoch:   0 | lr: 0.010 |train loss: 2.55074 |train loss ravg: 2.55074 |train MAE:  6.28848 |train MAE ravg:  6.28848 |val loss: 2.41717 |val loss ravg: 2.41717 |val MAE:  7.38476 |val MAE ravg:  7.38476 |
|epoch:   1 | lr: 0.010 |train loss: 2.28388 |train loss ravg: 2.41731 |train MAE:  6.20190 |train MAE ravg:  6.24519 |val loss: 2.26750 |val loss ravg: 2.34234 |val MAE:  7.35319 |val MAE ravg:  7.36898 |
|epoch:   2 | lr: 0.010 |train loss: 2.19098 |train loss ravg: 2.34187 |train MAE:  6.08806 |train MAE ravg:  6.19281 |val loss: 2.27529 |val loss ravg: 2.31999 |val MAE:  7.39761 |val MAE ravg:  7.37852 |
|epoch:   3 | lr: 0.010 |train loss: 2.12195 |train loss ravg: 2.28689 |train MAE:  6.06681 |train MAE ravg:  6.16131 |val loss: 2.26043 |val loss ravg: 2.30510 |val MAE:  7.33561 |val MAE ravg:  7.36779 |
|epoch:   4 | lr: 0.010 |train loss: 2.11321 |train loss ravg: 2.25215 |train MAE:  6.05011 |train MAE ravg:  6.13907 |val loss: 2.24481 |val loss ravg: 2.29304 |val MAE:  7.27593 |val MAE ravg:  7.34942 |
|epoch:   5 | lr: 0.010 |train loss: 2.08546 |train loss ravg: 2.22437 |train MAE:  6.02225 |train MAE ravg:  6.11960 |val loss: 2.25617 |val loss ravg: 2.28690 |val MAE:  7.23634 |val MAE ravg:  7.33057 |
|epoch:   6 | lr: 0.010 |train loss: 2.05722 |train loss ravg: 2.20049 |train MAE:  5.97476 |train MAE ravg:  6.09891 |val loss: 2.22412 |val loss ravg: 2.27793 |val MAE:  7.38769 |val MAE ravg:  7.33873 |
|epoch:   7 | lr: 0.010 |train loss: 2.05737 |train loss ravg: 2.18260 |train MAE:  5.95738 |train MAE ravg:  6.08122 |val loss: 2.26378 |val loss ravg: 2.27616 |val MAE:  7.04374 |val MAE ravg:  7.30186 |
|epoch:   8 | lr: 0.010 |train loss: 2.03004 |train loss ravg: 2.16565 |train MAE:  5.88812 |train MAE ravg:  6.05976 |val loss: 2.25840 |val loss ravg: 2.27419 |val MAE:  7.19348 |val MAE ravg:  7.28982 |
|epoch:   9 | lr: 0.010 |train loss: 2.02956 |train loss ravg: 2.15204 |train MAE:  6.02775 |train MAE ravg:  6.05656 |val loss: 2.23273 |val loss ravg: 2.27004 |val MAE:  7.67081 |val MAE ravg:  7.32792 |
|epoch:  10 | lr: 0.010 |train loss: 2.01836 |train loss ravg: 2.13989 |train MAE:  5.91974 |train MAE ravg:  6.04412 |val loss: 2.32806 |val loss ravg: 2.27532 |val MAE:  7.78457 |val MAE ravg:  7.36943 |
|epoch:  11 | lr: 0.007 |train loss: 2.00166 |train loss ravg: 2.12837 |train MAE:  5.86769 |train MAE ravg:  6.02942 |val loss: 2.20874 |val loss ravg: 2.26977 |val MAE:  7.05663 |val MAE ravg:  7.34336 |
|epoch:  12 | lr: 0.007 |train loss: 2.00433 |train loss ravg: 2.11883 |train MAE:  5.82183 |train MAE ravg:  6.01345 |val loss: 2.20228 |val loss ravg: 2.26458 |val MAE:  6.75088 |val MAE ravg:  7.29779 |
|epoch:  13 | lr: 0.007 |train loss: 1.98157 |train loss ravg: 2.10902 |train MAE:  5.80353 |train MAE ravg:  5.99846 |val loss: 2.20093 |val loss ravg: 2.26003 |val MAE:  7.41822 |val MAE ravg:  7.30639 |
|epoch:  14 | lr: 0.007 |train loss: 1.98565 |train loss ravg: 2.10080 |train MAE:  5.86459 |train MAE ravg:  5.98953 |val loss: 2.56420 |val loss ravg: 2.28031 |val MAE:  7.50697 |val MAE ravg:  7.31976 |
|epoch:  15 | lr: 0.007 |train loss: 1.99740 |train loss ravg: 2.09434 |train MAE:  5.85517 |train MAE ravg:  5.98114 |val loss: 2.50008 |val loss ravg: 2.29404 |val MAE:  7.19327 |val MAE ravg:  7.31186 |
|epoch:  16 | lr: 0.007 |train loss: 1.95672 |train loss ravg: 2.08624 |train MAE:  5.76202 |train MAE ravg:  5.96825 |val loss: 2.23303 |val loss ravg: 2.29045 |val MAE:  6.64875 |val MAE ravg:  7.27285 |
|epoch:  17 | lr: 0.007 |train loss: 1.98314 |train loss ravg: 2.08051 |train MAE:  5.74457 |train MAE ravg:  5.95582 |val loss: 2.44417 |val loss ravg: 2.29899 |val MAE:  8.12504 |val MAE ravg:  7.32019 |
|epoch:  18 | lr: 0.007 |train loss: 1.95943 |train loss ravg: 2.07414 |train MAE:  5.66821 |train MAE ravg:  5.94068 |val loss: 2.19629 |val loss ravg: 2.29359 |val MAE:  6.80168 |val MAE ravg:  7.29290 |
