------------------------------------------------
Job ID: 35932619
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Mon Feb 8 10:16:35 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 'drop', 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'PL': 'none', 'PRO': 'full', 'WDEC': 0.01, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 100, 'PAT': 10, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-08 10:16:42.580505
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.68043 |train ent ravg: 0.68043 |train acc:  0.61364 |train acc ravg:  0.61364 |val ent: 0.68399 |val entravg: 0.68399 |val acc:  0.57955 |val acc ravg:  0.57955 |
|epoch:   1 | lr: 0.005 |train ent: 0.59598 |train ent ravg: 0.63821 |train acc:  0.71307 |train acc ravg:  0.66335 |val ent: 0.67833 |val entravg: 0.68116 |val acc:  0.54545 |val acc ravg:  0.56250 |
|epoch:   2 | lr: 0.005 |train ent: 0.57257 |train ent ravg: 0.61633 |train acc:  0.71023 |train acc ravg:  0.67898 |val ent: 0.59139 |val entravg: 0.65124 |val acc:  0.67045 |val acc ravg:  0.59848 |
|epoch:   3 | lr: 0.005 |train ent: 0.53671 |train ent ravg: 0.56842 |train acc:  0.74432 |train acc ravg:  0.72254 |val ent: 0.60656 |val entravg: 0.62543 |val acc:  0.64773 |val acc ravg:  0.62121 |
|epoch:   4 | lr: 0.005 |train ent: 0.47782 |train ent ravg: 0.52903 |train acc:  0.78409 |train acc ravg:  0.74621 |val ent: 1.74608 |val entravg: 0.98134 |val acc:  0.56818 |val acc ravg:  0.62879 |
|epoch:   5 | lr: 0.005 |train ent: 0.49949 |train ent ravg: 0.50467 |train acc:  0.75852 |train acc ravg:  0.76231 |val ent: 0.57397 |val entravg: 0.97554 |val acc:  0.76136 |val acc ravg:  0.65909 |
|epoch:   6 | lr: 0.005 |train ent: 0.48884 |train ent ravg: 0.48872 |train acc:  0.78977 |train acc ravg:  0.77746 |val ent: 0.90768 |val entravg: 1.07591 |val acc:  0.44318 |val acc ravg:  0.59091 |
|epoch:   7 | lr: 0.005 |train ent: 0.39352 |train ent ravg: 0.46062 |train acc:  0.82955 |train acc ravg:  0.79261 |val ent: 2.14996 |val entravg: 1.21054 |val acc:  0.45455 |val acc ravg:  0.55303 |
|epoch:   8 | lr: 0.005 |train ent: 0.40321 |train ent ravg: 0.42853 |train acc:  0.82955 |train acc ravg:  0.81629 |val ent: 3.05576 |val entravg: 2.03780 |val acc:  0.46591 |val acc ravg:  0.45455 |
|epoch:   9 | lr: 0.005 |train ent: 0.36537 |train ent ravg: 0.38737 |train acc:  0.85511 |train acc ravg:  0.83807 |val ent: 0.44690 |val entravg: 1.88421 |val acc:  0.78409 |val acc ravg:  0.56818 |
|epoch:  10 | lr: 0.005 |train ent: 0.37919 |train ent ravg: 0.38259 |train acc:  0.82955 |train acc ravg:  0.83807 |val ent: 0.72101 |val entravg: 1.40789 |val acc:  0.69318 |val acc ravg:  0.64773 |
|epoch:  11 | lr: 0.001 |train ent: 0.20906 |train ent ravg: 0.31787 |train acc:  0.95170 |train acc ravg:  0.87879 |val ent: 0.41819 |val entravg: 0.52870 |val acc:  0.85227 |val acc ravg:  0.77652 |
|epoch:  12 | lr: 0.001 |train ent: 0.20442 |train ent ravg: 0.26422 |train acc:  0.94602 |train acc ravg:  0.90909 |val ent: 0.49040 |val entravg: 0.54320 |val acc:  0.80682 |val acc ravg:  0.78409 |
|epoch:  13 | lr: 0.001 |train ent: 0.22049 |train ent ravg: 0.21132 |train acc:  0.93182 |train acc ravg:  0.94318 |val ent: 0.49692 |val entravg: 0.46851 |val acc:  0.79545 |val acc ravg:  0.81818 |
|epoch:  14 | lr: 0.001 |train ent: 0.17634 |train ent ravg: 0.20042 |train acc:  0.95455 |train acc ravg:  0.94413 |val ent: 0.33965 |val entravg: 0.44233 |val acc:  0.87500 |val acc ravg:  0.82576 |
|epoch:  15 | lr: 0.001 |train ent: 0.15472 |train ent ravg: 0.18385 |train acc:  0.95739 |train acc ravg:  0.94792 |val ent: 0.36962 |val entravg: 0.40206 |val acc:  0.87500 |val acc ravg:  0.84848 |
|epoch:  16 | lr: 0.001 |train ent: 0.16038 |train ent ravg: 0.16381 |train acc:  0.96023 |train acc ravg:  0.95739 |val ent: 0.37020 |val entravg: 0.35982 |val acc:  0.75000 |val acc ravg:  0.83333 |
|epoch:  17 | lr: 0.001 |train ent: 0.13728 |train ent ravg: 0.15079 |train acc:  0.96875 |train acc ravg:  0.96212 |val ent: 0.36939 |val entravg: 0.36974 |val acc:  0.87500 |val acc ravg:  0.83333 |
|epoch:  18 | lr: 0.001 |train ent: 0.12390 |train ent ravg: 0.14052 |train acc:  0.97443 |train acc ravg:  0.96780 |val ent: 0.45865 |val entravg: 0.39941 |val acc:  0.84091 |val acc ravg:  0.82197 |
|epoch:  19 | lr: 0.001 |train ent: 0.12016 |train ent ravg: 0.12711 |train acc:  0.98011 |train acc ravg:  0.97443 |val ent: 0.38610 |val entravg: 0.40471 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  20 | lr: 0.001 |train ent: 0.11116 |train ent ravg: 0.11841 |train acc:  0.98011 |train acc ravg:  0.97822 |val ent: 0.47627 |val entravg: 0.44034 |val acc:  0.80682 |val acc ravg:  0.83712 |
|epoch:  21 | lr: 0.001 |train ent: 0.10927 |train ent ravg: 0.11353 |train acc:  0.97727 |train acc ravg:  0.97917 |val ent: 0.49004 |val entravg: 0.45081 |val acc:  0.81818 |val acc ravg:  0.82955 |
|epoch:  22 | lr: 0.000 |train ent: 0.09211 |train ent ravg: 0.10418 |train acc:  0.98580 |train acc ravg:  0.98106 |val ent: 0.34155 |val entravg: 0.43595 |val acc:  0.89773 |val acc ravg:  0.84091 |
|epoch:  23 | lr: 0.000 |train ent: 0.09086 |train ent ravg: 0.09741 |train acc:  0.98580 |train acc ravg:  0.98295 |val ent: 0.44085 |val entravg: 0.42415 |val acc:  0.85227 |val acc ravg:  0.85606 |
|epoch:  24 | lr: 0.000 |train ent: 0.10322 |train ent ravg: 0.09540 |train acc:  0.97727 |train acc ravg:  0.98295 |val ent: 0.34644 |val entravg: 0.37628 |val acc:  0.89773 |val acc ravg:  0.88258 |
|epoch:  25 | lr: 0.000 |train ent: 0.08791 |train ent ravg: 0.09399 |train acc:  0.98295 |train acc ravg:  0.98201 |val ent: 0.32839 |val entravg: 0.37189 |val acc:  0.87500 |val acc ravg:  0.87500 |
|epoch:  26 | lr: 0.000 |train ent: 0.09378 |train ent ravg: 0.09497 |train acc:  0.98295 |train acc ravg:  0.98106 |val ent: 0.36132 |val entravg: 0.34538 |val acc:  0.86364 |val acc ravg:  0.87879 |
|epoch:  27 | lr: 0.000 |train ent: 0.08299 |train ent ravg: 0.08823 |train acc:  0.99716 |train acc ravg:  0.98769 |val ent: 0.33925 |val entravg: 0.34298 |val acc:  0.86364 |val acc ravg:  0.86742 |
|epoch:  28 | lr: 0.000 |train ent: 0.08340 |train ent ravg: 0.08672 |train acc:  0.99148 |train acc ravg:  0.99053 |val ent: 0.36639 |val entravg: 0.35565 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  29 | lr: 0.000 |train ent: 0.08032 |train ent ravg: 0.08223 |train acc:  0.99148 |train acc ravg:  0.99337 |val ent: 0.38017 |val entravg: 0.36194 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  30 | lr: 0.000 |train ent: 0.07879 |train ent ravg: 0.08083 |train acc:  0.98864 |train acc ravg:  0.99053 |val ent: 0.44653 |val entravg: 0.39770 |val acc:  0.85227 |val acc ravg:  0.85606 |
|epoch:  31 | lr: 0.000 |train ent: 0.08692 |train ent ravg: 0.08201 |train acc:  0.98295 |train acc ravg:  0.98769 |val ent: 0.40499 |val entravg: 0.41057 |val acc:  0.86364 |val acc ravg:  0.85606 |
|epoch:  32 | lr: 0.000 |train ent: 0.06725 |train ent ravg: 0.07766 |train acc:  0.99148 |train acc ravg:  0.98769 |val ent: 0.36781 |val entravg: 0.40644 |val acc:  0.85227 |val acc ravg:  0.85606 |
|epoch:  33 | lr: 0.000 |train ent: 0.08539 |train ent ravg: 0.07985 |train acc:  0.98580 |train acc ravg:  0.98674 |val ent: 0.36508 |val entravg: 0.37929 |val acc:  0.88636 |val acc ravg:  0.86742 |
|epoch:  34 | lr: 0.000 |train ent: 0.07452 |train ent ravg: 0.07572 |train acc:  0.99432 |train acc ravg:  0.99053 |val ent: 0.39447 |val entravg: 0.37579 |val acc:  0.86364 |val acc ravg:  0.86742 |
|epoch:  35 | lr: 0.000 |train ent: 0.07290 |train ent ravg: 0.07760 |train acc:  0.99148 |train acc ravg:  0.99053 |val ent: 0.38958 |val entravg: 0.38305 |val acc:  0.87500 |val acc ravg:  0.87500 |
|epoch:  36 | lr: 0.000 |train ent: 0.07638 |train ent ravg: 0.07460 |train acc:  0.99148 |train acc ravg:  0.99242 |val ent: 0.35246 |val entravg: 0.37884 |val acc:  0.86364 |val acc ravg:  0.86742 |
|epoch:  37 | lr: 0.000 |train ent: 0.07665 |train ent ravg: 0.07531 |train acc:  0.99716 |train acc ravg:  0.99337 |val ent: 0.42641 |val entravg: 0.38948 |val acc:  0.85227 |val acc ravg:  0.86364 |
|epoch:  38 | lr: 0.000 |train ent: 0.07718 |train ent ravg: 0.07673 |train acc:  0.99432 |train acc ravg:  0.99432 |val ent: 0.39826 |val entravg: 0.39238 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  39 | lr: 0.000 |train ent: 0.07751 |train ent ravg: 0.07711 |train acc:  0.98864 |train acc ravg:  0.99337 |val ent: 0.36217 |val entravg: 0.39561 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  40 | lr: 0.000 |train ent: 0.07552 |train ent ravg: 0.07674 |train acc:  0.98864 |train acc ravg:  0.99053 |val ent: 0.37287 |val entravg: 0.37777 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  41 | lr: 0.000 |train ent: 0.07991 |train ent ravg: 0.07765 |train acc:  0.99432 |train acc ravg:  0.99053 |val ent: 0.34645 |val entravg: 0.36050 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  42 | lr: 0.000 |train ent: 0.07857 |train ent ravg: 0.07800 |train acc:  0.99148 |train acc ravg:  0.99148 |val ent: 0.34347 |val entravg: 0.35426 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  43 | lr: 0.000 |train ent: 0.07374 |train ent ravg: 0.07741 |train acc:  0.99432 |train acc ravg:  0.99337 |val ent: 0.35624 |val entravg: 0.34872 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  44 | lr: 0.000 |train ent: 0.07330 |train ent ravg: 0.07520 |train acc:  0.99716 |train acc ravg:  0.99432 |val ent: 0.40563 |val entravg: 0.36845 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  45 | lr: 0.000 |train ent: 0.07125 |train ent ravg: 0.07276 |train acc:  1.00000 |train acc ravg:  0.99716 |val ent: 0.40302 |val entravg: 0.38830 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  46 | lr: 0.000 |train ent: 0.06647 |train ent ravg: 0.07034 |train acc:  1.00000 |train acc ravg:  0.99905 |val ent: 0.36323 |val entravg: 0.39063 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  47 | lr: 0.000 |train ent: 0.07823 |train ent ravg: 0.07198 |train acc:  0.99432 |train acc ravg:  0.99811 |val ent: 0.37731 |val entravg: 0.38119 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  48 | lr: 0.000 |train ent: 0.06723 |train ent ravg: 0.07064 |train acc:  0.99716 |train acc ravg:  0.99716 |val ent: 0.36137 |val entravg: 0.36730 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  49 | lr: 0.000 |train ent: 0.06698 |train ent ravg: 0.07081 |train acc:  0.99716 |train acc ravg:  0.99621 |val ent: 0.39916 |val entravg: 0.37928 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  50 | lr: 0.000 |train ent: 0.06768 |train ent ravg: 0.06730 |train acc:  0.99716 |train acc ravg:  0.99716 |val ent: 0.35967 |val entravg: 0.37340 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  51 | lr: 0.000 |train ent: 0.07270 |train ent ravg: 0.06912 |train acc:  0.99716 |train acc ravg:  0.99716 |val ent: 0.36350 |val entravg: 0.37411 |val acc:  0.87500 |val acc ravg:  0.86364 |
|epoch:  52 | lr: 0.000 |train ent: 0.06945 |train ent ravg: 0.06995 |train acc:  0.99432 |train acc ravg:  0.99621 |val ent: 0.37491 |val entravg: 0.36603 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  53 | lr: 0.000 |train ent: 0.07662 |train ent ravg: 0.07292 |train acc:  0.99716 |train acc ravg:  0.99621 |val ent: 0.35675 |val entravg: 0.36505 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  54 | lr: 0.000 |train ent: 0.09002 |train ent ravg: 0.07870 |train acc:  0.98864 |train acc ravg:  0.99337 |val ent: 0.34252 |val entravg: 0.35806 |val acc:  0.87500 |val acc ravg:  0.85985 |
|epoch:  55 | lr: 0.000 |train ent: 0.07406 |train ent ravg: 0.08023 |train acc:  0.99148 |train acc ravg:  0.99242 |val ent: 0.36742 |val entravg: 0.35556 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  56 | lr: 0.000 |train ent: 0.07608 |train ent ravg: 0.08005 |train acc:  0.99148 |train acc ravg:  0.99053 |val ent: 0.38683 |val entravg: 0.36559 |val acc:  0.86364 |val acc ravg:  0.86742 |
|epoch:  57 | lr: 0.000 |train ent: 0.08381 |train ent ravg: 0.07798 |train acc:  0.98580 |train acc ravg:  0.98958 |val ent: 0.40709 |val entravg: 0.38711 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  58 | lr: 0.000 |train ent: 0.07925 |train ent ravg: 0.07971 |train acc:  0.98864 |train acc ravg:  0.98864 |val ent: 0.37589 |val entravg: 0.38994 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  59 | lr: 0.000 |train ent: 0.07101 |train ent ravg: 0.07802 |train acc:  0.99432 |train acc ravg:  0.98958 |val ent: 0.42598 |val entravg: 0.40299 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  60 | lr: 0.000 |train ent: 0.07555 |train ent ravg: 0.07527 |train acc:  0.98864 |train acc ravg:  0.99053 |val ent: 0.38867 |val entravg: 0.39685 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  61 | lr: 0.000 |train ent: 0.07334 |train ent ravg: 0.07330 |train acc:  0.99716 |train acc ravg:  0.99337 |val ent: 0.37800 |val entravg: 0.39755 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  62 | lr: 0.000 |train ent: 0.07093 |train ent ravg: 0.07327 |train acc:  0.99716 |train acc ravg:  0.99432 |val ent: 0.38956 |val entravg: 0.38541 |val acc:  0.86364 |val acc ravg:  0.86364 |
|epoch:  63 | lr: 0.000 |train ent: 0.06645 |train ent ravg: 0.07024 |train acc:  0.99432 |train acc ravg:  0.99621 |val ent: 0.36369 |val entravg: 0.37709 |val acc:  0.87500 |val acc ravg:  0.86742 |
|epoch:  64 | lr: 0.000 |train ent: 0.06945 |train ent ravg: 0.06894 |train acc:  0.99716 |train acc ravg:  0.99621 |val ent: 0.42420 |val entravg: 0.39249 |val acc:  0.85227 |val acc ravg:  0.86364 |
|epoch:  65 | lr: 0.000 |train ent: 0.07029 |train ent ravg: 0.06873 |train acc:  0.99716 |train acc ravg:  0.99621 |val ent: 0.43161 |val entravg: 0.40650 |val acc:  0.85227 |val acc ravg:  0.85985 |
|epoch:  66 | lr: 0.000 |train ent: 0.07534 |train ent ravg: 0.07169 |train acc:  0.98864 |train acc ravg:  0.99432 |val ent: 0.34265 |val entravg: 0.39949 |val acc:  0.86364 |val acc ravg:  0.85606 |
|epoch:  67 | lr: 0.000 |train ent: 0.07949 |train ent ravg: 0.07504 |train acc:  0.98580 |train acc ravg:  0.99053 |val ent: 0.38983 |val entravg: 0.38803 |val acc:  0.86364 |val acc ravg:  0.85985 |
|epoch:  68 | lr: 0.000 |train ent: 0.07646 |train ent ravg: 0.07710 |train acc:  0.98864 |train acc ravg:  0.98769 |val ent: 0.36913 |val entravg: 0.36721 |val acc:  0.87500 |val acc ravg:  0.86742 |
|epoch:  69 | lr: 0.000 |train ent: 0.07293 |train ent ravg: 0.07629 |train acc:  0.99432 |train acc ravg:  0.98958 |val ent: 0.39240 |val entravg: 0.38379 |val acc:  0.86364 |val acc ravg:  0.86742 |
|epoch:  70 | lr: 0.000 |train ent: 0.08344 |train ent ravg: 0.07761 |train acc:  0.99148 |train acc ravg:  0.99148 |val ent: 0.34282 |val entravg: 0.36812 |val acc:  0.87500 |val acc ravg:  0.87121 |
|epoch:  71 | lr: 0.000 |train ent: 0.06549 |train ent ravg: 0.07395 |train acc:  0.99148 |train acc ravg:  0.99242 |val ent: 0.33700 |val entravg: 0.35741 |val acc:  0.87500 |val acc ravg:  0.87121 |
