------------------------------------------------
Job ID: 39046406
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 12 22:22:25 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-12 22:22:33.737421
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 0.86053 |train ent ravg: 0.86053 |train acc:  0.63068 |train acc ravg:  0.63068 |val ent: 2.04421 |val entravg: 2.04421 |val acc:  0.55682 |val acc ravg:  0.55682 |
|epoch:   1 | lr: 0.100 |train ent: 0.75274 |train ent ravg: 0.80663 |train acc:  0.59943 |train acc ravg:  0.61506 |val ent: 0.81933 |val entravg: 1.43177 |val acc:  0.45455 |val acc ravg:  0.50568 |
|epoch:   2 | lr: 0.100 |train ent: 0.69074 |train ent ravg: 0.76800 |train acc:  0.65057 |train acc ravg:  0.62689 |val ent: 0.89689 |val entravg: 1.25348 |val acc:  0.40909 |val acc ravg:  0.47348 |
|epoch:   3 | lr: 0.100 |train ent: 0.65849 |train ent ravg: 0.74062 |train acc:  0.63636 |train acc ravg:  0.62926 |val ent: 0.81389 |val entravg: 1.14358 |val acc:  0.42045 |val acc ravg:  0.46023 |
|epoch:   4 | lr: 0.100 |train ent: 0.62865 |train ent ravg: 0.71823 |train acc:  0.65625 |train acc ravg:  0.63466 |val ent: 0.94871 |val entravg: 1.10461 |val acc:  0.40909 |val acc ravg:  0.45000 |
|epoch:   5 | lr: 0.100 |train ent: 0.64772 |train ent ravg: 0.67567 |train acc:  0.64773 |train acc ravg:  0.63807 |val ent: 0.77004 |val entravg: 0.84977 |val acc:  0.45455 |val acc ravg:  0.42955 |
|epoch:   6 | lr: 0.100 |train ent: 0.65730 |train ent ravg: 0.65658 |train acc:  0.62216 |train acc ravg:  0.64261 |val ent: 0.77115 |val entravg: 0.84014 |val acc:  0.59091 |val acc ravg:  0.45682 |
|epoch:   7 | lr: 0.100 |train ent: 0.63673 |train ent ravg: 0.64578 |train acc:  0.65341 |train acc ravg:  0.64318 |val ent: 0.80936 |val entravg: 0.82263 |val acc:  0.44318 |val acc ravg:  0.46364 |
|epoch:   8 | lr: 0.100 |train ent: 0.61293 |train ent ravg: 0.63667 |train acc:  0.66761 |train acc ravg:  0.64943 |val ent: 2.26775 |val entravg: 1.11340 |val acc:  0.55682 |val acc ravg:  0.49091 |
|epoch:   9 | lr: 0.100 |train ent: 0.64202 |train ent ravg: 0.63934 |train acc:  0.64773 |train acc ravg:  0.64773 |val ent: 1.31592 |val entravg: 1.18685 |val acc:  0.43182 |val acc ravg:  0.49545 |
|epoch:  10 | lr: 0.100 |train ent: 0.65304 |train ent ravg: 0.64041 |train acc:  0.65909 |train acc ravg:  0.65000 |val ent: 4.53616 |val entravg: 1.94007 |val acc:  0.54545 |val acc ravg:  0.51364 |
|epoch:  11 | lr: 0.100 |train ent: 0.63418 |train ent ravg: 0.63578 |train acc:  0.65341 |train acc ravg:  0.65625 |val ent: 0.79298 |val entravg: 1.94443 |val acc:  0.47727 |val acc ravg:  0.49091 |
|epoch:  12 | lr: 0.100 |train ent: 0.68297 |train ent ravg: 0.64503 |train acc:  0.64489 |train acc ravg:  0.65455 |val ent: 1.12199 |val entravg: 2.00696 |val acc:  0.45455 |val acc ravg:  0.49318 |
|epoch:  13 | lr: 0.100 |train ent: 0.62899 |train ent ravg: 0.64824 |train acc:  0.66477 |train acc ravg:  0.65398 |val ent: 0.70818 |val entravg: 1.69505 |val acc:  0.54545 |val acc ravg:  0.49091 |
|epoch:  14 | lr: 0.100 |train ent: 0.66888 |train ent ravg: 0.65361 |train acc:  0.61932 |train acc ravg:  0.64830 |val ent: 0.81491 |val entravg: 1.59485 |val acc:  0.48864 |val acc ravg:  0.50227 |
|epoch:  15 | lr: 0.100 |train ent: 0.65778 |train ent ravg: 0.65456 |train acc:  0.61080 |train acc ravg:  0.63864 |val ent: 0.68642 |val entravg: 0.82490 |val acc:  0.55682 |val acc ravg:  0.50455 |
|epoch:  16 | lr: 0.100 |train ent: 0.62770 |train ent ravg: 0.65326 |train acc:  0.68182 |train acc ravg:  0.64432 |val ent: 1.21074 |val entravg: 0.90845 |val acc:  0.56818 |val acc ravg:  0.52273 |
|epoch:  17 | lr: 0.100 |train ent: 0.61621 |train ent ravg: 0.63991 |train acc:  0.66193 |train acc ravg:  0.64773 |val ent: 0.78229 |val entravg: 0.84051 |val acc:  0.42045 |val acc ravg:  0.51591 |
|epoch:  18 | lr: 0.100 |train ent: 0.64827 |train ent ravg: 0.64377 |train acc:  0.65625 |train acc ravg:  0.64602 |val ent: 1.00376 |val entravg: 0.89962 |val acc:  0.44318 |val acc ravg:  0.49545 |
|epoch:  19 | lr: 0.100 |train ent: 0.59732 |train ent ravg: 0.62946 |train acc:  0.69034 |train acc ravg:  0.66023 |val ent: 17.29210 |val entravg: 4.19506 |val acc:  0.54545 |val acc ravg:  0.50682 |
|epoch:  20 | lr: 0.100 |train ent: 0.62414 |train ent ravg: 0.62273 |train acc:  0.64773 |train acc ravg:  0.66761 |val ent: 1.07429 |val entravg: 4.27263 |val acc:  0.45455 |val acc ravg:  0.48636 |
|epoch:  21 | lr: 0.100 |train ent: 0.66681 |train ent ravg: 0.63055 |train acc:  0.63352 |train acc ravg:  0.65795 |val ent: 0.73601 |val entravg: 4.17769 |val acc:  0.44318 |val acc ravg:  0.46136 |
|epoch:  22 | lr: 0.100 |train ent: 0.61272 |train ent ravg: 0.62985 |train acc:  0.69602 |train acc ravg:  0.66477 |val ent: 6.71015 |val entravg: 5.36326 |val acc:  0.54545 |val acc ravg:  0.48636 |
|epoch:  23 | lr: 0.100 |train ent: 0.64722 |train ent ravg: 0.62964 |train acc:  0.65057 |train acc ravg:  0.66364 |val ent: 3.93315 |val entravg: 5.94914 |val acc:  0.55682 |val acc ravg:  0.50909 |
|epoch:  24 | lr: 0.100 |train ent: 0.58591 |train ent ravg: 0.62736 |train acc:  0.69886 |train acc ravg:  0.66534 |val ent: 34.35344 |val entravg: 9.36141 |val acc:  0.53409 |val acc ravg:  0.50682 |
|epoch:  25 | lr: 0.100 |train ent: 0.59873 |train ent ravg: 0.62227 |train acc:  0.71023 |train acc ravg:  0.67784 |val ent: 5.51734 |val entravg: 10.25002 |val acc:  0.56818 |val acc ravg:  0.52955 |
|epoch:  26 | lr: 0.100 |train ent: 0.60406 |train ent ravg: 0.60972 |train acc:  0.71591 |train acc ravg:  0.69432 |val ent: 6.76220 |val entravg: 11.45526 |val acc:  0.53409 |val acc ravg:  0.54773 |
|epoch:  27 | lr: 0.100 |train ent: 0.56543 |train ent ravg: 0.60027 |train acc:  0.76136 |train acc ravg:  0.70739 |val ent: 1.50265 |val entravg: 10.41376 |val acc:  0.56818 |val acc ravg:  0.55227 |
|epoch:  28 | lr: 0.100 |train ent: 0.54949 |train ent ravg: 0.58072 |train acc:  0.72159 |train acc ravg:  0.72159 |val ent: 1.85604 |val entravg: 9.99833 |val acc:  0.46591 |val acc ravg:  0.53409 |
|epoch:  29 | lr: 0.100 |train ent: 0.53330 |train ent ravg: 0.57020 |train acc:  0.75000 |train acc ravg:  0.73182 |val ent: 5.40947 |val entravg: 4.20954 |val acc:  0.54545 |val acc ravg:  0.53636 |
|epoch:  30 | lr: 0.050 |train ent: 0.49928 |train ent ravg: 0.55031 |train acc:  0.76705 |train acc ravg:  0.74318 |val ent: 3.84574 |val entravg: 3.87522 |val acc:  0.46591 |val acc ravg:  0.51591 |
|epoch:  31 | lr: 0.050 |train ent: 0.47663 |train ent ravg: 0.52483 |train acc:  0.76705 |train acc ravg:  0.75341 |val ent: 2.22477 |val entravg: 2.96773 |val acc:  0.44318 |val acc ravg:  0.49773 |
