------------------------------------------------
Job ID: 39046423
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Mar 12 23:34:03 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  30
Gamma decay:  0.5

Full model is being trained with random initialization.
Start:  2021-03-12 23:34:09.891123
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.050 |train ent: 0.68711 |train ent ravg: 0.68711 |train acc:  0.63068 |train acc ravg:  0.63068 |val ent: 1.20855 |val entravg: 1.20855 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:   1 | lr: 0.050 |train ent: 0.66602 |train ent ravg: 0.67656 |train acc:  0.63636 |train acc ravg:  0.63352 |val ent: 0.84070 |val entravg: 1.02463 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:   2 | lr: 0.050 |train ent: 0.64926 |train ent ravg: 0.66746 |train acc:  0.64489 |train acc ravg:  0.63731 |val ent: 0.70486 |val entravg: 0.91804 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:   3 | lr: 0.050 |train ent: 0.66204 |train ent ravg: 0.66611 |train acc:  0.64489 |train acc ravg:  0.63920 |val ent: 3.76458 |val entravg: 1.62967 |val acc:  0.43182 |val acc ravg:  0.44034 |
|epoch:   4 | lr: 0.050 |train ent: 0.64643 |train ent ravg: 0.66217 |train acc:  0.64205 |train acc ravg:  0.63977 |val ent: 0.80091 |val entravg: 1.46392 |val acc:  0.46591 |val acc ravg:  0.44545 |
|epoch:   5 | lr: 0.050 |train ent: 0.67076 |train ent ravg: 0.65890 |train acc:  0.61080 |train acc ravg:  0.63580 |val ent: 0.79448 |val entravg: 1.38111 |val acc:  0.45455 |val acc ravg:  0.44773 |
|epoch:   6 | lr: 0.050 |train ent: 0.65832 |train ent ravg: 0.65736 |train acc:  0.64489 |train acc ravg:  0.63750 |val ent: 0.69809 |val entravg: 1.35258 |val acc:  0.45455 |val acc ravg:  0.45000 |
|epoch:   7 | lr: 0.050 |train ent: 0.65902 |train ent ravg: 0.65931 |train acc:  0.64205 |train acc ravg:  0.63693 |val ent: 0.74135 |val entravg: 1.35988 |val acc:  0.45455 |val acc ravg:  0.45227 |
|epoch:   8 | lr: 0.050 |train ent: 0.66550 |train ent ravg: 0.66001 |train acc:  0.63920 |train acc ravg:  0.63580 |val ent: 0.74191 |val entravg: 0.75535 |val acc:  0.44318 |val acc ravg:  0.45455 |
|epoch:   9 | lr: 0.050 |train ent: 0.65648 |train ent ravg: 0.66202 |train acc:  0.64489 |train acc ravg:  0.63636 |val ent: 0.70591 |val entravg: 0.73635 |val acc:  0.46591 |val acc ravg:  0.45455 |
|epoch:  10 | lr: 0.050 |train ent: 0.66098 |train ent ravg: 0.66006 |train acc:  0.64205 |train acc ravg:  0.64261 |val ent: 0.71554 |val entravg: 0.72056 |val acc:  0.46591 |val acc ravg:  0.45682 |
|epoch:  11 | lr: 0.050 |train ent: 0.65671 |train ent ravg: 0.65974 |train acc:  0.64205 |train acc ravg:  0.64205 |val ent: 0.75963 |val entravg: 0.73287 |val acc:  0.45455 |val acc ravg:  0.45682 |
|epoch:  12 | lr: 0.050 |train ent: 0.65855 |train ent ravg: 0.65964 |train acc:  0.64205 |train acc ravg:  0.64205 |val ent: 0.74369 |val entravg: 0.73334 |val acc:  0.44318 |val acc ravg:  0.45455 |
|epoch:  13 | lr: 0.050 |train ent: 0.66094 |train ent ravg: 0.65873 |train acc:  0.64205 |train acc ravg:  0.64261 |val ent: 0.76292 |val entravg: 0.73754 |val acc:  0.44318 |val acc ravg:  0.45455 |
|epoch:  14 | lr: 0.050 |train ent: 0.65570 |train ent ravg: 0.65858 |train acc:  0.64205 |train acc ravg:  0.64205 |val ent: 0.81525 |val entravg: 0.75940 |val acc:  0.43182 |val acc ravg:  0.44773 |
|epoch:  15 | lr: 0.050 |train ent: 0.65997 |train ent ravg: 0.65838 |train acc:  0.64489 |train acc ravg:  0.64261 |val ent: 0.77458 |val entravg: 0.77121 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:  16 | lr: 0.050 |train ent: 0.65733 |train ent ravg: 0.65850 |train acc:  0.64489 |train acc ravg:  0.64318 |val ent: 0.81483 |val entravg: 0.78225 |val acc:  0.46591 |val acc ravg:  0.44545 |
|epoch:  17 | lr: 0.050 |train ent: 0.65901 |train ent ravg: 0.65859 |train acc:  0.64773 |train acc ravg:  0.64432 |val ent: 0.73675 |val entravg: 0.78086 |val acc:  0.46591 |val acc ravg:  0.45000 |
|epoch:  18 | lr: 0.050 |train ent: 0.65335 |train ent ravg: 0.65707 |train acc:  0.64205 |train acc ravg:  0.64432 |val ent: 0.72150 |val entravg: 0.77258 |val acc:  0.44318 |val acc ravg:  0.45000 |
|epoch:  19 | lr: 0.050 |train ent: 0.65995 |train ent ravg: 0.65792 |train acc:  0.63920 |train acc ravg:  0.64375 |val ent: 0.78780 |val entravg: 0.76709 |val acc:  0.45455 |val acc ravg:  0.45455 |
|epoch:  20 | lr: 0.050 |train ent: 0.65401 |train ent ravg: 0.65673 |train acc:  0.64205 |train acc ravg:  0.64318 |val ent: 0.73853 |val entravg: 0.75988 |val acc:  0.45455 |val acc ravg:  0.45682 |
|epoch:  21 | lr: 0.050 |train ent: 0.65967 |train ent ravg: 0.65720 |train acc:  0.63920 |train acc ravg:  0.64205 |val ent: 0.78443 |val entravg: 0.75380 |val acc:  0.45455 |val acc ravg:  0.45455 |
|epoch:  22 | lr: 0.050 |train ent: 0.65427 |train ent ravg: 0.65625 |train acc:  0.64489 |train acc ravg:  0.64148 |val ent: 0.74475 |val entravg: 0.75540 |val acc:  0.44318 |val acc ravg:  0.45000 |
|epoch:  23 | lr: 0.050 |train ent: 0.65544 |train ent ravg: 0.65667 |train acc:  0.64205 |train acc ravg:  0.64148 |val ent: 0.74205 |val entravg: 0.75951 |val acc:  0.46591 |val acc ravg:  0.45455 |
|epoch:  24 | lr: 0.050 |train ent: 0.65857 |train ent ravg: 0.65639 |train acc:  0.64489 |train acc ravg:  0.64261 |val ent: 0.77281 |val entravg: 0.75651 |val acc:  0.44318 |val acc ravg:  0.45227 |
|epoch:  25 | lr: 0.050 |train ent: 0.66063 |train ent ravg: 0.65772 |train acc:  0.64205 |train acc ravg:  0.64261 |val ent: 0.74108 |val entravg: 0.75702 |val acc:  0.44318 |val acc ravg:  0.45000 |
|epoch:  26 | lr: 0.050 |train ent: 0.65401 |train ent ravg: 0.65658 |train acc:  0.64205 |train acc ravg:  0.64318 |val ent: 0.72580 |val entravg: 0.74530 |val acc:  0.45455 |val acc ravg:  0.45000 |
|epoch:  27 | lr: 0.050 |train ent: 0.65837 |train ent ravg: 0.65740 |train acc:  0.64205 |train acc ravg:  0.64261 |val ent: 0.71286 |val entravg: 0.73892 |val acc:  0.45455 |val acc ravg:  0.45227 |
|epoch:  28 | lr: 0.050 |train ent: 0.65967 |train ent ravg: 0.65825 |train acc:  0.64489 |train acc ravg:  0.64318 |val ent: 0.71564 |val entravg: 0.73364 |val acc:  0.45455 |val acc ravg:  0.45000 |
|epoch:  29 | lr: 0.050 |train ent: 0.65686 |train ent ravg: 0.65791 |train acc:  0.64773 |train acc ravg:  0.64375 |val ent: 0.79904 |val entravg: 0.73888 |val acc:  0.44318 |val acc ravg:  0.45000 |
|epoch:  30 | lr: 0.025 |train ent: 0.65313 |train ent ravg: 0.65641 |train acc:  0.63920 |train acc ravg:  0.64318 |val ent: 0.73370 |val entravg: 0.73741 |val acc:  0.44318 |val acc ravg:  0.45000 |
|epoch:  31 | lr: 0.025 |train ent: 0.65554 |train ent ravg: 0.65671 |train acc:  0.64205 |train acc ravg:  0.64318 |val ent: 0.75615 |val entravg: 0.74348 |val acc:  0.44318 |val acc ravg:  0.44773 |
|epoch:  32 | lr: 0.025 |train ent: 0.65228 |train ent ravg: 0.65549 |train acc:  0.64489 |train acc ravg:  0.64375 |val ent: 0.72054 |val entravg: 0.74502 |val acc:  0.46591 |val acc ravg:  0.45000 |
|epoch:  33 | lr: 0.025 |train ent: 0.65777 |train ent ravg: 0.65512 |train acc:  0.63920 |train acc ravg:  0.64261 |val ent: 0.77791 |val entravg: 0.75747 |val acc:  0.46591 |val acc ravg:  0.45227 |
|epoch:  34 | lr: 0.025 |train ent: 0.65389 |train ent ravg: 0.65452 |train acc:  0.63920 |train acc ravg:  0.64091 |val ent: 0.72472 |val entravg: 0.74260 |val acc:  0.46591 |val acc ravg:  0.45682 |
|epoch:  35 | lr: 0.025 |train ent: 0.65615 |train ent ravg: 0.65513 |train acc:  0.64489 |train acc ravg:  0.64205 |val ent: 0.75944 |val entravg: 0.74775 |val acc:  0.45455 |val acc ravg:  0.45909 |
