------------------------------------------------
Job ID: 39046787
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Mar 13 00:32:39 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading share 1.00   val data.
Number of GPUs:  2
Epoch decay:  100
Gamma decay:  0.3

Full model is being trained with random initialization.
Start:  2021-03-13 00:32:46.624265
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 0.77646 |train ent ravg: 0.77646 |train acc:  0.62784 |train acc ravg:  0.62784 |val ent: 1.28279 |val entravg: 1.28279 |val acc:  0.54545 |val acc ravg:  0.54545 |
|epoch:   1 | lr: 0.100 |train ent: 0.65186 |train ent ravg: 0.71416 |train acc:  0.68182 |train acc ravg:  0.65483 |val ent: 0.84198 |val entravg: 1.06238 |val acc:  0.45455 |val acc ravg:  0.50000 |
|epoch:   2 | lr: 0.100 |train ent: 0.66739 |train ent ravg: 0.69857 |train acc:  0.62216 |train acc ravg:  0.64394 |val ent: 1.16534 |val entravg: 1.09670 |val acc:  0.44318 |val acc ravg:  0.48106 |
|epoch:   3 | lr: 0.100 |train ent: 0.63900 |train ent ravg: 0.68368 |train acc:  0.64773 |train acc ravg:  0.64489 |val ent: 1.63690 |val entravg: 1.23175 |val acc:  0.45455 |val acc ravg:  0.47443 |
|epoch:   4 | lr: 0.100 |train ent: 0.65296 |train ent ravg: 0.67753 |train acc:  0.65625 |train acc ravg:  0.64716 |val ent: 2.43178 |val entravg: 1.47176 |val acc:  0.45455 |val acc ravg:  0.47045 |
|epoch:   5 | lr: 0.100 |train ent: 0.71154 |train ent ravg: 0.66455 |train acc:  0.58239 |train acc ravg:  0.63807 |val ent: 0.68608 |val entravg: 1.35242 |val acc:  0.55682 |val acc ravg:  0.47273 |
|epoch:   6 | lr: 0.100 |train ent: 0.64695 |train ent ravg: 0.66357 |train acc:  0.62216 |train acc ravg:  0.62614 |val ent: 1.02647 |val entravg: 1.38931 |val acc:  0.44318 |val acc ravg:  0.47045 |
|epoch:   7 | lr: 0.100 |train ent: 0.63789 |train ent ravg: 0.65767 |train acc:  0.65341 |train acc ravg:  0.63239 |val ent: 1.05730 |val entravg: 1.36770 |val acc:  0.45455 |val acc ravg:  0.47273 |
|epoch:   8 | lr: 0.100 |train ent: 0.64972 |train ent ravg: 0.65981 |train acc:  0.64205 |train acc ravg:  0.63125 |val ent: 0.72124 |val entravg: 1.18457 |val acc:  0.46591 |val acc ravg:  0.47500 |
|epoch:   9 | lr: 0.100 |train ent: 0.68588 |train ent ravg: 0.66640 |train acc:  0.61648 |train acc ravg:  0.62330 |val ent: 0.70893 |val entravg: 0.84000 |val acc:  0.53409 |val acc ravg:  0.49091 |
|epoch:  10 | lr: 0.100 |train ent: 0.66196 |train ent ravg: 0.65648 |train acc:  0.60511 |train acc ravg:  0.62784 |val ent: 0.71025 |val entravg: 0.84484 |val acc:  0.45455 |val acc ravg:  0.47045 |
|epoch:  11 | lr: 0.100 |train ent: 0.64675 |train ent ravg: 0.65644 |train acc:  0.63920 |train acc ravg:  0.63125 |val ent: 0.84357 |val entravg: 0.80826 |val acc:  0.45455 |val acc ravg:  0.47273 |
|epoch:  12 | lr: 0.100 |train ent: 0.65670 |train ent ravg: 0.66020 |train acc:  0.63352 |train acc ravg:  0.62727 |val ent: 0.69172 |val entravg: 0.73514 |val acc:  0.54545 |val acc ravg:  0.49091 |
|epoch:  13 | lr: 0.100 |train ent: 0.65119 |train ent ravg: 0.66050 |train acc:  0.63068 |train acc ravg:  0.62500 |val ent: 1.35530 |val entravg: 0.86195 |val acc:  0.55682 |val acc ravg:  0.50909 |
|epoch:  14 | lr: 0.100 |train ent: 0.66911 |train ent ravg: 0.65714 |train acc:  0.63636 |train acc ravg:  0.62898 |val ent: 0.77154 |val entravg: 0.87448 |val acc:  0.44318 |val acc ravg:  0.49091 |
|epoch:  15 | lr: 0.100 |train ent: 0.64930 |train ent ravg: 0.65461 |train acc:  0.64489 |train acc ravg:  0.63693 |val ent: 0.77794 |val entravg: 0.88801 |val acc:  0.44318 |val acc ravg:  0.48864 |
