,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.1,0.846,0.57895,0.91995,0.5
1,1.0,0.1,0.78175,0.57346,0.84157,0.48958
2,2.0,0.1,0.74362,0.59576,1.01477,0.49306
3,3.0,0.1,0.72128,0.60088,0.99121,0.5
4,4.0,0.1,0.6965,0.61754,1.02173,0.49792
5,5.0,0.1,0.65729,0.63465,1.01305,0.49792
6,6.0,0.1,0.64497,0.65351,2.23982,0.5
7,7.0,0.1,0.63203,0.66491,4.92172,0.49583
8,8.0,0.1,0.62479,0.67368,4.8985,0.49583
9,9.0,0.1,0.62916,0.66754,4.85978,0.49792
10,10.0,0.1,0.61151,0.68114,4.81077,0.52292
11,11.0,0.1,0.59882,0.6886,3.55302,0.56667
12,12.0,0.1,0.59399,0.6886,1.36479,0.57292
13,13.0,0.1,0.58562,0.69868,1.56714,0.56667
14,14.0,0.1,0.57169,0.71096,1.53626,0.57708
15,15.0,0.1,0.57436,0.70833,1.66062,0.55417
16,16.0,0.1,0.56828,0.71447,1.76562,0.5125
17,17.0,0.1,0.57016,0.72368,2.64118,0.50625
18,18.0,0.1,0.559,0.73465,2.4316,0.53125
19,19.0,0.1,0.55828,0.74211,2.39396,0.54375
20,20.0,0.1,0.56347,0.7364,2.8286,0.53958
21,21.0,0.1,0.57138,0.73728,2.71828,0.57917
22,22.0,0.1,0.5626,0.73509,1.2637,0.59583
23,23.0,0.1,0.57637,0.72193,3.67128,0.575
24,24.0,0.1,0.58058,0.72018,4.09412,0.55417
25,25.0,0.1,0.57795,0.72061,4.77262,0.55833
26,26.0,0.1,0.57704,0.71447,4.8393,0.54792
27,27.0,0.1,0.58863,0.70789,4.82421,0.53542
28,28.0,0.1,0.59764,0.70044,2.40328,0.54583
29,29.0,0.1,0.61094,0.68158,2.17301,0.54167
30,30.0,0.05,0.605,0.68772,0.95074,0.54583
31,31.0,0.05,0.58544,0.69605,0.87441,0.56458
32,32.0,0.05,0.57195,0.70833,0.8206,0.60625
33,33.0,0.05,0.55089,0.72544,1.00697,0.58958
34,34.0,0.05,0.5321,0.74035,0.82495,0.59792
35,35.0,0.05,0.52238,0.74474,0.78742,0.6375
36,36.0,0.05,0.52529,0.74868,1.08901,0.5875
37,37.0,0.05,0.51967,0.75219,1.11427,0.56458
38,38.0,0.05,0.51777,0.74956,2.91753,0.56875
39,39.0,0.05,0.50783,0.75921,3.09922,0.55833
40,40.0,0.05,0.50524,0.76404,3.4244,0.51458
41,41.0,0.05,0.5123,0.7557,3.14632,0.52708
42,42.0,0.05,0.50728,0.75746,3.19012,0.5125
43,43.0,0.05,0.49473,0.77193,1.20053,0.5375
44,44.0,0.05,0.48643,0.77325,1.00687,0.57917
45,45.0,0.05,0.48825,0.77281,0.78188,0.57708
46,46.0,0.05,0.48876,0.77588,0.93325,0.56875
47,47.0,0.05,0.48868,0.77368,1.43283,0.56458
48,48.0,0.05,0.49184,0.76623,3.31082,0.5375
49,49.0,0.05,0.50641,0.75614,3.42708,0.51458
50,50.0,0.05,0.5067,0.75482,3.53485,0.51042
51,51.0,0.05,0.49076,0.76228,4.45526,0.5125
52,52.0,0.05,0.48558,0.76404,4.54094,0.51042
53,53.0,0.05,0.48079,0.77018,6.7178,0.50833
54,54.0,0.05,0.4639,0.78684,9.0955,0.49167
55,55.0,0.05,0.45978,0.79211,9.21753,0.49792
56,56.0,0.05,0.45813,0.79342,8.12424,0.54167
57,57.0,0.05,0.45635,0.79649,7.50547,0.54375
58,58.0,0.05,0.45039,0.79561,3.63621,0.55208
59,59.0,0.05,0.45255,0.79167,1.58634,0.55417
60,60.0,0.025,0.44846,0.78991,1.4781,0.55208
61,61.0,0.025,0.43842,0.79737,2.09268,0.50833
62,62.0,0.025,0.41645,0.8057,2.04549,0.56042
63,63.0,0.025,0.40653,0.81447,2.21181,0.55417
64,64.0,0.025,0.3977,0.82412,1.93413,0.55417
65,65.0,0.025,0.37448,0.84167,1.70465,0.61458
66,66.0,0.025,0.35012,0.85526,1.16103,0.62083
67,67.0,0.025,0.36158,0.85088,1.75614,0.56875
68,68.0,0.025,0.37297,0.84605,1.68448,0.57292
69,69.0,0.025,0.36942,0.84254,2.1845,0.575
70,70.0,0.025,0.35348,0.84693,2.75404,0.51667
71,71.0,0.025,0.3648,0.83947,2.87251,0.51458
72,72.0,0.025,0.34925,0.85132,7.57059,0.51458
73,73.0,0.025,0.34773,0.85,7.47227,0.51458
74,74.0,0.025,0.33585,0.85746,7.72232,0.5125
75,75.0,0.025,0.35861,0.84518,7.38705,0.51458
76,76.0,0.025,0.36124,0.84211,7.63317,0.50625
77,77.0,0.025,0.36621,0.84123,2.54047,0.50625
78,78.0,0.025,0.34631,0.85395,4.26227,0.50625
79,79.0,0.025,0.34402,0.85351,3.76447,0.51042
80,80.0,0.025,0.33558,0.85702,5.09333,0.50833
81,81.0,0.025,0.34726,0.8557,4.75945,0.52292
82,82.0,0.025,0.34418,0.85219,4.70487,0.525
83,83.0,0.025,0.34695,0.85088,2.74988,0.57292
84,84.0,0.025,0.35583,0.84781,3.89648,0.57083
85,85.0,0.025,0.36031,0.84737,2.33814,0.62292
86,86.0,0.025,0.33374,0.85833,2.65749,0.60833
87,87.0,0.025,0.32346,0.86798,3.15492,0.60625
88,88.0,0.025,0.32103,0.86798,3.8758,0.55417
89,89.0,0.025,0.29601,0.88289,3.09149,0.55208
90,90.0,0.013,0.27508,0.89561,3.28484,0.50625
91,91.0,0.013,0.26562,0.90175,2.9262,0.53542
92,92.0,0.013,0.25639,0.90526,3.08932,0.53542
93,93.0,0.013,0.24753,0.91272,3.42485,0.54167
94,94.0,0.013,0.2513,0.9136,2.92638,0.54583
95,95.0,0.013,0.2406,0.91974,2.71012,0.59583
96,96.0,0.013,0.23583,0.92061,2.69432,0.59167
97,97.0,0.013,0.2378,0.91667,1.83655,0.66667
98,98.0,0.013,0.21524,0.92456,2.41847,0.66042
99,99.0,0.013,0.19772,0.93114,3.88489,0.65417
100,100.0,0.013,0.20235,0.925,4.20833,0.6
101,101.0,0.013,0.19711,0.92982,4.18916,0.61458
102,102.0,0.013,0.18966,0.93465,4.26656,0.58333
103,103.0,0.013,0.2166,0.9193,3.0053,0.59167
104,104.0,0.013,0.23484,0.90658,1.6656,0.59792
105,105.0,0.013,0.22158,0.9114,1.34825,0.67083
106,106.0,0.013,0.22304,0.91096,1.49744,0.63542
107,107.0,0.013,0.22313,0.9114,1.43261,0.67083
108,108.0,0.013,0.207,0.92193,1.54367,0.66667
109,109.0,0.013,0.22038,0.91754,2.22872,0.66458
110,110.0,0.013,0.21782,0.92149,2.6022,0.59583
111,111.0,0.013,0.20572,0.925,2.68536,0.59375
112,112.0,0.013,0.20976,0.92018,3.82731,0.51042
113,113.0,0.013,0.2153,0.91711,3.35868,0.56042
114,114.0,0.013,0.1806,0.93596,2.20119,0.63542
115,115.0,0.013,0.18837,0.93158,1.8175,0.68958
116,116.0,0.013,0.19703,0.92763,1.57595,0.72292
117,117.0,0.013,0.18779,0.93333,1.01335,0.72917
118,118.0,0.013,0.17433,0.93991,1.09439,0.70417
119,119.0,0.013,0.1838,0.93246,1.35317,0.63125
120,120.0,0.006,0.16942,0.93947,1.61555,0.57083
121,121.0,0.006,0.15326,0.94605,1.55252,0.61042
122,122.0,0.006,0.14653,0.95,0.97166,0.69375
123,123.0,0.006,0.13587,0.95395,0.85399,0.74375
124,124.0,0.006,0.11007,0.96491,0.60945,0.8
125,125.0,0.006,0.1001,0.96798,0.33168,0.86667
126,126.0,0.006,0.09879,0.96842,0.78232,0.79375
127,127.0,0.006,0.09199,0.97193,0.79482,0.76667
128,128.0,0.006,0.08171,0.97675,1.06729,0.69375
129,129.0,0.006,0.08035,0.97851,1.29852,0.64167
130,130.0,0.006,0.08318,0.97763,2.21481,0.575
131,131.0,0.006,0.07713,0.97982,2.58002,0.57708
132,132.0,0.006,0.07512,0.98158,3.02122,0.52083
133,133.0,0.006,0.08162,0.97895,2.75343,0.58125
134,134.0,0.006,0.08062,0.97807,2.56889,0.61458
135,135.0,0.006,0.07952,0.97763,1.65197,0.69167
136,136.0,0.006,0.10157,0.96974,0.89778,0.7125
137,137.0,0.006,0.10075,0.96842,0.62456,0.73542
138,138.0,0.006,0.09254,0.97149,0.62768,0.73125
139,139.0,0.006,0.09543,0.97061,0.61184,0.75
140,140.0,0.006,0.08615,0.97588,0.62025,0.74167
141,141.0,0.006,0.06863,0.98202,0.62909,0.75208
142,142.0,0.006,0.05777,0.98596,0.49119,0.78125
143,143.0,0.006,0.057,0.98596,0.73667,0.725
144,144.0,0.006,0.05573,0.98728,0.79378,0.69167
145,145.0,0.006,0.06324,0.98377,0.79902,0.69167
146,146.0,0.006,0.05384,0.98728,1.12587,0.66042
147,147.0,0.006,0.06261,0.98421,1.09598,0.67292
148,148.0,0.006,0.06324,0.98596,0.94143,0.7
149,149.0,0.006,0.05692,0.98772,0.84475,0.75
150,150.0,0.003,0.04904,0.99123,0.83817,0.75208
151,151.0,0.003,0.04794,0.99167,0.4523,0.81458
152,152.0,0.003,0.03755,0.99518,0.44927,0.81875
