,epoch,lr,train ent ravg,train acc ravg,val entravg,val acc ravg
0,0.0,0.005,0.67534,0.71491,3.50826,0.48958
1,1.0,0.005,0.61595,0.72697,2.37918,0.50521
2,2.0,0.005,0.57303,0.74342,2.51068,0.50347
3,3.0,0.005,0.53086,0.76316,2.54546,0.50521
4,4.0,0.005,0.51696,0.76711,2.73435,0.50417
5,5.0,0.005,0.46185,0.78728,2.74275,0.50417
6,6.0,0.005,0.4278,0.80702,2.5812,0.55625
7,7.0,0.005,0.40433,0.82061,2.19291,0.55625
8,8.0,0.005,0.40747,0.81754,2.5815,0.55417
9,9.0,0.005,0.40599,0.81974,2.62388,0.55417
10,10.0,0.002,0.40787,0.81711,2.03353,0.58542
11,11.0,0.002,0.3915,0.82763,2.09811,0.55
12,12.0,0.002,0.37657,0.83333,1.97493,0.63958
13,13.0,0.002,0.33557,0.85746,1.24759,0.64792
14,14.0,0.002,0.27716,0.8864,0.54804,0.72917
15,15.0,0.002,0.24101,0.9057,0.61708,0.71042
16,16.0,0.002,0.23114,0.90614,0.52115,0.76667
17,17.0,0.002,0.21154,0.91623,0.55262,0.74167
18,18.0,0.002,0.19796,0.92193,0.39936,0.82083
19,19.0,0.002,0.19438,0.92763,0.41591,0.81667
20,20.0,0.0,0.1709,0.94079,0.29499,0.86667
21,21.0,0.0,0.13542,0.95877,0.26795,0.88125
22,22.0,0.0,0.11204,0.97105,0.22143,0.90833
23,23.0,0.0,0.09949,0.975,0.21681,0.91042
24,24.0,0.0,0.09035,0.97588,0.19028,0.925
25,25.0,0.0,0.08593,0.97939,0.15465,0.95625
26,26.0,0.0,0.08065,0.98202,0.18472,0.93958
27,27.0,0.0,0.07891,0.98289,0.20363,0.92917
28,28.0,0.0,0.07455,0.98553,0.1946,0.93542
29,29.0,0.0,0.06703,0.98947,0.19113,0.93542
30,30.0,0.0,0.06078,0.99035,0.19423,0.93125
31,31.0,0.0,0.05953,0.99035,0.16014,0.95
32,32.0,0.0,0.05324,0.99254,0.14224,0.95625
33,33.0,0.0,0.05295,0.99298,0.1446,0.95417
34,34.0,0.0,0.04899,0.9943,0.14969,0.95208
35,35.0,0.0,0.04962,0.9943,0.14245,0.95417
36,36.0,0.0,0.04974,0.99386,0.14416,0.95208
37,37.0,0.0,0.0512,0.99386,0.14205,0.95833
38,38.0,0.0,0.04783,0.99474,0.14347,0.95417
39,39.0,0.0,0.04779,0.99518,0.13753,0.95625
40,40.0,0.0,0.04506,0.99781,0.13708,0.95833
41,41.0,0.0,0.04496,0.99781,0.13493,0.95833
42,42.0,0.0,0.04519,0.99649,0.13434,0.95833
43,43.0,0.0,0.04639,0.99561,0.13125,0.9625
44,44.0,0.0,0.04815,0.99474,0.13124,0.9625
45,45.0,0.0,0.04945,0.99386,0.13197,0.9625
46,46.0,0.0,0.05076,0.99386,0.13659,0.9625
47,47.0,0.0,0.05103,0.99342,0.13586,0.9625
48,48.0,0.0,0.04999,0.9943,0.13651,0.96042
49,49.0,0.0,0.04895,0.99474,0.13803,0.96042
50,50.0,0.0,0.05149,0.99342,0.136,0.9625
51,51.0,0.0,0.05113,0.9943,0.12998,0.96667
52,52.0,0.0,0.05082,0.99561,0.13223,0.96458
53,53.0,0.0,0.04914,0.99649,0.13788,0.9625
54,54.0,0.0,0.05079,0.99605,0.13715,0.96458
55,55.0,0.0,0.0465,0.99737,0.13427,0.96667
56,56.0,0.0,0.04457,0.99737,0.13617,0.96458
57,57.0,0.0,0.04504,0.99649,0.13372,0.96667
58,58.0,0.0,0.048,0.99561,0.12839,0.97083
59,59.0,0.0,0.04634,0.99605,0.1314,0.96875
