------------------------------------------------
Job ID: 33533749
Run on host: compg011.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:02:57 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:03:06.224402
|epoch:   0 | lr: 0.010 |train loss: 5.98825 |train loss ravg: 5.98825 |train MAE:  5.98825 |train MAE ravg:  5.98825 |val loss: 8.04542 |val loss ravg: 8.04542 |val MAE:  8.04542 |val MAE ravg:  8.04542 |
|epoch:   1 | lr: 0.010 |train loss: 5.87350 |train loss ravg: 5.93088 |train MAE:  5.87350 |train MAE ravg:  5.93088 |val loss: 7.36532 |val loss ravg: 7.70537 |val MAE:  7.36532 |val MAE ravg:  7.70537 |
|epoch:   2 | lr: 0.010 |train loss: 6.11011 |train loss ravg: 5.99062 |train MAE:  6.11011 |train MAE ravg:  5.99062 |val loss: 7.93021 |val loss ravg: 7.78032 |val MAE:  7.93021 |val MAE ravg:  7.78032 |
|epoch:   3 | lr: 0.010 |train loss: 5.98543 |train loss ravg: 5.98932 |train MAE:  5.98543 |train MAE ravg:  5.98932 |val loss: 7.24066 |val loss ravg: 7.64540 |val MAE:  7.24066 |val MAE ravg:  7.64540 |
|epoch:   4 | lr: 0.010 |train loss: 5.82814 |train loss ravg: 5.95709 |train MAE:  5.82815 |train MAE ravg:  5.95709 |val loss: 6.86676 |val loss ravg: 7.48967 |val MAE:  6.86676 |val MAE ravg:  7.48967 |
|epoch:   5 | lr: 0.010 |train loss: 5.80881 |train loss ravg: 5.93237 |train MAE:  5.80882 |train MAE ravg:  5.93238 |val loss: 6.17645 |val loss ravg: 7.27080 |val MAE:  6.17645 |val MAE ravg:  7.27080 |
|epoch:   6 | lr: 0.010 |train loss: 5.84047 |train loss ravg: 5.91925 |train MAE:  5.84047 |train MAE ravg:  5.91925 |val loss: 5.98062 |val loss ravg: 7.08649 |val MAE:  5.98062 |val MAE ravg:  7.08649 |
|epoch:   7 | lr: 0.010 |train loss: 5.57547 |train loss ravg: 5.87627 |train MAE:  5.57547 |train MAE ravg:  5.87628 |val loss: 7.29480 |val loss ravg: 7.11253 |val MAE:  7.29480 |val MAE ravg:  7.11253 |
|epoch:   8 | lr: 0.010 |train loss: 5.65740 |train loss ravg: 5.85195 |train MAE:  5.65740 |train MAE ravg:  5.85196 |val loss: 7.29401 |val loss ravg: 7.13270 |val MAE:  7.29401 |val MAE ravg:  7.13269 |
|epoch:   9 | lr: 0.010 |train loss: 5.82897 |train loss ravg: 5.84966 |train MAE:  5.82897 |train MAE ravg:  5.84966 |val loss: 5.79385 |val loss ravg: 6.99881 |val MAE:  5.79385 |val MAE ravg:  6.99881 |
|epoch:  10 | lr: 0.010 |train loss: 5.49124 |train loss ravg: 5.81707 |train MAE:  5.49124 |train MAE ravg:  5.81707 |val loss: 5.96418 |val loss ravg: 6.90475 |val MAE:  5.96418 |val MAE ravg:  6.90475 |
