------------------------------------------------
Job ID: 36165362
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Feb 12 05:54:05 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.9, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.01, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 100, 'PAT': 10, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'RETRAIN': 0, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-12 05:54:11.887168
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.74934 |train ent ravg: 0.74934 |train acc:  0.57955 |train acc ravg:  0.57955 |val ent: 0.70036 |val entravg: 0.70036 |val acc:  0.44318 |val acc ravg:  0.44318 |
|epoch:   1 | lr: 0.005 |train ent: 0.69258 |train ent ravg: 0.72096 |train acc:  0.63636 |train acc ravg:  0.60795 |val ent: 0.75248 |val entravg: 0.72642 |val acc:  0.43182 |val acc ravg:  0.43750 |
|epoch:   2 | lr: 0.005 |train ent: 0.62984 |train ent ravg: 0.69059 |train acc:  0.64489 |train acc ravg:  0.62027 |val ent: 0.74700 |val entravg: 0.73328 |val acc:  0.50000 |val acc ravg:  0.45833 |
|epoch:   3 | lr: 0.005 |train ent: 0.64314 |train ent ravg: 0.65518 |train acc:  0.63920 |train acc ravg:  0.64015 |val ent: 0.67961 |val entravg: 0.72636 |val acc:  0.55682 |val acc ravg:  0.49621 |
|epoch:   4 | lr: 0.005 |train ent: 0.62883 |train ent ravg: 0.63393 |train acc:  0.66761 |train acc ravg:  0.65057 |val ent: 0.70519 |val entravg: 0.71060 |val acc:  0.51136 |val acc ravg:  0.52273 |
|epoch:   5 | lr: 0.005 |train ent: 0.60984 |train ent ravg: 0.62727 |train acc:  0.66761 |train acc ravg:  0.65814 |val ent: 0.71693 |val entravg: 0.70057 |val acc:  0.45455 |val acc ravg:  0.50758 |
|epoch:   6 | lr: 0.005 |train ent: 0.60638 |train ent ravg: 0.61501 |train acc:  0.67614 |train acc ravg:  0.67045 |val ent: 0.77817 |val entravg: 0.73343 |val acc:  0.45455 |val acc ravg:  0.47348 |
|epoch:   7 | lr: 0.005 |train ent: 0.59477 |train ent ravg: 0.60366 |train acc:  0.71875 |train acc ravg:  0.68750 |val ent: 0.73441 |val entravg: 0.74317 |val acc:  0.45455 |val acc ravg:  0.45455 |
|epoch:   8 | lr: 0.005 |train ent: 0.61116 |train ent ravg: 0.60411 |train acc:  0.66761 |train acc ravg:  0.68750 |val ent: 0.92672 |val entravg: 0.81310 |val acc:  0.43182 |val acc ravg:  0.44697 |
|epoch:   9 | lr: 0.005 |train ent: 0.57134 |train ent ravg: 0.59243 |train acc:  0.71875 |train acc ravg:  0.70170 |val ent: 0.82613 |val entravg: 0.82908 |val acc:  0.53409 |val acc ravg:  0.47348 |
|epoch:  10 | lr: 0.005 |train ent: 0.60932 |train ent ravg: 0.59727 |train acc:  0.69602 |train acc ravg:  0.69413 |val ent: 0.55351 |val entravg: 0.76879 |val acc:  0.78409 |val acc ravg:  0.58333 |
|epoch:  11 | lr: 0.001 |train ent: 0.51833 |train ent ravg: 0.56633 |train acc:  0.74716 |train acc ravg:  0.72064 |val ent: 0.57746 |val entravg: 0.65237 |val acc:  0.67045 |val acc ravg:  0.66288 |
|epoch:  12 | lr: 0.001 |train ent: 0.49247 |train ent ravg: 0.54004 |train acc:  0.77557 |train acc ravg:  0.73958 |val ent: 0.52710 |val entravg: 0.55269 |val acc:  0.69318 |val acc ravg:  0.71591 |
|epoch:  13 | lr: 0.001 |train ent: 0.52575 |train ent ravg: 0.51218 |train acc:  0.73864 |train acc ravg:  0.75379 |val ent: 0.49650 |val entravg: 0.53369 |val acc:  0.73864 |val acc ravg:  0.70076 |
|epoch:  14 | lr: 0.001 |train ent: 0.51855 |train ent ravg: 0.51226 |train acc:  0.76989 |train acc ravg:  0.76136 |val ent: 0.63257 |val entravg: 0.55205 |val acc:  0.59091 |val acc ravg:  0.67424 |
|epoch:  15 | lr: 0.001 |train ent: 0.50091 |train ent ravg: 0.51507 |train acc:  0.78977 |train acc ravg:  0.76610 |val ent: 0.61728 |val entravg: 0.58212 |val acc:  0.68182 |val acc ravg:  0.67045 |
|epoch:  16 | lr: 0.001 |train ent: 0.51511 |train ent ravg: 0.51153 |train acc:  0.75852 |train acc ravg:  0.77273 |val ent: 0.54164 |val entravg: 0.59716 |val acc:  0.69318 |val acc ravg:  0.65530 |
|epoch:  17 | lr: 0.001 |train ent: 0.48517 |train ent ravg: 0.50040 |train acc:  0.78409 |train acc ravg:  0.77746 |val ent: 0.85608 |val entravg: 0.67167 |val acc:  0.45455 |val acc ravg:  0.60985 |
|epoch:  18 | lr: 0.001 |train ent: 0.46223 |train ent ravg: 0.48751 |train acc:  0.76705 |train acc ravg:  0.76989 |val ent: 0.48731 |val entravg: 0.62834 |val acc:  0.75000 |val acc ravg:  0.63258 |
|epoch:  19 | lr: 0.001 |train ent: 0.47256 |train ent ravg: 0.47332 |train acc:  0.80682 |train acc ravg:  0.78598 |val ent: 0.52471 |val entravg: 0.62270 |val acc:  0.70455 |val acc ravg:  0.63636 |
|epoch:  20 | lr: 0.001 |train ent: 0.44893 |train ent ravg: 0.46124 |train acc:  0.78409 |train acc ravg:  0.78598 |val ent: 0.50022 |val entravg: 0.50408 |val acc:  0.77273 |val acc ravg:  0.74242 |
|epoch:  21 | lr: 0.001 |train ent: 0.44592 |train ent ravg: 0.45581 |train acc:  0.83807 |train acc ravg:  0.80966 |val ent: 0.57064 |val entravg: 0.53185 |val acc:  0.65909 |val acc ravg:  0.71212 |
|epoch:  22 | lr: 0.000 |train ent: 0.43201 |train ent ravg: 0.44229 |train acc:  0.82955 |train acc ravg:  0.81723 |val ent: 0.58293 |val entravg: 0.55126 |val acc:  0.63636 |val acc ravg:  0.68939 |
|epoch:  23 | lr: 0.000 |train ent: 0.43048 |train ent ravg: 0.43614 |train acc:  0.80682 |train acc ravg:  0.82481 |val ent: 0.51114 |val entravg: 0.55490 |val acc:  0.73864 |val acc ravg:  0.67803 |
|epoch:  24 | lr: 0.000 |train ent: 0.41576 |train ent ravg: 0.42608 |train acc:  0.82386 |train acc ravg:  0.82008 |val ent: 0.50730 |val entravg: 0.53379 |val acc:  0.73864 |val acc ravg:  0.70455 |
|epoch:  25 | lr: 0.000 |train ent: 0.40763 |train ent ravg: 0.41795 |train acc:  0.82955 |train acc ravg:  0.82008 |val ent: 0.53671 |val entravg: 0.51838 |val acc:  0.70455 |val acc ravg:  0.72727 |
|epoch:  26 | lr: 0.000 |train ent: 0.41471 |train ent ravg: 0.41270 |train acc:  0.82386 |train acc ravg:  0.82576 |val ent: 0.51658 |val entravg: 0.52020 |val acc:  0.75000 |val acc ravg:  0.73106 |
|epoch:  27 | lr: 0.000 |train ent: 0.39187 |train ent ravg: 0.40474 |train acc:  0.86648 |train acc ravg:  0.83996 |val ent: 0.49352 |val entravg: 0.51560 |val acc:  0.76136 |val acc ravg:  0.73864 |
|epoch:  28 | lr: 0.000 |train ent: 0.41767 |train ent ravg: 0.40809 |train acc:  0.83239 |train acc ravg:  0.84091 |val ent: 0.49352 |val entravg: 0.50121 |val acc:  0.72727 |val acc ravg:  0.74621 |
