------------------------------------------------
Job ID: 36165379
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Fri Feb 12 08:38:53 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.6, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.01, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 100, 'PAT': 10, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'RETRAIN': 0, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-12 08:39:01.145506
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.66606 |train ent ravg: 0.66606 |train acc:  0.60511 |train acc ravg:  0.60511 |val ent: 0.82032 |val entravg: 0.82032 |val acc:  0.46591 |val acc ravg:  0.46591 |
|epoch:   1 | lr: 0.005 |train ent: 0.58393 |train ent ravg: 0.62500 |train acc:  0.70739 |train acc ravg:  0.65625 |val ent: 0.81521 |val entravg: 0.81777 |val acc:  0.45455 |val acc ravg:  0.46023 |
|epoch:   2 | lr: 0.005 |train ent: 0.55119 |train ent ravg: 0.60040 |train acc:  0.71307 |train acc ravg:  0.67519 |val ent: 1.92608 |val entravg: 1.18720 |val acc:  0.46591 |val acc ravg:  0.46212 |
|epoch:   3 | lr: 0.005 |train ent: 0.57736 |train ent ravg: 0.57083 |train acc:  0.71307 |train acc ravg:  0.71117 |val ent: 0.66374 |val entravg: 1.13501 |val acc:  0.64773 |val acc ravg:  0.52273 |
|epoch:   4 | lr: 0.005 |train ent: 0.49982 |train ent ravg: 0.54279 |train acc:  0.75000 |train acc ravg:  0.72538 |val ent: 0.53658 |val entravg: 1.04213 |val acc:  0.73864 |val acc ravg:  0.61742 |
|epoch:   5 | lr: 0.005 |train ent: 0.55304 |train ent ravg: 0.54340 |train acc:  0.70455 |train acc ravg:  0.72254 |val ent: 1.54061 |val entravg: 0.91364 |val acc:  0.44318 |val acc ravg:  0.60985 |
|epoch:   6 | lr: 0.005 |train ent: 0.50054 |train ent ravg: 0.51780 |train acc:  0.74716 |train acc ravg:  0.73390 |val ent: 0.46364 |val entravg: 0.84694 |val acc:  0.73864 |val acc ravg:  0.64015 |
|epoch:   7 | lr: 0.005 |train ent: 0.51262 |train ent ravg: 0.52207 |train acc:  0.78125 |train acc ravg:  0.74432 |val ent: 0.99700 |val entravg: 1.00042 |val acc:  0.60227 |val acc ravg:  0.59470 |
|epoch:   8 | lr: 0.005 |train ent: 0.52980 |train ent ravg: 0.51432 |train acc:  0.75568 |train acc ravg:  0.76136 |val ent: 2.41033 |val entravg: 1.29032 |val acc:  0.45455 |val acc ravg:  0.59848 |
|epoch:   9 | lr: 0.005 |train ent: 0.47090 |train ent ravg: 0.50444 |train acc:  0.77841 |train acc ravg:  0.77178 |val ent: 3.40040 |val entravg: 2.26924 |val acc:  0.44318 |val acc ravg:  0.50000 |
|epoch:  10 | lr: 0.005 |train ent: 0.46813 |train ent ravg: 0.48961 |train acc:  0.80682 |train acc ravg:  0.78030 |val ent: 0.57930 |val entravg: 2.13001 |val acc:  0.73864 |val acc ravg:  0.54545 |
