------------------------------------------------
Job ID: 36558219
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Feb 14 18:24:17 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.5, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.05, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 150, 'PAT': 15, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.001, 'MOM_LL': 0.9, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 25, 'PAT_LL': 12, 'LR_LL': 0.01, 'RETRAIN': 2, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-14 18:24:25.148112
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.65380 |train ent ravg: 0.65380 |train acc:  0.64489 |train acc ravg:  0.64489 |val ent: 0.73050 |val entravg: 0.73050 |val acc:  0.42045 |val acc ravg:  0.42045 |
|epoch:   1 | lr: 0.005 |train ent: 0.58653 |train ent ravg: 0.62017 |train acc:  0.69034 |train acc ravg:  0.66761 |val ent: 0.90208 |val entravg: 0.81629 |val acc:  0.44318 |val acc ravg:  0.43182 |
|epoch:   2 | lr: 0.005 |train ent: 0.57721 |train ent ravg: 0.60585 |train acc:  0.71307 |train acc ravg:  0.68277 |val ent: 0.69423 |val entravg: 0.77560 |val acc:  0.62500 |val acc ravg:  0.49621 |
|epoch:   3 | lr: 0.005 |train ent: 0.55306 |train ent ravg: 0.57227 |train acc:  0.71307 |train acc ravg:  0.70549 |val ent: 0.58421 |val entravg: 0.72684 |val acc:  0.68182 |val acc ravg:  0.58333 |
|epoch:   4 | lr: 0.005 |train ent: 0.53584 |train ent ravg: 0.55537 |train acc:  0.72443 |train acc ravg:  0.71686 |val ent: 0.79705 |val entravg: 0.69183 |val acc:  0.55682 |val acc ravg:  0.62121 |
|epoch:   5 | lr: 0.005 |train ent: 0.55054 |train ent ravg: 0.54648 |train acc:  0.73011 |train acc ravg:  0.72254 |val ent: 0.60009 |val entravg: 0.66045 |val acc:  0.69318 |val acc ravg:  0.64394 |
|epoch:   6 | lr: 0.005 |train ent: 0.54101 |train ent ravg: 0.54246 |train acc:  0.72443 |train acc ravg:  0.72633 |val ent: 1.72823 |val entravg: 1.04179 |val acc:  0.45455 |val acc ravg:  0.56818 |
|epoch:   7 | lr: 0.005 |train ent: 0.53362 |train ent ravg: 0.54172 |train acc:  0.76420 |train acc ravg:  0.73958 |val ent: 0.55610 |val entravg: 0.96147 |val acc:  0.69318 |val acc ravg:  0.61364 |
|epoch:   8 | lr: 0.005 |train ent: 0.52538 |train ent ravg: 0.53334 |train acc:  0.75284 |train acc ravg:  0.74716 |val ent: 1.98021 |val entravg: 1.42151 |val acc:  0.46591 |val acc ravg:  0.53788 |
|epoch:   9 | lr: 0.005 |train ent: 0.53911 |train ent ravg: 0.53270 |train acc:  0.74716 |train acc ravg:  0.75473 |val ent: 0.53277 |val entravg: 1.02303 |val acc:  0.71591 |val acc ravg:  0.62500 |
|epoch:  10 | lr: 0.005 |train ent: 0.53103 |train ent ravg: 0.53184 |train acc:  0.75568 |train acc ravg:  0.75189 |val ent: 0.60958 |val entravg: 1.04085 |val acc:  0.73864 |val acc ravg:  0.64015 |
|epoch:  11 | lr: 0.005 |train ent: 0.54399 |train ent ravg: 0.53804 |train acc:  0.74148 |train acc ravg:  0.74811 |val ent: 0.56860 |val entravg: 0.57032 |val acc:  0.70455 |val acc ravg:  0.71970 |
|epoch:  12 | lr: 0.005 |train ent: 0.52251 |train ent ravg: 0.53251 |train acc:  0.77557 |train acc ravg:  0.75758 |val ent: 0.91487 |val entravg: 0.69768 |val acc:  0.45455 |val acc ravg:  0.63258 |
