------------------------------------------------
Job ID: 36558234
Run on host: compg026.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sun Feb 14 20:21:00 GMT 2021
------------------------------------------------
Number of GPUs:  2
----------------------------------------------------------------------------------------------------------------------
Passed arguments: 
{'DEBUG': 'full', 'TRAIN': 'pre_full', 'BATCH_SIZE': 4, 'NUM_WORKERS': 4, 'LOSS': 'ent', 'DROP': 0.6, 'PRE': 'age', 'TASK': 'sex', 'RUN': 0, 'PATH': '../../', 'INIT': 0, 'PL': 'none', 'PRO': 'full', 'WDEC': 0.01, 'MOM': 0.8, 'GAMMA': 0.2, 'N_EPOCHS': 200, 'PAT': 20, 'LR': 0.005, 'PL_LL': 'none', 'WDEC_LL': 0.0, 'MOM_LL': 0.0, 'GAMMA_LL': 0.1, 'N_EPOCHS_LL': 3, 'PAT_LL': 1, 'LR_LL': 0.01, 'RETRAIN': 3, 'PRINT_EVERY': 1}

----------------------------------------------------------------------------------------------------------------------
Pre-trained on:  age  prediction.
Run:  run_20191206_00_epoch_best_mae.p
Loading loaded OASIS train data.
Loading loaded OASIS   val data.

Start training of full model:  2021-02-14 20:21:07.203496
----------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.005 |train ent: 0.66129 |train ent ravg: 0.66129 |train acc:  0.57955 |train acc ravg:  0.57955 |val ent: 0.67728 |val entravg: 0.67728 |val acc:  0.64773 |val acc ravg:  0.64773 |
|epoch:   1 | lr: 0.005 |train ent: 0.60571 |train ent ravg: 0.63350 |train acc:  0.67045 |train acc ravg:  0.62500 |val ent: 0.64311 |val entravg: 0.66019 |val acc:  0.70455 |val acc ravg:  0.67614 |
|epoch:   2 | lr: 0.005 |train ent: 0.58551 |train ent ravg: 0.61750 |train acc:  0.71591 |train acc ravg:  0.65530 |val ent: 1.00626 |val entravg: 0.77555 |val acc:  0.47727 |val acc ravg:  0.60985 |
|epoch:   3 | lr: 0.005 |train ent: 0.59842 |train ent ravg: 0.59654 |train acc:  0.67045 |train acc ravg:  0.68561 |val ent: 0.62412 |val entravg: 0.75783 |val acc:  0.64773 |val acc ravg:  0.60985 |
|epoch:   4 | lr: 0.005 |train ent: 0.54086 |train ent ravg: 0.57493 |train acc:  0.74716 |train acc ravg:  0.71117 |val ent: 2.44293 |val entravg: 1.35777 |val acc:  0.45455 |val acc ravg:  0.52652 |
|epoch:   5 | lr: 0.005 |train ent: 0.53320 |train ent ravg: 0.55749 |train acc:  0.75568 |train acc ravg:  0.72443 |val ent: 0.86372 |val entravg: 1.31025 |val acc:  0.44318 |val acc ravg:  0.51515 |
|epoch:   6 | lr: 0.005 |train ent: 0.50764 |train ent ravg: 0.52723 |train acc:  0.78693 |train acc ravg:  0.76326 |val ent: 0.53735 |val entravg: 1.28133 |val acc:  0.72727 |val acc ravg:  0.54167 |
|epoch:   7 | lr: 0.005 |train ent: 0.49987 |train ent ravg: 0.51357 |train acc:  0.76705 |train acc ravg:  0.76989 |val ent: 1.09459 |val entravg: 0.83188 |val acc:  0.45455 |val acc ravg:  0.54167 |
|epoch:   8 | lr: 0.005 |train ent: 0.44678 |train ent ravg: 0.48476 |train acc:  0.78693 |train acc ravg:  0.78030 |val ent: 1.71444 |val entravg: 1.11546 |val acc:  0.44318 |val acc ravg:  0.54167 |
|epoch:   9 | lr: 0.005 |train ent: 0.43263 |train ent ravg: 0.45976 |train acc:  0.79830 |train acc ravg:  0.78409 |val ent: 1.07157 |val entravg: 1.29353 |val acc:  0.56818 |val acc ravg:  0.48864 |
|epoch:  10 | lr: 0.005 |train ent: 0.42899 |train ent ravg: 0.43613 |train acc:  0.80398 |train acc ravg:  0.79640 |val ent: 0.53199 |val entravg: 1.10600 |val acc:  0.79545 |val acc ravg:  0.60227 |
