------------------------------------------------
Job ID: 37538030
Run on host: compg010.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Tue Feb 23 05:53:39 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading OASIS   val data.
Load model for age - run: 0
Number of GPUs:  2

Final layer of model is being trained.
Start:  2021-02-23 05:53:46.278168
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.100 |train ent: 0.86886 |train ent ravg: 0.86886 |train acc:  0.53125 |train acc ravg:  0.53125 |val ent: 0.70452 |val entravg: 0.70452 |val acc:  0.51136 |val acc ravg:  0.51136 |
|epoch:   1 | lr: 0.100 |train ent: 0.63939 |train ent ravg: 0.75413 |train acc:  0.65909 |train acc ravg:  0.59517 |val ent: 0.70424 |val entravg: 0.70438 |val acc:  0.52273 |val acc ravg:  0.51705 |
|epoch:   2 | lr: 0.100 |train ent: 0.68204 |train ent ravg: 0.73010 |train acc:  0.63352 |train acc ravg:  0.60795 |val ent: 0.99935 |val entravg: 0.80270 |val acc:  0.44318 |val acc ravg:  0.49242 |
|epoch:   3 | lr: 0.100 |train ent: 0.58577 |train ent ravg: 0.69402 |train acc:  0.71875 |train acc ravg:  0.63565 |val ent: 0.87782 |val entravg: 0.82148 |val acc:  0.54545 |val acc ravg:  0.50568 |
|epoch:   4 | lr: 0.100 |train ent: 0.62659 |train ent ravg: 0.68053 |train acc:  0.68182 |train acc ravg:  0.64489 |val ent: 0.57347 |val entravg: 0.77188 |val acc:  0.67045 |val acc ravg:  0.53864 |
|epoch:   5 | lr: 0.100 |train ent: 0.63417 |train ent ravg: 0.63359 |train acc:  0.63920 |train acc ravg:  0.66648 |val ent: 0.59809 |val entravg: 0.75059 |val acc:  0.73864 |val acc ravg:  0.58409 |
|epoch:   6 | lr: 0.100 |train ent: 0.52522 |train ent ravg: 0.61076 |train acc:  0.75000 |train acc ravg:  0.68466 |val ent: 1.93347 |val entravg: 0.99644 |val acc:  0.46591 |val acc ravg:  0.57273 |
|epoch:   7 | lr: 0.100 |train ent: 0.51243 |train ent ravg: 0.57684 |train acc:  0.74148 |train acc ravg:  0.70625 |val ent: 0.58403 |val entravg: 0.91338 |val acc:  0.67045 |val acc ravg:  0.61818 |
|epoch:   8 | lr: 0.100 |train ent: 0.53034 |train ent ravg: 0.56575 |train acc:  0.73295 |train acc ravg:  0.70909 |val ent: 1.11854 |val entravg: 0.96152 |val acc:  0.53409 |val acc ravg:  0.61591 |
|epoch:   9 | lr: 0.100 |train ent: 0.49268 |train ent ravg: 0.53897 |train acc:  0.78977 |train acc ravg:  0.73068 |val ent: 0.79173 |val entravg: 1.00517 |val acc:  0.62500 |val acc ravg:  0.60682 |
|epoch:  10 | lr: 0.100 |train ent: 0.49004 |train ent ravg: 0.51015 |train acc:  0.79545 |train acc ravg:  0.76193 |val ent: 0.65136 |val entravg: 1.01583 |val acc:  0.64773 |val acc ravg:  0.58864 |
|epoch:  11 | lr: 0.100 |train ent: 0.46475 |train ent ravg: 0.49805 |train acc:  0.80398 |train acc ravg:  0.77273 |val ent: 0.60139 |val entravg: 0.74941 |val acc:  0.69318 |val acc ravg:  0.63409 |
