------------------------------------------------
Job ID: 37536176
Run on host: compg013.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Sat Feb 20 17:53:08 GMT 2021
------------------------------------------------
Loading share 1.00 train data.
Loading OASIS   val data.
Number of GPUs:  2

Full model is being trained with random initialization.
Start:  2021-02-20 17:53:13.543506
----------------------------------------------------------------------------------------------------------------------------------------------------------------
|epoch:   0 | lr: 0.010 |train ent: 0.56938 |train ent ravg: 0.56938 |train acc:  0.69034 |train acc ravg:  0.69034 |val ent: 4.58897 |val entravg: 4.58897 |val acc:  0.54545 |val acc ravg:  0.54545 |
|epoch:   1 | lr: 0.010 |train ent: 0.51388 |train ent ravg: 0.54163 |train acc:  0.74432 |train acc ravg:  0.71733 |val ent: 5.20044 |val entravg: 4.89471 |val acc:  0.54545 |val acc ravg:  0.54545 |
|epoch:   2 | lr: 0.010 |train ent: 0.51058 |train ent ravg: 0.53128 |train acc:  0.77557 |train acc ravg:  0.73674 |val ent: 3.14893 |val entravg: 4.31278 |val acc:  0.44318 |val acc ravg:  0.51136 |
|epoch:   3 | lr: 0.010 |train ent: 0.51158 |train ent ravg: 0.52635 |train acc:  0.76705 |train acc ravg:  0.74432 |val ent: 2.32121 |val entravg: 3.81489 |val acc:  0.46591 |val acc ravg:  0.50000 |
|epoch:   4 | lr: 0.010 |train ent: 0.53301 |train ent ravg: 0.52768 |train acc:  0.72727 |train acc ravg:  0.74091 |val ent: 5.28090 |val entravg: 4.10809 |val acc:  0.43182 |val acc ravg:  0.48636 |
|epoch:   5 | lr: 0.010 |train ent: 0.48952 |train ent ravg: 0.51171 |train acc:  0.77841 |train acc ravg:  0.75852 |val ent: 2.36245 |val entravg: 3.66279 |val acc:  0.44318 |val acc ravg:  0.46591 |
|epoch:   6 | lr: 0.010 |train ent: 0.46663 |train ent ravg: 0.50226 |train acc:  0.78693 |train acc ravg:  0.76705 |val ent: 3.86917 |val entravg: 3.39653 |val acc:  0.45455 |val acc ravg:  0.44773 |
|epoch:   7 | lr: 0.010 |train ent: 0.53183 |train ent ravg: 0.50651 |train acc:  0.73011 |train acc ravg:  0.75795 |val ent: 0.91114 |val entravg: 2.94897 |val acc:  0.44318 |val acc ravg:  0.44773 |
|epoch:   8 | lr: 0.010 |train ent: 0.53088 |train ent ravg: 0.51038 |train acc:  0.75852 |train acc ravg:  0.75625 |val ent: 1.83009 |val entravg: 2.85075 |val acc:  0.56818 |val acc ravg:  0.46818 |
|epoch:   9 | lr: 0.010 |train ent: 0.53877 |train ent ravg: 0.51153 |train acc:  0.73864 |train acc ravg:  0.75852 |val ent: 2.60652 |val entravg: 2.31588 |val acc:  0.46591 |val acc ravg:  0.47500 |
|epoch:  10 | lr: 0.010 |train ent: 0.48659 |train ent ravg: 0.51094 |train acc:  0.76705 |train acc ravg:  0.75625 |val ent: 2.34346 |val entravg: 2.31208 |val acc:  0.44318 |val acc ravg:  0.47500 |
|epoch:  11 | lr: 0.010 |train ent: 0.43235 |train ent ravg: 0.50408 |train acc:  0.79830 |train acc ravg:  0.75852 |val ent: 4.72561 |val entravg: 2.48337 |val acc:  0.44318 |val acc ravg:  0.47273 |
|epoch:  12 | lr: 0.010 |train ent: 0.51179 |train ent ravg: 0.50008 |train acc:  0.76705 |train acc ravg:  0.76591 |val ent: 1.70700 |val entravg: 2.64254 |val acc:  0.44318 |val acc ravg:  0.47273 |
|epoch:  13 | lr: 0.010 |train ent: 0.54086 |train ent ravg: 0.50207 |train acc:  0.74432 |train acc ravg:  0.76307 |val ent: 1.90481 |val entravg: 2.65748 |val acc:  0.46591 |val acc ravg:  0.45227 |
|epoch:  14 | lr: 0.010 |train ent: 0.43739 |train ent ravg: 0.48179 |train acc:  0.81818 |train acc ravg:  0.77898 |val ent: 0.93798 |val entravg: 2.32377 |val acc:  0.54545 |val acc ravg:  0.46818 |
|epoch:  15 | lr: 0.010 |train ent: 0.48653 |train ent ravg: 0.48178 |train acc:  0.75852 |train acc ravg:  0.77727 |val ent: 1.46565 |val entravg: 2.14821 |val acc:  0.56818 |val acc ravg:  0.49318 |
|epoch:  16 | lr: 0.010 |train ent: 0.45870 |train ent ravg: 0.48705 |train acc:  0.80114 |train acc ravg:  0.77784 |val ent: 2.41089 |val entravg: 1.68527 |val acc:  0.53409 |val acc ravg:  0.51136 |
|epoch:  17 | lr: 0.010 |train ent: 0.35727 |train ent ravg: 0.45615 |train acc:  0.84943 |train acc ravg:  0.79432 |val ent: 4.68012 |val entravg: 2.27989 |val acc:  0.56818 |val acc ravg:  0.53636 |
|epoch:  18 | lr: 0.010 |train ent: 0.44384 |train ent ravg: 0.43675 |train acc:  0.78409 |train acc ravg:  0.80227 |val ent: 2.96908 |val entravg: 2.49274 |val acc:  0.54545 |val acc ravg:  0.55227 |
|epoch:  19 | lr: 0.010 |train ent: 0.47375 |train ent ravg: 0.44402 |train acc:  0.78693 |train acc ravg:  0.79602 |val ent: 1.50490 |val entravg: 2.60613 |val acc:  0.55682 |val acc ravg:  0.55455 |
|epoch:  20 | lr: 0.010 |train ent: 0.41616 |train ent ravg: 0.42995 |train acc:  0.81818 |train acc ravg:  0.80795 |val ent: 5.95058 |val entravg: 3.50311 |val acc:  0.44318 |val acc ravg:  0.52955 |
|epoch:  21 | lr: 0.010 |train ent: 0.44412 |train ent ravg: 0.42703 |train acc:  0.80682 |train acc ravg:  0.80909 |val ent: 2.20619 |val entravg: 3.46217 |val acc:  0.44318 |val acc ravg:  0.51136 |
|epoch:  22 | lr: 0.010 |train ent: 0.42663 |train ent ravg: 0.44090 |train acc:  0.80114 |train acc ravg:  0.79943 |val ent: 5.61258 |val entravg: 3.64867 |val acc:  0.53409 |val acc ravg:  0.50455 |
|epoch:  23 | lr: 0.010 |train ent: 0.41221 |train ent ravg: 0.43458 |train acc:  0.81534 |train acc ravg:  0.80568 |val ent: 0.88590 |val entravg: 3.23203 |val acc:  0.65909 |val acc ravg:  0.52727 |
|epoch:  24 | lr: 0.010 |train ent: 0.41601 |train ent ravg: 0.42303 |train acc:  0.81250 |train acc ravg:  0.81080 |val ent: 0.60965 |val entravg: 3.05298 |val acc:  0.71591 |val acc ravg:  0.55909 |
|epoch:  25 | lr: 0.010 |train ent: 0.45414 |train ent ravg: 0.43062 |train acc:  0.80966 |train acc ravg:  0.80909 |val ent: 7.12884 |val entravg: 3.28863 |val acc:  0.45455 |val acc ravg:  0.56136 |
|epoch:  26 | lr: 0.010 |train ent: 0.51103 |train ent ravg: 0.44400 |train acc:  0.74716 |train acc ravg:  0.79716 |val ent: 2.25486 |val entravg: 3.29837 |val acc:  0.44318 |val acc ravg:  0.56136 |
