------------------------------------------------
Job ID: 33533977
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:25:22 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:25:29.423960
|epoch:   0 | lr: 0.010 |train loss: 2.51054 |train loss ravg: 2.51054 |train MAE:  6.12495 |train MAE ravg:  6.12495 |val loss: 2.39841 |val loss ravg: 2.39841 |val MAE:  7.39807 |val MAE ravg:  7.39807 |
|epoch:   1 | lr: 0.010 |train loss: 2.26838 |train loss ravg: 2.38946 |train MAE:  6.09185 |train MAE ravg:  6.10840 |val loss: 2.29353 |val loss ravg: 2.34597 |val MAE:  7.28515 |val MAE ravg:  7.34161 |
|epoch:   2 | lr: 0.010 |train loss: 2.15922 |train loss ravg: 2.31271 |train MAE:  6.00780 |train MAE ravg:  6.07487 |val loss: 2.27222 |val loss ravg: 2.32139 |val MAE:  7.36736 |val MAE ravg:  7.35019 |
|epoch:   3 | lr: 0.010 |train loss: 2.12165 |train loss ravg: 2.26495 |train MAE:  6.03210 |train MAE ravg:  6.06417 |val loss: 2.28981 |val loss ravg: 2.31349 |val MAE:  7.26805 |val MAE ravg:  7.32966 |
|epoch:   4 | lr: 0.010 |train loss: 2.09846 |train loss ravg: 2.23165 |train MAE:  5.95784 |train MAE ravg:  6.04291 |val loss: 2.22501 |val loss ravg: 2.29580 |val MAE:  7.28015 |val MAE ravg:  7.31975 |
|epoch:   5 | lr: 0.010 |train loss: 2.07542 |train loss ravg: 2.20561 |train MAE:  5.96033 |train MAE ravg:  6.02915 |val loss: 2.20676 |val loss ravg: 2.28096 |val MAE:  7.07147 |val MAE ravg:  7.27837 |
|epoch:   6 | lr: 0.010 |train loss: 2.06714 |train loss ravg: 2.18583 |train MAE:  6.02794 |train MAE ravg:  6.02897 |val loss: 2.29487 |val loss ravg: 2.28295 |val MAE:  7.13626 |val MAE ravg:  7.25807 |
|epoch:   7 | lr: 0.010 |train loss: 2.04504 |train loss ravg: 2.16823 |train MAE:  5.95007 |train MAE ravg:  6.01911 |val loss: 2.25950 |val loss ravg: 2.28001 |val MAE:  7.07756 |val MAE ravg:  7.23551 |
|epoch:   8 | lr: 0.010 |train loss: 2.02990 |train loss ravg: 2.15286 |train MAE:  5.92810 |train MAE ravg:  6.00900 |val loss: 2.26579 |val loss ravg: 2.27843 |val MAE:  7.17395 |val MAE ravg:  7.22867 |
|epoch:   9 | lr: 0.010 |train loss: 2.03102 |train loss ravg: 2.14068 |train MAE:  5.95596 |train MAE ravg:  6.00369 |val loss: 2.19790 |val loss ravg: 2.27038 |val MAE:  7.12145 |val MAE ravg:  7.21795 |
|epoch:  10 | lr: 0.010 |train loss: 2.02553 |train loss ravg: 2.13021 |train MAE:  5.90166 |train MAE ravg:  5.99442 |val loss: 2.48979 |val loss ravg: 2.29033 |val MAE:  7.26710 |val MAE ravg:  7.22241 |
