------------------------------------------------
Job ID: 33534000
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:26:26 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:26:32.514488
|epoch:   0 | lr: 0.010 |train loss: 2.46728 |train loss ravg: 2.46728 |train MAE:  6.25451 |train MAE ravg:  6.25451 |val loss: 2.34199 |val loss ravg: 2.34199 |val MAE:  7.29254 |val MAE ravg:  7.29254 |
|epoch:   1 | lr: 0.010 |train loss: 2.25372 |train loss ravg: 2.36050 |train MAE:  6.13205 |train MAE ravg:  6.19328 |val loss: 2.26603 |val loss ravg: 2.30401 |val MAE:  7.25800 |val MAE ravg:  7.27527 |
|epoch:   2 | lr: 0.010 |train loss: 2.16175 |train loss ravg: 2.29425 |train MAE:  6.09209 |train MAE ravg:  6.15955 |val loss: 2.25621 |val loss ravg: 2.28808 |val MAE:  7.27445 |val MAE ravg:  7.27500 |
|epoch:   3 | lr: 0.010 |train loss: 2.13532 |train loss ravg: 2.25452 |train MAE:  6.06887 |train MAE ravg:  6.13688 |val loss: 2.26218 |val loss ravg: 2.28160 |val MAE:  7.23683 |val MAE ravg:  7.26546 |
|epoch:   4 | lr: 0.010 |train loss: 2.09944 |train loss ravg: 2.22350 |train MAE:  6.03069 |train MAE ravg:  6.11564 |val loss: 2.21196 |val loss ravg: 2.26767 |val MAE:  7.09506 |val MAE ravg:  7.23138 |
|epoch:   5 | lr: 0.010 |train loss: 2.08226 |train loss ravg: 2.19996 |train MAE:  5.96800 |train MAE ravg:  6.09104 |val loss: 2.22597 |val loss ravg: 2.26072 |val MAE:  7.20811 |val MAE ravg:  7.22750 |
|epoch:   6 | lr: 0.010 |train loss: 2.06074 |train loss ravg: 2.18007 |train MAE:  5.99726 |train MAE ravg:  6.07764 |val loss: 2.24338 |val loss ravg: 2.25825 |val MAE:  7.10413 |val MAE ravg:  7.20987 |
|epoch:   7 | lr: 0.010 |train loss: 2.04777 |train loss ravg: 2.16354 |train MAE:  5.95546 |train MAE ravg:  6.06237 |val loss: 2.23546 |val loss ravg: 2.25540 |val MAE:  7.18702 |val MAE ravg:  7.20702 |
|epoch:   8 | lr: 0.010 |train loss: 2.02911 |train loss ravg: 2.14860 |train MAE:  5.86186 |train MAE ravg:  6.04009 |val loss: 2.22271 |val loss ravg: 2.25177 |val MAE:  7.40171 |val MAE ravg:  7.22865 |
|epoch:   9 | lr: 0.010 |train loss: 2.02434 |train loss ravg: 2.13617 |train MAE:  5.88580 |train MAE ravg:  6.02466 |val loss: 2.25398 |val loss ravg: 2.25199 |val MAE:  7.62871 |val MAE ravg:  7.26866 |
|epoch:  10 | lr: 0.010 |train loss: 2.01702 |train loss ravg: 2.12534 |train MAE:  5.89817 |train MAE ravg:  6.01316 |val loss: 2.34999 |val loss ravg: 2.26090 |val MAE:  7.19508 |val MAE ravg:  7.26197 |
|epoch:  11 | lr: 0.007 |train loss: 2.02423 |train loss ravg: 2.11692 |train MAE:  5.94475 |train MAE ravg:  6.00746 |val loss: 2.22627 |val loss ravg: 2.25801 |val MAE:  6.86385 |val MAE ravg:  7.22879 |
|epoch:  12 | lr: 0.007 |train loss: 1.98900 |train loss ravg: 2.10708 |train MAE:  5.85048 |train MAE ravg:  5.99538 |val loss: 2.22940 |val loss ravg: 2.25581 |val MAE:  7.59652 |val MAE ravg:  7.25708 |
|epoch:  13 | lr: 0.007 |train loss: 1.97699 |train loss ravg: 2.09778 |train MAE:  5.81003 |train MAE ravg:  5.98214 |val loss: 2.22374 |val loss ravg: 2.25352 |val MAE:  7.36464 |val MAE ravg:  7.26476 |
|epoch:  14 | lr: 0.007 |train loss: 1.97707 |train loss ravg: 2.08974 |train MAE:  5.70628 |train MAE ravg:  5.96375 |val loss: 2.20644 |val loss ravg: 2.25038 |val MAE:  7.31959 |val MAE ravg:  7.26842 |
|epoch:  15 | lr: 0.007 |train loss: 1.99785 |train loss ravg: 2.08399 |train MAE:  5.83351 |train MAE ravg:  5.95561 |val loss: 2.19959 |val loss ravg: 2.24721 |val MAE:  6.46470 |val MAE ravg:  7.21818 |
|epoch:  16 | lr: 0.007 |train loss: 1.96913 |train loss ravg: 2.07724 |train MAE:  5.77477 |train MAE ravg:  5.94497 |val loss: 2.29288 |val loss ravg: 2.24989 |val MAE:  6.80400 |val MAE ravg:  7.19382 |
|epoch:  17 | lr: 0.007 |train loss: 1.96890 |train loss ravg: 2.07122 |train MAE:  5.77710 |train MAE ravg:  5.93565 |val loss: 2.24910 |val loss ravg: 2.24985 |val MAE:  7.56171 |val MAE ravg:  7.21426 |
|epoch:  18 | lr: 0.007 |train loss: 1.96044 |train loss ravg: 2.06539 |train MAE:  5.65166 |train MAE ravg:  5.92070 |val loss: 2.26680 |val loss ravg: 2.25074 |val MAE:  6.83834 |val MAE ravg:  7.19447 |
|epoch:  19 | lr: 0.007 |train loss: 1.93290 |train loss ravg: 2.05876 |train MAE:  5.56649 |train MAE ravg:  5.90299 |val loss: 3.06575 |val loss ravg: 2.29149 |val MAE:  7.80675 |val MAE ravg:  7.22509 |
|epoch:  20 | lr: 0.007 |train loss: 1.95916 |train loss ravg: 2.03336 |train MAE:  5.73149 |train MAE ravg:  5.87684 |val loss: 2.46065 |val loss ravg: 2.29742 |val MAE:  7.26562 |val MAE ravg:  7.22374 |
|epoch:  21 | lr: 0.007 |train loss: 1.93872 |train loss ravg: 2.01761 |train MAE:  5.64741 |train MAE ravg:  5.85261 |val loss: 2.22952 |val loss ravg: 2.29560 |val MAE:  8.12903 |val MAE ravg:  7.26729 |
|epoch:  22 | lr: 0.006 |train loss: 1.91577 |train loss ravg: 2.00531 |train MAE:  5.62019 |train MAE ravg:  5.82901 |val loss: 2.75680 |val loss ravg: 2.32063 |val MAE:  7.48956 |val MAE ravg:  7.27805 |
|epoch:  23 | lr: 0.006 |train loss: 1.87617 |train loss ravg: 1.99235 |train MAE:  5.42720 |train MAE ravg:  5.79693 |val loss: 2.14709 |val loss ravg: 2.31487 |val MAE:  6.65011 |val MAE ravg:  7.24871 |
|epoch:  24 | lr: 0.006 |train loss: 1.91765 |train loss ravg: 1.98326 |train MAE:  5.55431 |train MAE ravg:  5.77311 |val loss: 2.36113 |val loss ravg: 2.32233 |val MAE:  6.42483 |val MAE ravg:  7.21520 |
|epoch:  25 | lr: 0.006 |train loss: 1.88571 |train loss ravg: 1.97343 |train MAE:  5.42210 |train MAE ravg:  5.74582 |val loss: 2.52184 |val loss ravg: 2.33713 |val MAE:  7.31284 |val MAE ravg:  7.22044 |
|epoch:  26 | lr: 0.006 |train loss: 1.91874 |train loss ravg: 1.96633 |train MAE:  5.58305 |train MAE ravg:  5.72510 |val loss: 2.19938 |val loss ravg: 2.33493 |val MAE:  6.57214 |val MAE ravg:  7.19384 |
|epoch:  27 | lr: 0.006 |train loss: 1.89092 |train loss ravg: 1.95849 |train MAE:  5.44789 |train MAE ravg:  5.69973 |val loss: 2.94316 |val loss ravg: 2.37031 |val MAE:  6.59410 |val MAE ravg:  7.16419 |
|epoch:  28 | lr: 0.006 |train loss: 1.86038 |train loss ravg: 1.95006 |train MAE:  5.30260 |train MAE ravg:  5.67176 |val loss: 2.19778 |val loss ravg: 2.36906 |val MAE:  6.40141 |val MAE ravg:  7.11418 |
